gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
removed	removed	ACOT1	2595.9898
ACOT2	221.5509	ACOT2	1330.6314
ACOT4	109.4937	ACOT4	241.4676
removed	removed	ACOT6	11.9454
ACOT7	447.1299	ACOT7	146.7577
ACOT8	270.3982	ACOT8	176.4292
ACOT9	338.3686	ACOT9	462.884
ACOX1	1553.7856	ACOX1	4191.0026
ACOX2	190.4239	ACOX2	457.7645
ACOX3	434.3129	ACOX3	524.3174
ACOXL	5.8592	removed	removed
ACP1	1457.4751	ACP1	1113.4812
ACP2	837.4989	ACP2	725.6826
ACP5	394.3971	ACP5	323.3788
ACP6	319.3262	ACP6	266.2116
ACPL2	432.4819	ACPL2	255.1195
ACPP	6.5916	ACPP	27.7304
ACRBP	17.2114	ACRBP	11.9454
ACRC	5.493	ACRC	31.9966
removed	removed	ACR	8.1058
removed	removed	ACSBG1	14.0785
ACSF2	270.6216	ACSF2	1395.9044
ACSF3	191.5225	ACSF3	297.3549
ACSL1	1702.0965	ACSL1	44433.0205
ACSL3	4310.1712	ACSL3	2798.2082
ACSL4	553.694	ACSL4	2560.5802
ACSL5	1070.4019	ACSL5	895.0512
ACSM1	7.6902	ACSM1	5.1195
removed	removed	ACSM2A	9.3857
removed	removed	ACSM2B	5.5461
ACSM3	22.5909	ACSM3	58.1613
ACSM5	11.7184	ACSM5	863.9078
ACSS1	1850.7736	ACSS1	606.2287
ACSS2	462.8765	ACSS2	5845.5631
ACSS3	47.9722	ACSS3	2325.0853
ACTA2	4926.9505	ACTA2	17679.343
removed	removed	ACTBL2	5.5461
ACTB	76922.4572	ACTB	57914.2491
removed	removed	ACTC1	13.2253
ACTG1	68046.5074	ACTG1	40078.4983
ACTG2	99.9725	ACTG2	2602.8157
ACTL6A	756.9349	ACTL6A	593.8567
ACTN1	5541.3348	ACTN1	6753.413
ACTN4	10248.3567	ACTN4	8425.8191
ACTR10	1076.2611	ACTR10	1194.5392
ACTR1A	2790.8084	ACTR1A	2495.3072
ACTR1B	1137.4165	ACTR1B	1411.6894
ACTR2	8634.6242	ACTR2	4545.2218
ACTR3B	223.3819	ACTR3B	132.6792
ACTR3C	13.5494	ACTR3C	25.1706
ACTR3	4582.99	ACTR3	2242.3208
ACTR5	193.7197	ACTR5	147.6109
ACTR6	763.8927	ACTR6	656.1433
ACTR8	440.1721	ACTR8	587.4573
ACVR1B	1080.2893	ACVR1B	938.1399
ACVR1C	38.451	ACVR1C	6513.2253
ACVR1	1007.4155	ACVR1	1203.9249
ACVR2A	344.594	ACVR2A	567.4061
ACVR2B	688.4556	ACVR2B	539.2491
ACVRL1	386.7069	ACVRL1	1052.901
ACY1	555.1588	ACY1	951.57
ACY3	104.7331	ACY3	11.9454
ACYP1	42.113	ACYP1	47.7816
ACYP2	87.5217	ACYP2	215.0171
ADAL	199.2127	ADAL	273.8908
ADAM10	1740.1813	ADAM10	1607.9352
removed	removed	ADAM11	7.2526
ADAM12	2954.8659	ADAM12	512.372
ADAM15	3480.7287	ADAM15	2187.7133
ADAM17	653.6666	ADAM17	644.6246
ADAM19	536.4827	ADAM19	55.0341
removed	removed	ADAM21	5.1195
ADAM22	34.789	ADAM22	96.4164
ADAM23	9.5212	ADAM23	17.9181
ADAM28	1769.8434	ADAM28	62.2867
ADAM32	17.5776	ADAM32	11.9454
ADAM33	11.7184	ADAM33	319.1126
ADAM6	4616.739	ADAM6	6852.6408
ADAM8	283.4386	ADAM8	32.4232
ADAM9	996.4296	ADAM9	1509.8123
ADAMDEC1	54.5638	removed	removed
ADAMTS10	70.6766	ADAMTS10	69.9659
ADAMTS12	771.9491	ADAMTS12	430.4608
ADAMTS13	41.0144	ADAMTS13	51.1945
ADAMTS14	195.1845	removed	removed
ADAMTS15	178.3393	ADAMTS15	385.6655
ADAMTS16	171.0153	ADAMTS16	18.3447
ADAMTS17	14.648	ADAMTS17	29.8635
ADAMTS18	5.1268	ADAMTS18	64.4198
ADAMTS19	179.8041	removed	removed
ADAMTS1	423.6931	ADAMTS1	4348.1229
ADAMTS2	657.6948	ADAMTS2	447.9522
ADAMTS3	30.0284	ADAMTS3	71.6724
ADAMTS4	1215.417	ADAMTS4	142.0648
ADAMTS5	191.1563	ADAMTS5	3335.7509
