gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
ACOT13	911.7346	ACOT13	704.769
ACOT1	506.2443	ACOT1	1309.976
ACOT2	263.367	ACOT2	648.939
ACOT4	93.9526	ACOT4	203.2471
removed	removed	ACOT6	6.291
ACOT7	516.2393	ACOT7	448.5954
ACOT8	362.362	ACOT8	315.4008
ACOT9	712.1404	ACOT9	742.8198
ACOX1	1784.099	ACOX1	1827.7723
ACOX2	6.9965	ACOX2	400.6872
ACOX3	587.2035	ACOX3	597.6433
ACP1	1095.9465	ACP1	1148.8301
ACP2	1838.5715	ACP2	2093.9292
ACP5	790.6007	ACP5	11172.3003
ACP6	401.2973	ACP6	223.0879
ACPL2	211.3932	ACPL2	241.9609
ACPP	83.4579	ACPP	30.4871
ACRBP	23.9879	ACRBP	130.1749
ACRC	15.4922	ACRC	36.778
removed	removed	ACSBG1	19.3569
ACSF2	1251.3681	ACSF2	1462.4114
ACSF3	355.3206	ACSF3	489.7288
ACSL1	4431.762	ACSL1	8017.1308
ACSL3	2874.5484	ACSL3	1786.6389
ACSL4	2283.3469	ACSL4	1234.0003
ACSL5	1481.252	ACSL5	953.8097
ACSL6	6.4967	ACSL6	7.2588
removed	removed	ACSM1	36.2941
ACSM3	46.9313	ACSM3	100.8009
ACSM5	6.9965	ACSM5	615.5484
ACSS1	483.256	ACSS1	1046.2387
ACSS2	855.0682	ACSS2	2731.738
ACSS3	14.4927	ACSS3	407.946
removed	removed	ACTA1	25.1639
ACTA2	2092.3034	ACTA2	32977.4783
ACTBL2	13.9929	removed	removed
ACTB	127488.6182	ACTB	130622.5653
removed	removed	ACTC1	56.6188
ACTG1	61082.6533	ACTG1	70211.7157
ACTG2	22.4886	ACTG2	11365.869
ACTL6A	956.517	ACTL6A	602.9664
ACTL8	8.9955	removed	removed
ACTN1	8341.7874	ACTN1	8476.3725
ACTN2	25.9869	ACTN2	6.291
ACTN4	8172.0631	ACTN4	10758.1021
ACTR10	1068.4604	ACTR10	1187.5439
ACTR1A	3255.356	ACTR1A	3579.5688
ACTR1B	971.0096	ACTR1B	1772.6052
ACTR2	9028.9404	ACTR2	4311.2584
ACTR3B	85.9566	ACTR3B	214.8612
ACTR3C	56.4715	ACTR3C	13.5498
ACTR3	6879.5258	ACTR3	3177.4299
ACTR5	254.8713	ACTR5	196.4722
ACTR6	588.203	ACTR6	430.6903
ACTR8	438.7784	ACTR8	366.3287
ACVR1B	688.6522	ACVR1B	824.6026
ACVR1C	17.4912	ACVR1C	370.684
ACVR1	1043.473	ACVR1	1068.4991
ACVR2A	255.8708	ACVR2A	432.1421
ACVR2B	241.8779	ACVR2B	178.0832
ACVRL1	421.787	ACVRL1	2074.5723
ACY1	535.7295	ACY1	875.8499
ACY3	41.9788	ACY3	17.9051
ACYP1	52.4735	ACYP1	66.2973
ACYP2	129.9344	ACYP2	211.4738
removed	removed	ADAD2	22.7153
ADAL	97.9505	ADAL	179.051
ADAM10	1463.7608	ADAM10	806.6975
removed	removed	ADAM11	16.4533
ADAM12	1123.9324	ADAM12	512.4731
ADAM15	4340.8079	ADAM15	4120.2933
ADAM17	1717.6326	ADAM17	486.3413
ADAM19	1135.4266	ADAM19	174.6957
removed	removed	ADAM22	22.2604
ADAM23	9.995	ADAM23	33.8745
ADAM28	195.4013	ADAM28	69.2008
ADAM32	15.4922	ADAM32	39.1977
ADAM33	23.9879	ADAM33	1595.6737
ADAM6	74156.6959	ADAM6	69989.5279
ADAM8	1048.4705	ADAM8	139.8534
ADAM9	1854.5634	ADAM9	2306.3708
ADAMDEC1	577.7083	ADAMDEC1	6.7749
ADAMTS10	35.9818	ADAMTS10	327.1311
ADAMTS12	215.3912	ADAMTS12	79.8471
ADAMTS13	19.9899	ADAMTS13	90.4934
ADAMTS14	142.4281	ADAMTS14	81.2988
ADAMTS15	79.4599	ADAMTS15	277.2871
removed	removed	ADAMTS16	346.004
ADAMTS17	9.995	ADAMTS17	35.3263
removed	removed	ADAMTS18	56.6188
ADAMTS1	510.2423	ADAMTS1	2323.792
ADAMTS2	941.5245	ADAMTS2	978.4897
ADAMTS3	53.473	ADAMTS3	141.7891
