gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
C10orf81	813.0894	C10orf81	599.579
C10orf84	433.2812	C10orf84	679.91
C10orf88	145.4266	C10orf88	157.2746
removed	removed	C10orf90	49.8439
C10orf93	5.4972	removed	removed
C10orf99	8.9955	removed	removed
C11orf10	777.1076	C11orf10	1134.7964
C11orf17	303.3468	C11orf17	446.6597
C11orf1	243.3771	C11orf1	341.1648
C11orf21	18.9904	C11orf21	32.9067
C11orf24	667.6628	C11orf24	1102.3736
C11orf2	1034.4776	C11orf2	3034.1891
C11orf30	425.2852	C11orf30	212.9255
C11orf31	936.0273	C11orf31	1028.8175
C11orf35	10.5697	C11orf35	26.906
C11orf41	603.6951	C11orf41	87.5898
C11orf45	46.9763	C11orf45	135.4981
C11orf46	347.8243	C11orf46	567.1562
C11orf48	539.1777	C11orf48	567.9837
C11orf49	345.8254	C11orf49	482.9539
C11orf51	482.2665	C11orf51	609.6736
C11orf52	151.9233	C11orf52	279.097
removed	removed	C11orf53	24.1961
C11orf54	496.2494	C11orf54	421.9797
C11orf57	905.5427	C11orf57	698.299
C11orf58	2254.8613	C11orf58	2696.8956
C11orf59	2055.462	C11orf59	2477.6791
C11orf61	166.416	C11orf61	186.3099
C11orf63	223.3872	C11orf63	170.3404
removed	removed	C11orf66	31.4549
C11orf67	294.8511	C11orf67	540.0566
C11orf68	732.63	C11orf68	1364.1753
C11orf70	16.4917	C11orf70	38.2298
C11orf71	163.4175	C11orf71	204.6989
C11orf73	508.7431	C11orf73	612.161
C11orf74	98.4503	C11orf74	245.3483
C11orf75	319.3387	C11orf75	375.5232
C11orf80	340.3281	C11orf80	207.1185
C11orf82	292.8521	C11orf82	76.9436
C11orf83	267.365	C11orf83	361.0056
C11orf84	337.3296	C11orf84	353.7468
C11orf86	20.9894	removed	removed
removed	removed	C11orf87	10.6463
C11orf92	149.4245	C11orf92	49.9068
C11orf93	39.4801	C11orf93	49.781
C11orf95	220.8885	C11orf95	614.5806
C11orf9	17.4912	C11orf9	41.6173
C12orf10	371.8122	C12orf10	1047.6905
C12orf11	691.6507	C12orf11	413.7531
C12orf23	1802.0899	C12orf23	773.7908
C12orf24	35.9818	C12orf24	87.5898
C12orf26	84.9571	C12orf26	106.9467
C12orf29	383.8861	C12orf29	251.228
C12orf32	986.0021	C12orf32	427.3029
C12orf34	45.477	C12orf34	89.0416
C12orf35	1500.7421	C12orf35	675.5547
C12orf36	22.9884	removed	removed
removed	removed	C12orf39	22.7443
C12orf41	535.7295	C12orf41	509.5696
C12orf43	300.8481	C12orf43	296.1601
C12orf44	713.1399	C12orf44	897.6748
C12orf45	373.3115	C12orf45	190.6652
C12orf47	258.0097	C12orf47	420.7457
C12orf48	176.9906	C12orf48	50.0859
C12orf49	1020.9844	C12orf49	338.2613
C12orf4	373.8112	C12orf4	413.7531
C12orf51	1080.9541	C12orf51	806.6975
C12orf52	587.7032	C12orf52	449.5633
C12orf53	6.9965	C12orf53	11.1302
C12orf57	400.7976	C12orf57	1972.4649
C12orf59	88.9551	C12orf59	17.4212
C12orf5	537.7284	C12orf5	472.3076
C12orf60	14.9924	C12orf60	21.2926
C12orf61	5.997	C12orf61	15.4855
C12orf62	454.2706	C12orf62	881.2214
C12orf65	229.3842	C12orf65	260.8338
C12orf66	100.949	C12orf66	68.233
C12orf68	7.996	C12orf68	70.6526
removed	removed	C12orf69	6.291
C12orf70	7.4962	removed	removed
C12orf72	51.474	C12orf72	59.5224
C12orf73	94.4523	C12orf73	105.9789
C12orf75	189.9041	C12orf75	329.0668
C12orf76	160.9187	C12orf76	156.7906
C13orf15	402.2968	C13orf15	2069.2492
C13orf18	341.8274	C13orf18	250.6714
C13orf1	292.8521	C13orf1	258.4142
C13orf23	1674.1546	C13orf23	594.2558
C13orf27	170.9137	C13orf27	118.0769
C13orf29	82.4584	C13orf29	117.1091
C13orf31	486.2544	C13orf31	290.353
C13orf33	43.478	C13orf33	1531.6122
C13orf34	434.5006	C13orf34	90.9192
C13orf36	54.4725	C13orf36	24.1961
C13orf37	509.2428	C13orf37	207.6024
C13orf38	28.4856	C13orf38	6.7749
C14orf101	351.8223	C14orf101	367.7805
C14orf102	391.3024	C14orf102	252.1232
C14orf104	192.4028	C14orf104	201.3114
C14orf106	505.7446	C14orf106	337.7773
C14orf109	308.3443	C14orf109	375.5232
C14orf115	14.9924	removed	removed
C14orf118	270.3635	C14orf118	135.0142
C14orf119	1278.3544	C14orf119	1234.0003
C14orf126	399.988	C14orf126	303.3608
C14orf128	40.4796	C14orf128	98.72
C14orf129	827.0823	C14orf129	325.1954
C14orf132	30.9844	C14orf132	700.7186
C14orf135	526.2343	C14orf135	461.1774
C14orf138	130.9339	C14orf138	120.4965
C14orf139	66.4664	C14orf139	1191.4152
C14orf142	232.3826	C14orf142	180.0189
C14orf143	88.4553	C14orf143	55.651
C14orf145	204.3968	C14orf145	73.5561
C14orf147	5931.5046	C14orf147	791.212
removed	removed	C14orf148	5.8071
C14orf149	71.9637	C14orf149	126.7875
C14orf153	631.8259	C14orf153	601.4034
C14orf156	764.1141	C14orf156	500.375
C14orf159	556.2191	C14orf159	1291.587
C14orf166	2681.146	C14orf166	2455.4187
C14orf167	361.8972	C14orf167	523.8598
C14orf169	466.7643	C14orf169	349.3915
C14orf174	27.9859	C14orf174	11.1302
C14orf176	11.9939	C14orf176	27.0996
C14orf179	291.8526	C14orf179	288.9013
removed	removed	C14orf180	930.0975
C14orf181	42.9783	C14orf181	30.971
C14orf182	19.4902	C14orf182	5.8071
C14orf184	7.4962	removed	removed
C14orf1	1381.8022	C14orf1	646.5194
C14orf21	403.2963	C14orf21	182.9224
C14orf28	74.4624	C14orf28	167.4369
C14orf2	1103.9425	C14orf2	1072.8544
C14orf33	46.9763	C14orf33	42.5851
C14orf37	86.4563	C14orf37	90.9773
C14orf43	1108.94	C14orf43	890.4159
C14orf45	87.121	C14orf45	152.2563
C14orf49	23.9879	C14orf49	102.5914
C14orf4	2424.2757	C14orf4	1678.2405
C14orf50	7.996	C14orf50	43.069
C14orf64	6.9965	C14orf64	32.9067
C14orf72	9.995	removed	removed
C14orf73	25.4871	C14orf73	11.6141
C14orf79	201.3983	C14orf79	285.0299
C14orf80	286.3554	C14orf80	195.5044
C14orf93	101.4488	C14orf93	293.2566
C15orf17	403.2963	C15orf17	1613.8789
C15orf21	29.4851	C15orf21	34.8424
C15orf23	352.8218	C15orf23	198.8918
C15orf24	897.5467	C15orf24	1152.7015
C15orf27	18.4907	C15orf27	84.2024
C15orf29	382.8067	C15orf29	327.615
C15orf33	5.4972	C15orf33	14.5612
C15orf34	11.4942	C15orf34	27.5835
C15orf37	43.3481	C15orf37	67.4877
C15orf38	210.9934	C15orf38	311.9021
C15orf39	747.1227	C15orf39	1213.1917
C15orf40	101.9485	C15orf40	275.3514
C15orf41	101.4488	C15orf41	95.8165
C15orf42	147.4805	C15orf42	53.4588
C15orf44	707.1429	C15orf44	818.7955
C15orf48	896.0475	C15orf48	14.5177
C15orf52	1454.7653	C15orf52	748.143
removed	removed	C15orf56	6.291
C15orf57	581.3014	C15orf57	538.9533
C15orf58	42.4785	C15orf58	60.0063
removed	removed	C15orf59	91.9451
C15orf61	79.4599	C15orf61	154.8549
C15orf62	87.4558	C15orf62	53.7153
C15orf63	546.7239	C15orf63	752.3289
C16orf13	336.3302	C16orf13	708.9453
C16orf42	701.5907	C16orf42	1151.5256
C16orf45	72.4634	C16orf45	839.1202
C16orf46	68.4654	C16orf46	28.5514
C16orf48	125.9364	C16orf48	397.2997
C16orf52	187.4054	C16orf52	238.5734
C16orf53	581.4114	C16orf53	976.5346
C16orf54	137.4306	C16orf54	148.08
C16orf55	112.4432	C16orf55	106.9467
C16orf57	1737.1228	C16orf57	1018.1713
C16orf58	1430.7775	C16orf58	2075.5015
C16orf59	154.422	C16orf59	44.0369
C16orf5	458.7683	C16orf5	1253.8411
C16orf61	550.6319	C16orf61	272.1479
C16orf62	1095.9465	C16orf62	1391.7588
C16orf63	591.2014	C16orf63	647.0033
C16orf68	138.9298	C16orf68	223.0879
C16orf70	491.7617	C16orf70	530.9541
C16orf71	8.4957	C16orf71	13.0659
C16orf72	1058.4655	C16orf72	967.3595
C16orf74	334.3312	C16orf74	116.6251
C16orf75	198.8996	C16orf75	95.8165
C16orf79	7.0065	C16orf79	35.607
C16orf7	888.0815	C16orf7	391.2652
C16orf80	489.2529	C16orf80	532.3139
C16orf86	17.4912	C16orf86	159.2102
C16orf87	124.4372	C16orf87	64.3616
C16orf88	365.3155	C16orf88	300.9993
C16orf89	8.9955	C16orf89	737.0128
C16orf91	188.9046	C16orf91	228.895
C16orf93	12.9934	C16orf93	34.3584
C17orf100	53.473	C17orf100	48.3922
C17orf101	450.2726	C17orf101	555.5421
C17orf103	266.3655	C17orf103	1127.0536
C17orf104	28.9854	C17orf104	17.9051
C17orf106	477.4589	C17orf106	445.9
C17orf107	92.1285	C17orf107	122.6209
C17orf108	111.4437	C17orf108	452.4378
C17orf28	662.1656	C17orf28	1136.7321
C17orf37	539.2277	C17orf37	731.6896
C17orf39	294.3514	C17orf39	467.9523
C17orf42	147.4256	C17orf42	151.9514
C17orf44	41.4791	C17orf44	68.7169
C17orf48	78.4604	C17orf48	171.3083
C17orf49	743.2297	C17orf49	1173.6311
C17orf51	215.3912	C17orf51	236.1538
C17orf53	145.4266	C17orf53	69.2008
C17orf55	34.4826	C17orf55	31.4549
C17orf56	278.1595	C17orf56	526.831
C17orf57	19.4902	C17orf57	32.9067
C17orf58	144.4271	C17orf58	565.2205
C17orf59	262.3675	C17orf59	438.4331
C17orf60	65.4669	C17orf60	108.3985
C17orf61	298.5942	C17orf61	686.2397
C17orf62	1675.6538	C17orf62	1682.5958
C17orf63	766.1131	C17orf63	682.8135
C17orf65	159.8543	C17orf65	165.5351
C17orf67	22.4886	C17orf67	24.1961
C17orf68	299.8486	C17orf68	615.5484
C17orf69	42.4785	C17orf69	61.4581
C17orf70	909.0409	C17orf70	952.3579
C17orf71	581.7062	C17orf71	407.4621
C17orf72	44.1677	C17orf72	61.1435
C17orf75	160.9187	C17orf75	123.884
C17orf76	32.9833	C17orf76	135.0142
C17orf79	610.6916	C17orf79	1116.4074
C17orf80	433.2812	C17orf80	402.1389
C17orf81	415.79	C17orf81	641.6802
C17orf85	476.7592	C17orf85	448.1115
C17orf86	96.4513	C17orf86	131.1428
C17orf87	47.476	C17orf87	90.4934
C17orf89	268.8642	C17orf89	372.6197
C17orf90	342.3271	C17orf90	375.5232
C17orf91	208.3948	C17orf91	475.2111
C17orf93	16.4917	removed	removed
C17orf95	321.3377	C17orf95	380.8464
C17orf96	272.8622	C17orf96	91.9451
C17orf97	188.9046	C17orf97	226.4754
C18orf10	1210.8885	C18orf10	1324.0098
C18orf18	14.4927	C18orf18	70.1686
C18orf19	319.8385	C18orf19	257.9303
C18orf1	393.8011	C18orf1	761.6928
C18orf21	231.8829	C18orf21	271.964
C18orf22	221.3882	C18orf22	515.3766
C18orf25	522.2363	C18orf25	352.295
C18orf32	804.4587	C18orf32	979.2301
removed	removed	C18orf34	112.2698
C18orf45	402.2968	C18orf45	234.2181
C18orf54	75.4619	C18orf54	74.04
C18orf55	309.3438	C18orf55	390.0409
C18orf56	8.9955	C18orf56	9.6784
C18orf8	363.4565	C18orf8	372.2471
C19orf10	2252.8623	C19orf10	1910.039
C19orf12	559.2176	C19orf12	1647.2695
C19orf18	18.9904	C19orf18	17.4212
C19orf20	25.4871	C19orf20	94.8487
C19orf21	53.9727	C19orf21	32.4228
C19orf22	849.0712	C19orf22	1303.2011
C19orf23	9.4952	C19orf23	10.6463
C19orf24	352.3221	C19orf24	717.172
C19orf25	292.3524	C19orf25	519.7319
C19orf26	9.995	removed	removed
C19orf28	2301.3378	C19orf28	2150.0641
C19orf29	668.1626	C19orf29	516.8284
C19orf2	1645.6689	C19orf2	1265.4552
C19orf33	10.3848	C19orf33	73.7448
C19orf35	24.4876	C19orf35	13.5498
removed	removed	C19orf36	37.262
C19orf38	51.474	C19orf38	105.011
C19orf39	60.4695	C19orf39	85.1702
C19orf40	73.9626	C19orf40	49.8439
C19orf42	1211.3882	C19orf42	1504.0286
C19orf43	1644.1697	C19orf43	2145.2249
C19orf44	123.5126	C19orf44	230.3419
C19orf46	320.3382	C19orf46	138.4016
C19orf47	440.7774	C19orf47	299.5475
C19orf48	1250.8683	C19orf48	909.7728
C19orf50	1414.7855	C19orf50	1731.9558
C19orf51	48.4755	C19orf51	10.1624
C19orf52	264.3665	C19orf52	203.731
C19orf53	1327.8294	C19orf53	1481.7682
C19orf54	226.8854	C19orf54	357.6181
C19orf55	90.4543	C19orf55	52.2635
C19orf56	1665.1591	C19orf56	2412.3497
C19orf57	35.4821	C19orf57	62.9098
C19orf59	7.996	C19orf59	36.778
C19orf60	168.415	C19orf60	516.8284
C19orf61	704.1444	C19orf61	838.1524
C19orf62	1277.3549	C19orf62	1581.94
C19orf63	3849.2711	C19orf63	2741.3342
C19orf66	1205.906	C19orf66	720.4336
C19orf6	920.0354	C19orf6	2349.9238
C19orf70	752.6199	C19orf70	1038.496
C19orf73	33.4831	C19orf73	17.9051
C19orf76	6.9965	C19orf76	72.5883
C19orf77	6.9965	removed	removed
C1D	195.9011	C1D	138.8855
C1GALT1C1	1089.4498	C1GALT1C1	630.55
C1GALT1	1533.7255	C1GALT1	226.9593
C1QA	11250.8183	C1QA	13867.7442
C1QBP	1371.9821	C1QBP	1451.7409
C1QB	13723.0698	C1QB	17164.2188
C1QC	12283.7967	C1QC	13082.3393
removed	removed	C1QL1	5.8071
C1QL2	9.4952	C1QL2	13.0659
C1QTNF1	560.7168	C1QTNF1	3813.303
C1QTNF2	23.4881	C1QTNF2	196.4722
C1QTNF3	30.4846	C1QTNF3	1037.0442
removed	removed	C1QTNF4	12.582
C1QTNF6	839.576	C1QTNF6	437.9491
removed	removed	C1QTNF7	260.8338
C1QTNF9B	5.3373	C1QTNF9B	33.4971
removed	removed	C1QTNF9	55.1671
C1RL	2001.3543	C1RL	1658.3755
C1R	10684.6043	C1R	22392.5089
C1S	16115.3617	C1S	25083.5975
removed	removed	C1orf101	7.2588
C1orf103	1102.4433	C1orf103	237.1216
C1orf104	71.319	C1orf104	74.3594
C1orf106	674.6593	C1orf106	134.5302
C1orf107	357.8193	C1orf107	479.0825
C1orf109	285.3559	C1orf109	272.9318
C1orf112	333.7615	C1orf112	113.891
C1orf113	111.8385	C1orf113	135.1884
C1orf115	469.263	C1orf115	2380.4108
C1orf116	903.5437	C1orf116	568.608
C1orf122	399.928	C1orf122	649.7859
C1orf123	547.2237	C1orf123	1074.3062
C1orf124	196.9006	C1orf124	116.6251
C1orf126	78.4654	C1orf126	30.6806
removed	removed	C1orf127	45.0047
C1orf128	696.6482	C1orf128	1420.3102
C1orf130	44.4775	C1orf130	126.7875
C1orf131	197.4003	C1orf131	203.2471
C1orf133	6.9965	C1orf133	47.4243
C1orf135	116.4412	C1orf135	17.9051
C1orf144	3666.6483	C1orf144	3109.6809
removed	removed	C1orf150	11.1302
C1orf151	800.5757	C1orf151	1078.013
removed	removed	C1orf152	9.1945
C1orf156	228.8844	C1orf156	199.8597
C1orf159	204.3968	C1orf159	188.2455
C1orf161	7.996	removed	removed
C1orf162	440.2777	C1orf162	1601.7808
C1orf163	474.2605	C1orf163	176.6314
removed	removed	C1orf168	10.6463
C1orf170	59.47	C1orf170	21.2926
C1orf172	375.3105	C1orf172	212.9255
C1orf173	6.9965	C1orf173	23.2282
C1orf174	454.7703	C1orf174	447.6276
C1orf175	16.3867	C1orf175	59.5224
C1orf177	16.9914	removed	removed
C1orf183	43.9778	C1orf183	115.6573
removed	removed	C1orf186	22.2604
C1orf190	5.1974	C1orf190	50.4924
C1orf192	7.996	C1orf192	7.2588
C1orf198	1876.0526	C1orf198	2543.4925
C1orf201	78.4604	C1orf201	229.8628
C1orf203	74.4774	C1orf203	101.1638
C1orf204	33.3182	C1orf204	69.6267
C1orf210	391.8021	C1orf210	117.593
C1orf212	578.208	C1orf212	765.0802
C1orf213	30.4896	C1orf213	85.0202
C1orf216	353.3216	C1orf216	655.23
C1orf21	585.2045	C1orf21	1884.3911
C1orf220	10.4947	C1orf220	5.8071
C1orf226	300.8481	C1orf226	484.8895
C1orf228	9.4952	C1orf228	31.9388
C1orf229	24.4876	C1orf229	18.8729
C1orf25	763.6144	C1orf25	413.7531
C1orf26	171.9132	C1orf26	132.5945
C1orf27	710.6411	C1orf27	497.4715
C1orf31	239.8789	C1orf31	246.8001
C1orf35	185.4064	C1orf35	333.4221
C1orf38	826.0828	C1orf38	1575.6491
C1orf43	4245.8558	C1orf43	4222.7008
C1orf50	196.9006	C1orf50	182.4385
C1orf51	191.9031	C1orf51	129.2071
C1orf52	355.3206	C1orf52	359.5538
C1orf53	164.9167	C1orf53	23.7122
C1orf54	247.8748	C1orf54	327.615
C1orf55	385.3054	C1orf55	257.4463
C1orf56	109.3598	C1orf56	193.8397
C1orf57	404.7956	C1orf57	549.7351
C1orf58	238.3646	C1orf58	109.3663
C1orf59	148.9248	C1orf59	267.6087
removed	removed	C1orf61	6.291
C1orf63	261.8678	C1orf63	456.8221
removed	removed	C1orf64	150.4996
C1orf65	12.4937	removed	removed
C1orf66	365.8153	C1orf66	605.87
C1orf69	147.4256	C1orf69	222.1201
removed	removed	C1orf70	21.2926
C1orf74	52.9732	C1orf74	66.2973
C1orf77	1668.1576	C1orf77	1495.802
C1orf83	293.8516	C1orf83	155.8228
C1orf84	16.5816	C1orf84	7.8202
C1orf85	1552.7159	C1orf85	1943.9135
C1orf86	284.5363	C1orf86	494.3551
C1orf88	14.9924	C1orf88	120.9804
C1orf89	32.4836	C1orf89	62.4259
C1orf91	219.829	C1orf91	238.9751
C1orf93	625.0843	C1orf93	934.7093
C1orf95	5.4972	C1orf95	28.5514
C1orf96	397.7991	C1orf96	394.3962
C1orf97	73.4629	C1orf97	112.7538
C1orf9	1541.7214	C1orf9	593.288
C20orf103	37.4811	C20orf103	30.971
C20orf108	2104.4373	C20orf108	2782.5498
C20orf111	611.6911	C20orf111	790.7281
C20orf112	423.786	C20orf112	622.8072
C20orf117	115.4417	C20orf117	208.5703
C20orf118	54.8023	C20orf118	50.3037
C20orf11	2236.3706	C20orf11	1587.2632
removed	removed	C20orf123	8.7106
C20orf12	129.9344	C20orf12	93.3969
C20orf132	24.4926	C20orf132	67.2651
C20orf134	5.4972	C20orf134	47.9082
C20orf135	92.4533	C20orf135	114.6894
C20orf141	16.9914	removed	removed
C20orf151	142.9278	C20orf151	49.8439
C20orf160	44.9773	C20orf160	373.5876
removed	removed	C20orf165	8.2267
C20orf177	230.3837	C20orf177	100.6557
C20orf194	359.3185	C20orf194	1035.5924
C20orf196	114.942	C20orf196	69.2008
removed	removed	C20orf197	6.291
C20orf199	834.5785	C20orf199	2432.1905
removed	removed	C20orf200	5.8071
C20orf202	16.4917	C20orf202	7.2588
C20orf20	417.789	C20orf20	302.935
C20orf24	2514.0954	C20orf24	1194.7059
C20orf26	11.9939	C20orf26	18.8729
C20orf27	649.1722	C20orf27	1258.1964
C20orf29	372.8117	C20orf29	311.1617
C20orf30	1975.0026	C20orf30	2377.5073
C20orf3	4132.9129	C20orf3	4624.8397
C20orf43	2301.8376	C20orf43	2680.9262
C20orf46	111.4437	C20orf46	38.7137
C20orf4	1060.9642	C20orf4	1285.78
C20orf54	365.3155	C20orf54	104.5271
C20orf72	898.5462	C20orf72	534.2496
C20orf7	183.9071	C20orf7	131.6267
C20orf94	24.4876	removed	removed
C20orf96	195.4013	C20orf96	279.2228
C21orf119	66.4664	C21orf119	100.1718
C21orf122	52.4735	C21orf122	68.7169
removed	removed	C21orf15	15.0016
removed	removed	C21orf29	5.8071
C21orf2	135.4316	C21orf2	624.7429
C21orf33	1418.7835	C21orf33	2721.5756
C21orf34	30.4846	C21orf34	70.6526
C21orf45	270.8632	C21orf45	153.4032
removed	removed	C21orf49	5.3231
C21orf56	83.4579	C21orf56	115.1734
C21orf57	86.4563	C21orf57	178.0832
C21orf58	101.9485	C21orf58	61.942
C21orf59	475.26	C21orf59	607.1959
C21orf63	263.367	C21orf63	662.9727
C21orf67	81.4589	C21orf67	53.7153
C21orf70	206.8955	C21orf70	240.0252
C21orf7	49.475	C21orf7	93.8808
removed	removed	C21orf82	33.3906
C21orf88	79.9596	C21orf88	18.8729
removed	removed	C21orf90	7.2588
C21orf91	618.6876	C21orf91	344.5523
C22orf13	2581.1965	C22orf13	2457.9061
C22orf23	63.9677	C22orf23	64.3616
C22orf25	530.2322	C22orf25	976.0701
C22orf26	10.4947	C22orf26	20.8086
C22orf27	97.9505	C22orf27	113.2377
C22orf28	2033.4731	C22orf28	1984.5629
C22orf29	401.4223	C22orf29	635.3069
C22orf30	1031.4791	C22orf30	641.6802
removed	removed	C22orf31	6.7749
C22orf32	483.256	C22orf32	1037.5281
removed	removed	C22orf34	13.5498
C22orf36	199.8991	C22orf36	349.3915
C22orf39	328.3342	C22orf39	734.5931
C22orf40	107.4457	C22orf40	235.1859
C22orf46	526.2343	C22orf46	754.9179
C22orf9	1935.0228	C22orf9	5412.1803
C2CD2L	338.7539	C2CD2L	510.0099
C2CD2	508.7431	C2CD2	2353.3112
C2CD3	599.6972	C2CD3	436.4974
C2CD4A	65.9667	removed	removed
C2CD4B	12.4937	C2CD4B	23.7122
removed	removed	C2CD4C	72.1043
C2CD4D	17.9909	C2CD4D	13.0659
C2orf15	88.4553	C2orf15	30.9274
C2orf16	16.9914	C2orf16	22.2604
C2orf18	2841.0653	C2orf18	1795.3495
C2orf24	1200.3938	C2orf24	2036.8264
C2orf27A	8.4957	C2orf27A	27.0996
C2orf28	1818.8415	C2orf28	2568.1918
C2orf29	1205.891	C2orf29	755.4018
C2orf34	71.9637	C2orf34	76.4596
C2orf3	383.8062	C2orf3	319.3883
removed	removed	C2orf40	406.9782
C2orf42	190.4038	C2orf42	242.4448
C2orf43	94.4523	C2orf43	309.226
C2orf44	273.362	C2orf44	237.1216
C2orf47	403.7961	C2orf47	305.3546
C2orf49	146.4261	C2orf49	85.6541
C2orf50	6.4967	removed	removed
removed	removed	C2orf52	9.1945
C2orf54	857.0672	C2orf54	13.0659
C2orf55	237.3801	C2orf55	277.2871
C2orf56	191.9031	C2orf56	204.215
C2orf58	13.9929	C2orf58	23.7122
C2orf60	176.9107	C2orf60	158.7263
C2orf63	28.9854	C2orf63	55.1671
C2orf64	406.7946	C2orf64	522.6354
C2orf65	8.4957	C2orf65	69.2008
C2orf67	166.0561	C2orf67	318.014
C2orf68	855.5679	C2orf68	760.241
C2orf69	494.7502	C2orf69	274.8675
C2orf70	24.4876	removed	removed
C2orf71	9.4952	removed	removed
C2orf72	287.8546	C2orf72	77.9114
C2orf74	107.4457	C2orf74	475.695
C2orf76	24.9874	C2orf76	55.1671
C2orf77	58.4705	C2orf77	42.5851
C2orf79	163.9172	C2orf79	404.5585
C2orf7	319.8385	C2orf7	543.4441
C2orf81	45.8768	C2orf81	124.9292
removed	removed	C2orf82	196.9561
removed	removed	C2orf84	29.5192
C2orf86	36.9813	C2orf86	99.2039
C2orf88	87.4558	C2orf88	220.6683
C2orf89	28.4856	C2orf89	91.9451
C2	6447.1592	C2	3582.5546
C3AR1	1115.9365	C3AR1	1791.9621
C3orf10	3022.9734	C3orf10	4072.685
C3orf14	410.2928	C3orf14	205.1828
removed	removed	C3orf15	50.3279
C3orf17	1902.5392	C3orf17	769.9194
C3orf18	65.4669	C3orf18	288.4173
C3orf19	465.265	C3orf19	454.8864
C3orf1	2097.4408	C3orf1	1373.8537
C3orf21	575.2095	C3orf21	339.2291
C3orf23	754.6189	C3orf23	412.7852
C3orf26	690.1515	C3orf26	339.713
C3orf31	134.4321	C3orf31	186.3099
removed	removed	C3orf32	24.68
C3orf33	125.4367	C3orf33	109.3663
C3orf34	65.9667	C3orf34	72.1043
C3orf35	6.4967	C3orf35	8.7106
C3orf36	7.996	C3orf36	6.291
C3orf37	639.1772	C3orf37	1054.4654
C3orf38	577.2085	C3orf38	351.3272
C3orf39	592.2009	C3orf39	748.6269
C3orf42	13.4932	C3orf42	39.6816
C3orf47	6.4967	C3orf47	100.1718
C3orf52	208.8945	C3orf52	38.7137
C3orf54	38.9803	C3orf54	179.535
C3orf55	8.9955	C3orf55	127.7553
C3orf57	521.7365	C3orf57	36.778
C3orf58	442.7764	C3orf58	596.1915
C3orf59	180.4089	C3orf59	163.0816
C3orf62	125.9364	C3orf62	192.6008
C3orf63	1592.021	C3orf63	1252.0651
C3orf64	324.3362	C3orf64	677.9743
C3orf67	88.9551	C3orf67	21.7765
C3orf70	29.9849	C3orf70	84.6863
C3orf71	29.9849	C3orf71	46.4565
C3orf75	438.2787	C3orf75	500.859
C3	58527.9434	C3	46256.6237
C4A	34408.5737	C4A	12856.4882
C4BPA	79.9596	C4BPA	101.6236
removed	removed	C4BPB	27.0996
C4orf10	218.2298	C4orf10	314.0458
C4orf12	5.997	C4orf12	27.5835
C4orf14	489.2529	C4orf14	769.9194
C4orf19	1161.4135	C4orf19	166.5417
C4orf21	132.4331	C4orf21	52.2635
C4orf23	221.8879	C4orf23	278.255
C4orf27	501.7466	C4orf27	457.306
C4orf29	78.9601	C4orf29	50.8118
C4orf31	5.4972	C4orf31	75.4918
C4orf32	400.2978	C4orf32	837.1845
C4orf33	198.8996	C4orf33	165.0173
C4orf34	246.8753	C4orf34	392.4605
removed	removed	C4orf36	12.582
C4orf38	10.4947	C4orf38	24.1961
C4orf39	14.4927	C4orf39	12.098
C4orf3	2390.2929	C4orf3	3572.7939
C4orf41	907.5417	C4orf41	770.4033
C4orf42	335.3307	C4orf42	391.9766
C4orf43	424.7855	C4orf43	281.6424
C4orf46	438.7784	C4orf46	122.9161
C4orf48	38.4806	C4orf48	31.9388
removed	removed	C4orf49	58.0706
C4orf52	316.3402	C4orf52	584.0935
C4orf6	34.4826	removed	removed
removed	removed	C4orf7	524.0872
C5AR1	363.3165	C5AR1	1525.8051
C5orf13	2715.1289	C5orf13	750.5626
C5orf15	1260.3635	C5orf15	1234.0003
C5orf20	35.9818	C5orf20	52.7475
C5orf22	468.2635	C5orf22	276.8032
C5orf23	101.9485	C5orf23	1090.2756
C5orf24	717.6376	C5orf24	582.1578
C5orf25	241.8129	C5orf25	214.3773
C5orf27	20.9894	C5orf27	14.5177
C5orf28	186.4059	C5orf28	184.8581
C5orf30	473.7608	C5orf30	464.5648
C5orf32	256.3705	C5orf32	1459.0239
C5orf33	413.2913	C5orf33	558.4456
C5orf34	71.4639	C5orf34	29.0353
C5orf35	127.9354	C5orf35	84.2024
C5orf36	28.9854	C5orf36	36.778
C5orf38	51.474	C5orf38	100.1718
C5orf39	49.9748	C5orf39	103.5592
C5orf41	235.3811	C5orf41	161.1459
C5orf42	263.367	C5orf42	227.9271
C5orf43	1152.9178	C5orf43	792.6637
C5orf44	386.6347	C5orf44	298.4732
C5orf45	67.1361	C5orf45	188.3762
C5orf46	258.8693	C5orf46	10.6463
C5orf49	11.4942	C5orf49	12.582
C5orf4	56.4715	C5orf4	1841.806
C5orf51	735.1288	C5orf51	503.2786
C5orf53	191.4033	C5orf53	450.0472
C5orf54	116.9409	C5orf54	117.593
C5orf55	88.4553	C5orf55	75.9757
C5orf56	129.7345	C5orf56	115.7928
C5orf58	6.4967	removed	removed
C5orf62	310.3433	C5orf62	1550.0012
C5	74.4624	C5	134.0463
C6orf105	55.472	C6orf105	40.6494
C6orf106	5826.5576	C6orf106	3375.3539
C6orf108	401.7971	C6orf108	449.0793
C6orf114	54.9722	C6orf114	10.6463
C6orf115	989.5003	C6orf115	455.8542
