gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ACOT11	73.2905	ACOT11	29.1871
ACOT13	546.4881	ACOT13	549.8773
ACOT1	358.5417	ACOT1	561.3497
ACOT2	275.5631	ACOT2	388.5481
ACOT4	93.8153	ACOT4	75.1534
ACOT7	346.1568	ACOT7	257.6687
ACOT8	206.6445	ACOT8	194.1462
ACOT9	490.4404	ACOT9	690.6953
ACOX1	1544.392	ACOX1	1970.3476
ACOX2	153.5723	ACOX2	266.8712
ACOX3	1198.8544	ACOX3	511.2474
ACP1	1436.3341	ACP1	1376.2781
ACP2	571.5613	ACP2	861.4519
ACP5	546.7915	ACP5	970.8589
ACP6	192.5846	ACP6	245.91
ACPL2	618.9334	ACPL2	325.6646
ACPP	39.6316	ACPP	19.9387
ACRBP	27.2467	ACRBP	17.3824
ACRC	10.2175	ACRC	22.4949
removed	removed	ACR	16.3599
ACSBG1	9.9079	ACSBG1	18.4049
ACSF2	1120.2105	ACSF2	672.2904
ACSF3	359.4705	ACSF3	281.1861
ACSL1	3012.9267	ACSL1	5381.9018
ACSL3	3924.4524	ACSL3	2187.1166
ACSL4	1578.76	ACSL4	1700.409
ACSL5	559.486	ACSL5	904.908
removed	removed	ACSL6	10.2249
ACSM1	13.0041	ACSM1	9.2025
ACSM3	88.8892	ACSM3	93.18
ACSM5	32.5103	ACSM5	224.9489
ACSS1	957.3496	ACSS1	539.3661
ACSS2	595.0925	ACSS2	1633.9468
ACSS3	275.8727	ACSS3	342.5358
removed	removed	ACTA1	18.4049
ACTA2	19743.7511	ACTA2	23710.7924
ACTBL2	10.5271	ACTBL2	6.6462
ACTB	78762.1333	ACTB	111613.4969
ACTG1	46789.6896	ACTG1	76558.2822
ACTG2	623.5777	ACTG2	6071.0634
ACTL6A	893.258	ACTL6A	666.1554
ACTL8	5.8828	removed	removed
ACTN1	6318.7553	ACTN1	7233.6401
ACTN2	9.9079	ACTN2	5.1125
ACTN4	9566.7033	ACTN4	9969.4018
ACTR10	964.1613	ACTR10	1382.9243
ACTR1A	2189.9528	ACTR1A	2415.1329
ACTR1B	1149.0053	ACTR1B	1362.9857
ACTR2	7803.0807	ACTR2	5501.0225
ACTR3B	158.5262	ACTR3B	180.9816
ACTR3C	36.845	ACTR3C	24.0286
ACTR3	5162.9383	ACTR3	3418.2004
ACTR5	164.409	ACTR5	174.8466
ACTR6	518.9256	ACTR6	605.8282
ACTR8	478.3652	ACTR8	379.8569
ACVR1B	1913.7704	ACVR1B	903.3742
ACVR1C	75.8573	ACVR1C	653.8855
ACVR1	1571.6387	ACVR1	1426.8916
ACVR2A	623.2681	ACVR2A	476.4826
ACVR2B	354.5166	ACVR2B	135.4806
ACVRL1	795.4176	ACVRL1	1194.7853
ACY1	279.8978	ACY1	526.2321
removed	removed	ACY3	7.1575
ACYP1	47.6817	ACYP1	68.5072
ACYP2	113.6311	ACYP2	208.589
ADAL	182.9863	ADAL	210.6339
ADAM10	2145.9865	ADAM10	1741.3088
ADAM11	18.5773	ADAM11	11.7587
ADAM12	11694.094	ADAM12	244.3763
ADAM15	2085.0344	ADAM15	3903.4816
ADAM17	909.6679	ADAM17	935.5828
ADAM19	459.4783	ADAM19	106.3395
ADAM22	168.4341	ADAM22	31.6973
ADAM23	166.2667	ADAM23	63.3947
ADAM28	119.2043	ADAM28	101.227
ADAM2	15.1715	removed	removed
ADAM32	29.7237	ADAM32	44.4785
ADAM33	492.4963	ADAM33	953.4765
ADAM6	48029.1632	ADAM6	20403.502
ADAM8	56.3511	ADAM8	138.5481
ADAM9	3661.5837	ADAM9	2680.9816
ADAMDEC1	5.5732	ADAMDEC1	30.6748
ADAMTS10	168.1245	ADAMTS10	135.9918
ADAMTS12	840.932	ADAMTS12	83.3333
ADAMTS13	48.301	ADAMTS13	37.3211
ADAMTS14	780.2461	ADAMTS14	10.7362
ADAMTS15	248.3164	ADAMTS15	93.047
ADAMTS16	508.3985	ADAMTS16	229.0389
ADAMTS17	71.2129	ADAMTS17	33.2311
ADAMTS18	250.4838	ADAMTS18	77.7096
ADAMTS19	21.9831	ADAMTS19	8.6912
ADAMTS1	3176.0972	ADAMTS1	9104.8057
ADAMTS20	20.435	removed	removed
ADAMTS2	1971.36	ADAMTS2	679.4479
ADAMTS3	126.0159	ADAMTS3	99.182
ADAMTS4	1292.3601	ADAMTS4	1486.7076
ADAMTS5	1145.9091	ADAMTS5	2456.0327
ADAMTS6	204.3502	ADAMTS6	44.9898
ADAMTS7	211.4715	ADAMTS7	62.3722
ADAMTS8	157.2877	ADAMTS8	58.2822
ADAMTS9	1325.7992	ADAMTS9	663.5992
ADAMTSL1	378.3575	ADAMTSL1	282.2086
ADAMTSL2	106.5098	ADAMTSL2	26.5849
