gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ELF2	1025.776	ELF2	848.6708
ELF3	2752.8446	ELF3	2553.681
ELF4	794.1791	ELF4	638.5481
ELF5	339.0355	ELF5	2787.8323
ELFN1	101.5558	ELFN1	55.2147
ELFN2	13.3137	removed	removed
ELK1	788.6059	ELK1	738.7526
ELK3	1390.8197	ELK3	1174.8466
ELK4	293.2115	ELK4	152.3517
ELL2	993.2657	ELL2	1531.6973
ELL3	113.5134	ELL3	124.2331
ELL	434.0893	ELL	443.2515
ELMO1	486.1057	ELMO1	759.7137
ELMO2	1269.7577	ELMO2	881.3906
ELMO3	275.2535	ELMO3	371.6769
ELMOD2	324.7929	ELMOD2	152.863
ELMOD3	333.772	ELMOD3	546.5235
ELN	9025.1567	ELN	3351.7382
ELOF1	604.0715	ELOF1	690.184
ELOVL1	1323.3222	ELOVL1	1673.8241
ELOVL2	369.0688	ELOVL2	54.1922
removed	removed	ELOVL3	29.1411
ELOVL4	92.2672	ELOVL4	48.5685
ELOVL5	4146.451	ELOVL5	3264.3149
ELOVL6	159.7647	ELOVL6	162.5767
ELOVL7	321.0775	ELOVL7	282.2086
ELP2P	7.4309	ELP2P	5.1125
ELP2	1788.0641	ELP2	1521.4724
ELP3	566.6073	ELP3	638.5481
ELP4	180.1997	ELP4	235.1738
ELTD1	1854.0135	ELTD1	1723.9264
EMB	603.4523	EMB	1329.2434
EMCN	1354.9036	EMCN	1462.6789
EMD	802.8485	EMD	1162.5767
EME1	41.4552	EME1	19.8824
EME2	11.7656	removed	removed
EMG1	326.341	EMG1	444.274
EMID1	566.9169	EMID1	78.7321
EMID2	13.0041	EMID2	5.1125
EMILIN1	4134.0661	EMILIN1	609.407
EMILIN2	722.6566	EMILIN2	1411.5542
EMILIN3	73.0645	EMILIN3	60.3476
EML1	925.4586	EML1	710.6339
EML2	525.4153	EML2	327.1984
EML3	793.2503	EML3	761.2474
EML4	1692.7007	EML4	1171.7791
EML5	65.3301	EML5	71.5746
EML6	21.3639	EML6	29.1411
EMP1	5388.0331	EMP1	25781.6973
EMP2	2577.9085	EMP2	2890.0818
EMP3	435.9471	EMP3	1553.681
EMR1	16.1003	EMR1	13.8037
EMR2	106.5098	EMR2	153.3742
removed	removed	EMR3	11.2474
removed	removed	EMR4P	7.1575
EMX2OS	182.9863	EMX2OS	202.454
EMX2	78.6439	EMX2	72.5971
EN1	40.2508	EN1	56.2372
EN2	43.9663	EN2	5.1125
ENAH	8194.7519	ENAH	3717.2802
ENC1	2925.632	ENC1	1011.9581
ENDOD1	1846.2729	ENDOD1	2077.7096
ENDOG	95.0197	ENDOG	114.6166
ENDOU	12.6945	ENDOU	16.3599
ENGASE	252.6511	ENGASE	243.865
ENG	3685.1149	ENG	4441.2065
ENHO	31.2718	ENHO	52.1472
ENKUR	6.1924	removed	removed
ENO1	11822.2773	ENO1	16963.7014
ENO2	441.8299	ENO2	445.2965
ENO3	7.7405	ENO3	24.5399
ENOPH1	973.7596	ENOPH1	680.9816
ENOSF1	256.413	ENOSF1	348.5838
ENOX1	59.4473	ENOX1	42.4335
ENOX2	386.7172	ENOX2	438.6503
ENPEP	615.2179	ENPEP	245.91
ENPP1	1172.227	ENPP1	532.2086
ENPP2	2143.8192	ENPP2	4426.3804
ENPP3	32.2006	ENPP3	103.7832
ENPP4	1189.8754	ENPP4	652.3517
ENPP5	2476.3527	ENPP5	303.1697
ENPP6	40.5604	ENPP6	37.3211
ENSA	2728.0749	ENSA	4057.771
ENTPD1	2068.2715	ENTPD1	1245.3732
ENTPD2	186.0825	ENTPD2	280.6748
ENTPD3	101.5558	ENTPD3	79.2434
ENTPD4	471.2439	ENTPD4	300.1022
ENTPD5	292.2208	ENTPD5	94.2331
ENTPD6	936.2954	ENTPD6	1122.6994
ENTPD7	667.2467	ENTPD7	146.682
ENTPD8	30.0333	ENTPD8	7.1575
ENY2	359.4705	ENY2	529.1411
EOMES	14.8618	removed	removed
EP300	3514.8231	EP300	2021.4724
EP400NL	193.2038	EP400NL	110.9407
EP400	2053.7193	EP400	1348.1595
EPAS1	6475.1142	EPAS1	9092.5358
EPB41L1	1331.0628	EPB41L1	2087.4233
EPB41L2	2527.4402	EPB41L2	3542.9448
EPB41L3	1061.3825	EPB41L3	1129.8569
EPB41L4A	580.5403	EPB41L4A	537.3211
EPB41L4B	809.6602	EPB41L4B	779.6524
EPB41L5	509.0177	EPB41L5	540.3885
EPB41	1495.2148	EPB41	873.3129
removed	removed	EPB42	10.7362
EPB49	396.0059	EPB49	1025.5624
EPC1	902.8563	EPC1	626.2781
EPC2	896.0446	EPC2	794.9898
EPCAM	2580.3855	EPCAM	2180.9816
EPDR1	425.4199	EPDR1	683.0266
EPHA10	100.0077	EPHA10	40.3885
EPHA1	279.5882	EPHA1	265.3374
EPHA2	397.2444	EPHA2	869.6319
EPHA3	114.8696	EPHA3	77.1984
EPHA4	430.6835	EPHA4	359.9182
removed	removed	EPHA6	16.3599
EPHA7	62.8532	EPHA7	52.6585
EPHB1	171.2207	EPHB1	473.4151
EPHB2	334.0816	EPHB2	161.0429
EPHB3	2132.9824	EPHB3	552.6585
EPHB4	3220.9923	EPHB4	2282.2086
EPHB6	258.5339	EPHB6	349.182
EPHX1	2116.5725	EPHX1	3516.8712
EPHX2	751.4514	EPHX2	854.2945
EPHX3	5.2636	EPHX3	12.7812
EPHX4	30.3429	EPHX4	34.7648
EPM2AIP1	1179.0386	EPM2AIP1	1006.135
EPM2A	169.6726	EPM2A	226.4826
EPN1	1410.3259	EPN1	1607.8732
EPN2	985.2156	EPN2	1004.09
EPN3	1615.2953	EPN3	162.0654
EPOR	62.7789	EPOR	79.7239
EPPK1	257.9147	EPPK1	625.2556
EPR1	24.1133	EPR1	41.7025
EPRS	3772.7378	EPRS	2417.1779
EPS15L1	789.5348	EPS15L1	695.8078
EPS15	2301.1069	EPS15	2277.6074
EPS8L1	281.1363	EPS8L1	145.1943
EPS8L2	866.9402	EPS8L2	1130.3681
EPS8	2144.1288	EPS8	2419.7342
EPSTI1	315.1947	EPSTI1	179.9591
EPT1	1098.8281	EPT1	632.4131
EPYC	7.4309	removed	removed
ERAL1	730.0875	ERAL1	825.1534
ERAP1	1516.5725	ERAP1	1866.4213
ERAP2	956.1112	ERAP2	1260.2249
ERBB2IP	3188.4821	ERBB2IP	1992.3313
ERBB2	3680.4706	ERBB2	3539.8773
ERBB3	5517.4549	ERBB3	2633.9468
ERBB4	1978.7909	ERBB4	326.1759
ERC1	2616.6112	ERC1	1390.0818
removed	removed	ERC2	5.1125
ERCC1	783.652	ERCC1	919.7342
ERCC2	369.4992	ERCC2	307.2597
ERCC3	861.0574	ERCC3	1185.5828
ERCC4	416.7505	ERCC4	217.7914
ERCC5	1163.5576	ERCC5	1414.6217
ERCC6L	48.9202	ERCC6L	12.2699
ERCC6	327.2885	ERCC6	225.1943
ERCC8	148.9279	ERCC8	150.3067
EREG	20.1254	EREG	207.0552
ERF	801.9197	ERF	1042.9448
ERGIC1	8487.9635	ERGIC1	4323.6196
ERGIC2	873.7518	ERGIC2	682.5153
ERGIC3	2554.0677	ERGIC3	3809.816
ERG	706.5562	ERG	1020.9611
ERH	1048.9976	ERH	1708.0777
ERI1	394.1482	ERI1	393.1493
ERI2	373.066	ERI2	267.7607
ERI3	822.3547	ERI3	959.6115
ERICH1	208.9945	ERICH1	271.9836
ERLEC1	2108.2127	ERLEC1	1794.4785
ERLIN1	887.9944	ERLIN1	1129.3456
ERLIN2	4729.1586	ERLIN2	1658.998
ERMAP	436.2567	ERMAP	509.7137
ERMN	14.8618	ERMN	8.18
ERMP1	1627.7823	ERMP1	742.4438
ERN1	447.403	ERN1	99.6933
ERO1LB	324.7929	ERO1LB	289.8773
ERO1L	528.8335	ERO1L	570.0409
ERP27	37.7738	ERP27	35.2761
ERP29	2221.5342	ERP29	1610.4294
ERP44	1336.0167	ERP44	1564.4172
ERRFI1	1122.6875	ERRFI1	2800.1022
ERVFRDE1	23.2216	ERVFRDE1	43.456
ESAM	900.0697	ESAM	1792.4335
ESCO1	738.7569	ESCO1	496.9325
ESCO2	20.435	ESCO2	25.5624
ESD	1498.2584	ESD	2553.681
ESF1	1125.1645	ESF1	523.0061
ESM1	32.8199	ESM1	26.0736
ESPL1	67.8071	ESPL1	50.1022
ESPNL	31.2718	ESPNL	14.3149
ESPN	185.1536	ESPN	132.9243
ESR1	4815.8526	ESR1	924.3354
ESR2	9.2886	ESR2	12.7812
ESRP1	1428.2839	ESRP1	963.7014
ESRP2	879.0154	ESRP2	520.9611
ESRRA	449.88	ESRRA	357.362
ESRRB	17.3388	removed	removed
ESRRG	188.5595	ESRRG	69.0184
ESYT1	3318.2135	ESYT1	4668.7117
ESYT2	4083.2882	ESYT2	5615.5419
ESYT3	31.5814	ESYT3	45.501
ETAA1	387.0269	ETAA1	343.5583
ETF1	2562.1178	ETF1	4349.6933
ETFA	1014.6296	ETFA	1207.0552
ETFB	500.9676	ETFB	571.5746
ETFDH	376.8094	ETFDH	477.5051
ETHE1	278.0401	ETHE1	620.6544
ETNK1	1981.2679	ETNK1	1063.9059
ETNK2	863.5343	ETNK2	366.0532
ETS1	3820.7292	ETS1	3756.135
ETS2	2844.183	ETS2	4304.7035
ETV1	942.1782	ETV1	521.4724
removed	removed	ETV2	7.1575
ETV3L	6.1924	ETV3L	10.7362
ETV3	401.2694	ETV3	218.3027
ETV4	70.5937	ETV4	133.4356
ETV5	687.6693	ETV5	655.4192
ETV6	1758.3404	ETV6	1890.0818
ETV7	39.0123	ETV7	36.2986
EVC2	211.1619	EVC2	228.0164
EVC	1823.265	EVC	690.3528
EVI2A	342.751	EVI2A	429.4479
EVI2B	367.2111	EVI2B	523.0061
EVI5L	391.0519	EVI5L	226.9939
EVI5	732.5644	EVI5	700.9202
EVL	3022.2153	EVL	1361.4519
EVPL	271.538	EVPL	252.045
EWSR1	3384.4725	EWSR1	2833.3333
EXD2	706.5562	EXD2	607.8732
EXD3	127.2544	EXD3	193.2515
EXO1	31.891	EXO1	31.1861
EXOC1	986.1444	EXOC1	975.4601
EXOC2	1380.9118	EXOC2	770.9611
EXOC3L2	57.5896	EXOC3L2	61.3497
EXOC3L	63.6675	EXOC3L	44.9898
EXOC3	1043.1148	EXOC3	1253.0675
EXOC4	1438.5014	EXOC4	1508.6912
EXOC5	1674.433	EXOC5	1342.0245
EXOC6B	299.404	EXOC6B	149.7955
EXOC6	459.7879	EXOC6	441.2065
EXOC7	2701.0666	EXOC7	2573.1084
EXOC8	524.4988	EXOC8	511.7587
EXOG	119.8235	EXOG	118.0982
EXOSC10	1248.7035	EXOSC10	1440.184
EXOSC1	231.5969	EXOSC1	305.2147
EXOSC2	334.0816	EXOSC2	425.3579
EXOSC3	170.6014	EXOSC3	152.3517
EXOSC4	142.4259	EXOSC4	212.1677
EXOSC5	196.9193	EXOSC5	286.2986
EXOSC6	279.5882	EXOSC6	385.9918
EXOSC7	351.73	EXOSC7	473.9264
EXOSC8	179.7136	EXOSC8	423.9417
EXOSC9	374.4934	EXOSC9	577.3006
EXPH5	260.082	EXPH5	409.5092
EXT1	918.9566	EXT1	1137.0143
EXT2	2082.2045	EXT2	1921.2679
EXTL1	56.9704	EXTL1	46.5235
EXTL2	484.248	EXTL2	394.1718
EXTL3	1317.1298	EXTL3	1124.7444
EYA1	37.1546	EYA1	21.9836
EYA2	513.3524	EYA2	712.6789
EYA3	216.1158	EYA3	92.0245
EYA4	7.1213	EYA4	10.7362
EYS	12.0752	EYS	20.4499
EZH1	930.4126	EZH1	1308.2822
EZH2	117.9658	EZH2	85.8896
EZR	6184.6892	EZR	3955.0102
F10	82.9786	F10	214.2127
F11R	2699.2801	F11R	3773.0061
F12	22.912	F12	42.9448
F13A1	3869.959	F13A1	5816.9734
F2RL1	195.6808	F2RL1	229.0389
F2RL2	3423.1752	F2RL2	96.1145
F2RL3	26.6274	F2RL3	29.1411
F2R	4005.8828	F2R	1062.3722
F3	603.7619	F3	2267.8937
F5	26.6274	F5	28.1186
F7	28.1756	F7	9.2025
F8A1	75.5476	F8A1	98.6708
F8	1363.573	F8	1077.7096
FA2H	93.5057	FA2H	43.9673
FAAH2	174.3169	FAAH2	156.4417
FAAH	587.352	FAAH	203.4765
FABP3	43.6566	FABP3	126.2781
FABP4	644.0127	FABP4	10909.5092
FABP5	46.7528	FABP5	156.4417
FABP7	42.4181	FABP7	532.7198
FADD	440.901	FADD	339.4683
FADS1	291.6634	FADS1	230.0613
FADS2	370.6169	FADS2	332.8221
FADS3	168.1245	FADS3	699.3865
FAF1	870.0364	FAF1	982.1063
FAF2	1888.6911	FAF2	1438.6503
FAHD1	403.4182	FAHD1	301.636
FAHD2A	251.7223	FAHD2A	416.1554
FAHD2B	256.6762	FAHD2B	232.6176
FAH	754.5476	FAH	1074.1309
FAIM2	196.9193	FAIM2	36.2986
FAIM3	104.6366	FAIM3	156.4213
FAIM	213.9484	FAIM	284.7648
FAM100A	258.5339	FAM100A	297.0348
FAM100B	289.1865	FAM100B	488.7526
FAM101A	185.7729	FAM101A	69.0184
FAM101B	379.5959	FAM101B	1004.6012
FAM102A	4393.5289	FAM102A	2144.1718
FAM102B	1288.9543	FAM102B	1138.0368
FAM103A1	522.6101	FAM103A1	334.3558
FAM104A	1004.3161	FAM104A	800.8793
FAM104B	182.3671	FAM104B	221.3701
FAM105A	399.7213	FAM105A	462.1677
FAM105B	540.2895	FAM105B	400.3067
FAM106A	5.2636	removed	removed
FAM106C	12.6945	removed	removed
FAM107A	571.8709	FAM107A	2251.0225
FAM107B	1571.6387	FAM107B	3256.6462
FAM108A1	333.772	FAM108A1	472.3926
FAM108B1	553.6032	FAM108B1	344.5808
FAM108C1	786.7482	FAM108C1	177.9141
FAM109A	258.8436	FAM109A	203.4765
FAM109B	539.9799	FAM109B	316.9734
FAM10A4	328.5084	FAM10A4	323.1084
FAM110A	443.9972	FAM110A	201.9427
FAM110B	473.4113	FAM110B	271.9836
FAM110C	18.2677	FAM110C	5.1125
FAM111A	757.0245	FAM111A	678.4254
FAM111B	80.5016	FAM111B	81.2883
FAM113A	716.4641	FAM113A	427.9141
FAM113B	136.8558	FAM113B	158.4867
FAM114A1	2071.0581	FAM114A1	717.2802
FAM114A2	624.5065	FAM114A2	470.3476
FAM115A	824.2124	FAM115A	485.6851
FAM115C	582.4568	FAM115C	481.0685
FAM116A	947.1321	FAM116A	1193.2515
FAM116B	157.907	FAM116B	146.728
FAM117A	510.5658	FAM117A	812.8834
FAM117B	426.968	FAM117B	308.7935
FAM118A	371.5458	FAM118A	353.7832
FAM118B	326.9603	FAM118B	237.7301
FAM119A	119.5139	FAM119A	164.6217
FAM119B	334.3912	FAM119B	354.2945
FAM120AOS	1217.4472	FAM120AOS	1146.319
FAM120A	5059.1996	FAM120A	3661.9632
FAM120B	1292.3601	FAM120B	771.4724
FAM120C	388.2653	FAM120C	311.8609
FAM122A	802.2293	FAM122A	756.135
FAM122B	734.4222	FAM122B	641.1043
FAM122C	38.3931	FAM122C	29.6524
FAM123B	208.0656	FAM123B	152.3517
FAM124A	42.4181	FAM124A	67.4847
FAM124B	93.1961	FAM124B	62.8834
FAM125A	387.0269	FAM125A	542.4335
FAM125B	478.0556	FAM125B	535.7873
FAM126A	1216.8124	FAM126A	1600.2045
FAM126B	602.833	FAM126B	442.229
FAM127A	1456.4595	FAM127A	1880.8793
FAM127B	726.9913	FAM127B	870.6544
FAM127C	460.7168	FAM127C	521.9836
FAM128A	245.2202	FAM128A	195.2965
FAM128B	529.7624	FAM128B	518.9162
FAM129A	7961.2973	FAM129A	3940.184
FAM129B	4493.227	FAM129B	2973.9264
FAM129C	5.5732	removed	removed
FAM131A	305.906	FAM131A	310.3272
FAM131B	277.1112	FAM131B	66.9734
FAM131C	7.1213	FAM131C	9.2025
FAM132A	6.1924	removed	removed
FAM133A	14.2426	FAM133A	6.135
FAM133B	142.7355	FAM133B	138.0368
FAM134A	2893.7224	FAM134A	2598.1595
FAM134B	1317.1298	FAM134B	622.6994
FAM134C	1731.713	FAM134C	1358.8957
FAM135A	459.1687	FAM135A	357.362
FAM135B	7.4309	FAM135B	21.4724
FAM136A	513.0428	FAM136A	533.2311
FAM13AOS	31.9158	FAM13AOS	45.271
FAM13A	804.9911	FAM13A	1429.6779
FAM13B	1548.6617	FAM13B	1540.8998
FAM13C	491.552	FAM13C	292.9601
FAM149A	114.8696	FAM149A	317.4847
FAM149B1	454.5243	FAM149B1	500.5112
FAM150B	21.3639	FAM150B	23.5174
FAM151B	31.891	FAM151B	16.8712
FAM154B	47.3721	FAM154B	32.2086
FAM155A	43.9663	FAM155A	31.1861
FAM155B	45.2047	FAM155B	13.8037
FAM156A	449.5704	FAM156A	442.7403
FAM157A	14.2426	removed	removed
FAM158A	81.7401	FAM158A	85.3783
FAM160A1	201.8732	FAM160A1	87.4233
FAM160A2	669.092	FAM160A2	769.4274
FAM160B1	1034.1358	FAM160B1	769.4274
FAM160B2	985.5252	FAM160B2	1140.593
FAM161A	96.6019	FAM161A	81.2883
FAM161B	213.5831	FAM161B	119.4939
FAM162A	1001.6255	FAM162A	688.1391
FAM162B	51.7068	FAM162B	54.1922
FAM164A	401.2694	FAM164A	456.544
FAM164C	43.9663	FAM164C	47.546
FAM165B	303.4291	FAM165B	425.3579
removed	removed	FAM166B	24.0286
FAM167A	61.3051	FAM167A	112.9857
FAM167B	60.3762	FAM167B	50.1022
FAM168A	630.0797	FAM168A	255.6237
FAM168B	2979.7972	FAM168B	3556.2372
FAM169A	202.8021	FAM169A	100.7157
FAM171A1	864.7728	FAM171A1	1077.1984
FAM171A2	62.8532	FAM171A2	27.0961
FAM171B	1063.5498	FAM171B	374.7444
FAM172A	700.3638	FAM172A	852.7607
FAM173A	42.7278	FAM173A	57.2597
FAM173B	205.5887	FAM173B	247.4438
FAM174A	254.1992	FAM174A	353.7832
FAM174B	2219.3668	FAM174B	528.6299
FAM175A	367.6322	FAM175A	422.4744
FAM175B	454.834	FAM175B	435.5828
FAM176A	172.1495	FAM176A	127.3006
FAM176B	335.7009	FAM176B	182.408
FAM177A1	1207.2142	FAM177A1	951.4315
FAM177B	6.8117	removed	removed
FAM178A	825.7605	FAM178A	588.4458
FAM178B	11.456	FAM178B	15.3374
FAM179B	764.4555	FAM179B	528.1186
FAM180A	106.8194	FAM180A	166.6667
FAM180B	7.4309	FAM180B	46.5235
removed	removed	FAM181A	6.6462
FAM181B	17.0292	FAM181B	11.7587
FAM182B	20.435	FAM182B	14.3149
FAM184A	120.1331	FAM184A	157.4642
FAM184B	32.6031	FAM184B	13.3793
FAM185A	87.9325	FAM185A	96.6258
FAM186B	12.6945	FAM186B	10.7362
FAM188A	534.0971	FAM188A	526.5849
FAM188B	243.1334	FAM188B	266.3037
FAM189A1	50.1587	FAM189A1	8.6912
FAM189A2	509.637	FAM189A2	1154.908
FAM189B	425.4199	FAM189B	574.1309
FAM18A	10.7717	FAM18A	23.8088
FAM18B2	182.2711	FAM18B2	289.3661
FAM18B	657.3264	FAM18B	838.9571
FAM190A	144.2836	FAM190A	110.4294
FAM190B	1738.8343	FAM190B	1579.7546
FAM192A	1150.5534	FAM192A	1154.3967
FAM193A	983.0482	FAM193A	726.9939
FAM193B	475.8882	FAM193B	598.6708
FAM195A	186.7018	FAM195A	107.8732
FAM195B	758.8823	FAM195B	1259.7137
FAM196A	97.5308	removed	removed
FAM196B	376.8094	FAM196B	123.7219
FAM198A	527.2854	FAM198A	214.7239
FAM198B	8795.108	FAM198B	4151.3292
FAM199X	712.1294	FAM199X	309.816
FAM19A2	21.0543	FAM19A2	31.6973
FAM19A3	7.7405	FAM19A3	9.2025
FAM19A5	96.6019	FAM19A5	89.4683
FAM200A	208.6849	FAM200A	113.4969
FAM200B	462.5745	FAM200B	505.1125
FAM20A	541.528	FAM20A	496.9325
FAM20B	2208.2205	FAM20B	2188.6503
FAM20C	783.3424	FAM20C	1394.1718
FAM21A	374.3324	FAM21A	239.7751
FAM21B	572.1805	FAM21B	925.3579
FAM21C	1658.6423	FAM21C	1918.7117
FAM22A	34.0584	FAM22A	36.2986
FAM22D	133.4469	FAM22D	93.5583
FAM23A	11.1464	FAM23A	27.0961
FAM24B	8.4991	FAM24B	12.6636
FAM26E	368.7592	FAM26E	299.591
FAM26F	49.2298	FAM26F	89.9796
removed	removed	FAM27A	8.6912
FAM27C	5.2636	FAM27C	12.2699
FAM32A	1409.397	FAM32A	1544.4785
FAM35A	731.326	FAM35A	705.5215
FAM35B2	68.1167	FAM35B2	57.2597
FAM35B	219.212	FAM35B	238.7526
FAM36A	782.8903	FAM36A	989.182
FAM38A	1605.0437	FAM38A	2378.8292
FAM38B	1137.2397	FAM38B	299.0798
FAM3A	430.3739	FAM3A	501.0225
FAM3B	214.2581	FAM3B	219.8364
FAM3C	1355.8325	FAM3C	1450.9202
FAM3D	25.6986	FAM3D	157.4642
FAM40A	703.1504	FAM40A	628.3231
FAM40B	17.958	FAM40B	5.1125
FAM41C	18.5773	FAM41C	22.4949
FAM43A	297.2366	FAM43A	463.1902
FAM43B	25.0793	FAM43B	23.5174
FAM45A	332.2239	FAM45A	393.6605
FAM45B	163.7898	FAM45B	172.2904
FAM46A	1347.7823	FAM46A	923.3129
FAM46B	327.2699	FAM46B	747.955
FAM46C	863.2247	FAM46C	378.3231
FAM47E	156.1019	FAM47E	167.592
FAM48A	838.9411	FAM48A	808.1646
FAM49A	207.756	FAM49A	228.0164
FAM49B	652.9917	FAM49B	1023.0061
FAM50A	827.9279	FAM50A	544.4785
FAM50B	159.1454	FAM50B	145.7055
FAM53A	17.3388	FAM53A	10.7362
FAM53B	874.0336	FAM53B	740.2556
FAM53C	1263.5653	FAM53C	1793.456
FAM54A	10.5271	FAM54A	17.3824
FAM54B	887.4154	FAM54B	1182.8476
FAM55C	957.04	FAM55C	887.5409
FAM57A	358.5417	FAM57A	288.3436
FAM57B	7.1213	removed	removed
FAM58A	195.3712	FAM58A	244.8875
FAM59A	182.9863	FAM59A	160.0204
FAM5B	97.8404	FAM5B	12.7812
FAM60A	1325.7992	FAM60A	1684.5603
FAM63A	817.4007	FAM63A	663.0879
FAM63B	695.1002	FAM63B	196.319
FAM64A	13.6233	FAM64A	47.0348
FAM65A	1435.0956	FAM65A	1792.9448
FAM65B	188.5595	FAM65B	226.4826
FAM65C	91.0287	FAM65C	154.3967
FAM66A	9.2886	FAM66A	5.6237
FAM66C	59.4473	FAM66C	46.5235
FAM66D	17.3388	FAM66D	11.2474
FAM66E	5.5732	removed	removed
FAM69A	359.4705	FAM69A	490.7975
FAM69B	137.4379	FAM69B	255.4652
FAM69C	19.1965	FAM69C	21.4724
FAM70A	121.3716	FAM70A	413.0879
FAM70B	39.6316	FAM70B	51.636
FAM71D	12.0752	FAM71D	19.9387
FAM71E1	27.9124	FAM71E1	35.9305
removed	removed	FAM71F2	5.6237
FAM72A	5.5732	FAM72A	7.1575
FAM72B	31.891	FAM72B	30.6748
FAM72D	17.958	FAM72D	17.3824
FAM73A	1599.5046	FAM73A	670.2454
FAM73B	312.4081	FAM73B	232.6176
FAM76A	344.6087	FAM76A	375.2556
FAM76B	355.1358	FAM76B	364.5194
FAM78A	121.3716	FAM78A	111.9632
FAM78B	29.1044	FAM78B	22.4949
FAM7A2	5.5732	removed	removed
FAM7A3	10.8368	FAM7A3	17.8937
FAM81A	60.3762	FAM81A	23.0061
FAM81B	22.912	removed	removed
FAM82A1	128.1833	FAM82A1	167.1779
FAM82A2	614.9083	FAM82A2	777.6074
FAM82B	700.0542	FAM82B	1070.5521
FAM83A	13.3137	FAM83A	7.6687
FAM83B	172.7688	FAM83B	63.3947
FAM83D	65.6398	FAM83D	48.0573
FAM83E	31.2718	FAM83E	36.8098
FAM83F	161.6224	FAM83F	130.8793
FAM83G	107.4387	FAM83G	67.4847
FAM83H	683.025	FAM83H	845.092
FAM84A	171.5303	FAM84A	171.2679
FAM84B	2468.6121	FAM84B	1992.8425
FAM86A	267.1136	FAM86A	268.4663
FAM86B1	138.4008	FAM86B1	215.2352
FAM86B2	17.958	FAM86B2	23.5174
FAM86C	147.3798	FAM86C	138.0368
FAM86D	116.4177	FAM86D	162.0654
FAM89A	114.2503	FAM89A	313.3947
FAM89B	701.9119	FAM89B	842.0245
FAM8A1	1594.8603	FAM8A1	1738.7526
FAM90A1	13.6233	removed	removed
FAM91A1	2037.9286	FAM91A1	1070.5521
FAM92A1	130.041	FAM92A1	166.1554
removed	removed	FAM95B1	6.135
FAM96A	730.3971	FAM96A	579.7546
FAM96B	356.684	FAM96B	581.7996
FAM98A	1106.2776	FAM98A	703.4765
FAM98B	393.8385	FAM98B	315.4397
FAM98C	145.2125	FAM98C	188.1391
FANCA	45.9726	FANCA	49.7342
FANCB	21.0543	FANCB	12.2699
FANCC	296.927	FANCC	216.2577
FANCD2	126.0159	FANCD2	161.5542
FANCE	104.3424	FANCE	127.8119
FANCF	674.6652	FANCF	233.1288
FANCG	190.4172	FANCG	232.1063
FANCI	524.1861	FANCI	323.7117
FANCL	266.6244	FANCL	203.4663
FANCM	192.5846	FANCM	239.7751
FANK1	56.3511	FANK1	61.8609
FAP	3021.9057	FAP	648.773
FAR1	1622.4166	FAR1	1443.2515
FAR2	857.5091	FAR2	122.0143
FARP1	2315.0399	FARP1	1742.3313
FARP2	342.1317	FARP2	296.0123
FARS2	196.6096	FARS2	265.3374
FARSA	753.6187	FARSA	660.0204
FARSB	841.2416	FARSB	836.9121
FASLG	9.5983	FASLG	13.8037
FASN	3550.12	FASN	5324.1309
FASTKD1	282.3748	FASTKD1	277.6074
FASTKD2	850.5302	FASTKD2	1050.1022
FASTKD3	164.0994	FASTKD3	133.4356
FASTKD5	840.7926	FASTKD5	548.0573
FASTK	787.3674	FASTK	787.3211
FAS	967.5671	FAS	683.0266
FAT1	8140.2585	FAT1	4798.5685
FAT2	1492.0659	FAT2	796.5235
FAT3	267.513	FAT3	34.7648
FAT4	1453.0536	FAT4	829.7546
FAU	3421.0078	FAU	6469.8364
FBF1	126.5609	FBF1	102.1115
FBLIM1	1549.0363	FBLIM1	1577.7096
FBLL1	11.456	FBLL1	10.7362
FBLN1	14615.6823	FBLN1	19412.5767
FBLN2	6527.1306	FBLN2	12013.2924
FBLN5	2078.489	FBLN5	3990.7975
FBLN7	482.3903	FBLN7	660.5317
FBL	1949.6865	FBL	2966.7689
FBN1	17925.2264	FBN1	10876.7894
FBN2	323.5545	FBN2	10.2249
FBN3	24.7697	FBN3	14.8262
FBP1	623.8873	FBP1	511.2474
FBRSL1	371.2362	FBRSL1	544.4785
FBRS	1238.1763	FBRS	1229.0389
FBXL12	316.4332	FBXL12	439.1616
FBXL13	26.0082	FBXL13	15.3374
FBXL14	553.6032	FBXL14	603.272
FBXL15	90.4095	FBXL15	140.593
FBXL16	114.8696	FBXL16	134.9693
FBXL17	721.1084	FBXL17	875.2556
FBXL18	282.3748	FBXL18	247.4438
FBXL19	343.0606	FBXL19	253.5787
FBXL20	156.0492	FBXL20	145.1943
FBXL22	98.3234	FBXL22	48.0573
FBXL2	181.1286	FBXL2	127.3006
FBXL3	1582.1658	FBXL3	1911.0429
FBXL4	456.0725	FBXL4	317.9959
FBXL5	4209.3041	FBXL5	3648.773
FBXL6	101.7478	FBXL6	205.6339
FBXL7	933.8184	FBXL7	672.2904
FBXL8	38.9194	FBXL8	46.8763
FBXO10	377.1314	FBXO10	170.2658
FBXO11	1964.5483	FBXO11	1644.1718
FBXO15	15.4811	FBXO15	10.2249
FBXO16	23.4476	FBXO16	20.4499
FBXO17	277.1112	FBXO17	365.0307
FBXO18	1905.4106	FBXO18	1666.6667
