gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
C6orf192	150.8011	C6orf192	407.0143
C6orf1	354.0399	C6orf1	231.1952
C6orf201	20.2553	C6orf201	7.8496
C6orf203	199.126	C6orf203	152.7457
C6orf204	34.6157	C6orf204	62.7596
removed	removed	C6orf208	9.1878
C6orf211	1111.4729	C6orf211	961.6982
removed	removed	C6orf217	7.8449
C6orf223	1359.1535	C6orf223	18.2926
C6orf225	100.4198	C6orf225	166.1283
C6orf226	56.5504	C6orf226	43.3779
C6orf26	13.932	C6orf26	13.8256
C6orf27	10.2819	C6orf27	59.9908
C6orf35	331.077	C6orf35	351.6382
C6orf41	6.1691	C6orf41	7.8449
C6orf47	726.2445	C6orf47	583.2949
C6orf48	836.6035	C6orf48	1592.5242
removed	removed	C6orf52	5.0761
C6orf57	53.1231	C6orf57	71.066
removed	removed	C6orf59	10.1523
C6orf62	3747.3773	C6orf62	2721.2875
C6orf64	732.4137	C6orf64	578.2187
C6orf70	365.6927	C6orf70	272.2658
C6orf72	711.8499	C6orf72	821.8736
C6orf89	3349.156	C6orf89	3935.856
C6orf97	123.3827	C6orf97	273.1887
C6	28.4466	C6	16.1514
C7orf10	46.2685	C7orf10	32.3027
C7orf11	516.4939	C7orf11	233.964
C7orf13	225.1735	C7orf13	97.3696
C7orf23	316.655	C7orf23	312.4135
C7orf25	288.2804	C7orf25	260.2677
C7orf26	545.9686	C7orf26	497.4619
C7orf27	827.3498	C7orf27	800.1846
C7orf28A	921.6005	C7orf28A	491.9243
C7orf28B	628.9093	C7orf28B	550.0692
C7orf29	96.3071	C7orf29	84.91
C7orf30	291.3204	C7orf30	251.0383
C7orf31	88.0816	C7orf31	126.9036
C7orf36	205.9806	C7orf36	128.7494
C7orf40	221.0607	C7orf40	196.1237
C7orf41	1036.0723	C7orf41	3974.1578
C7orf42	3967.4407	C7orf42	3333.641
C7orf43	578.528	C7orf43	154.1301
C7orf44	622.7401	C7orf44	636.8251
C7orf46	142.2329	C7orf46	95.5238
C7orf47	292.0058	C7orf47	121.8274
C7orf49	670.9211	C7orf49	478.8971
C7orf50	731.7282	C7orf50	592.0628
C7orf51	14.3947	C7orf51	42.9165
C7orf53	11.3101	removed	removed
C7orf55	157.6557	C7orf55	155.0531
C7orf58	355.7536	C7orf58	1427.7803
C7orf59	836.9463	C7orf59	731.8874
C7orf60	237.8545	C7orf60	378.4033
C7orf63	156.9703	C7orf63	117.2127
C7orf64	470.9108	C7orf64	273.1887
C7orf68	983.6346	C7orf68	470.2353
C7orf70	545.9686	C7orf70	400.5538
C7	1282.4951	C7	1991.2321
C8orf30A	489.0755	C8orf30A	399.6308
removed	removed	C8orf31	7.8449
C8orf33	1552.9089	C8orf33	1126.9036
C8orf34	8.5682	C8orf34	30.9183
C8orf37	110.7017	C8orf37	95.5238
C8orf38	239.2254	C8orf38	161.9751
C8orf39	15.0801	C8orf39	6.922
C8orf40	694.3707	C8orf40	483.6179
C8orf41	518.7833	C8orf41	217.5865
C8orf42	137.7774	C8orf42	451.7766
C8orf44	33.4299	C8orf44	41.9935
C8orf45	20.2211	C8orf45	23.5348
C8orf46	13.7092	C8orf46	25.8422
removed	removed	C8orf47	28.611
C8orf48	15.7656	C8orf48	13.3826
C8orf4	1148.8304	C8orf4	1108.4449
C8orf51	39.7567	C8orf51	44.7623
C8orf55	1166.9951	C8orf55	712.9672
C8orf58	123.7255	C8orf58	179.5108
C8orf59	462.9903	C8orf59	344.0609
C8orf73	171.7077	C8orf73	54.4532
C8orf75	23.9911	removed	removed
C8orf76	308.1141	C8orf76	231.1952
removed	removed	C8orf77	5.9991
C8orf79	211.807	C8orf79	453.6225
C8orf80	19.8783	C8orf80	20.3046
C8orf83	522.3203	C8orf83	766.036
C8orf84	122.6973	C8orf84	481.772
C8orf85	79.8561	C8orf85	169.3586
C9orf100	111.209	C9orf100	47.7157
C9orf102	172.6262	C9orf102	179.4647
C9orf103	91.1661	C9orf103	92.2935
C9orf109	18.1647	C9orf109	21.689
C9orf110	123.04	C9orf110	183.2026
C9orf114	466.87	C9orf114	399.0401
C9orf116	107.9599	C9orf116	48.4541
C9orf117	14.7374	removed	removed
C9orf119	349.2417	C9orf119	227.042
removed	removed	C9orf122	24.9192
C9orf123	749.5502	C9orf123	524.6885
C9orf125	52.4377	C9orf125	157.3604
C9orf128	37.3576	removed	removed
C9orf129	114.7802	C9orf129	116.0175
C9orf130	121.5903	C9orf130	142.5888
removed	removed	C9orf131	5.5376
C9orf140	372.5473	C9orf140	132.4412
C9orf142	350.9554	C9orf142	177.2035
C9orf150	895.2104	C9orf150	651.5921
C9orf152	1959.7292	C9orf152	588.8325
C9orf156	363.9791	C9orf156	245.9622
C9orf163	19.8783	C9orf163	5.0761
C9orf167	107.6172	C9orf167	171.2044
C9orf169	7.5812	removed	removed
C9orf16	412.9895	C9orf16	453.1611
C9orf172	20.2211	C9orf172	8.3064
C9orf21	106.589	C9orf21	186.4329
C9orf23	382.4865	C9orf23	335.9483
C9orf25	399.9657	C9orf25	338.7171
C9orf30	140.3959	C9orf30	162.3304
C9orf37	153.2002	C9orf37	109.8293
C9orf3	530.0454	C9orf3	306.0222
C9orf40	146.3456	C9orf40	138.4402
C9orf41	175.8204	C9orf41	167.9742
C9orf43	6.8546	removed	removed
C9orf45	172.3931	C9orf45	208.5833
C9orf46	492.8455	C9orf46	227.5035
C9orf47	71.2981	C9orf47	21.3798
C9orf5	2271.6134	C9orf5	3483.1564
C9orf64	418.1304	C9orf64	407.0143
C9orf66	38.5228	C9orf66	42.9995
C9orf68	120.6409	C9orf68	48.9156
C9orf69	1090.5664	C9orf69	685.7407
C9orf6	722.8172	C9orf6	399.6308
C9orf72	241.2818	C9orf72	288.4172
C9orf78	1843.2011	C9orf78	1035.0715
C9orf7	1363.3793	C9orf7	494.6931
C9orf80	551.795	C9orf80	286.1098
C9orf82	656.3276	C9orf82	319.797
C9orf85	176.8486	C9orf85	127.8265
C9orf86	1936.0809	C9orf86	1187.8173
C9orf89	170.6795	C9orf89	145.3623
C9orf91	1770.5424	C9orf91	658.9755
C9orf93	58.2641	C9orf93	52.1458
C9orf95	384.8856	C9orf95	352.5611
C9orf96	8.2255	C9orf96	11.5367
C9orf98	46.954	C9orf98	20.3046
C9orf9	143.2611	C9orf9	142.5934
CA11	159.7121	CA11	228.8879
CA12	6922.4574	CA12	2212.275
CA13	46.1314	CA13	92.7919
CA14	6.8546	CA14	10.1523
CA2	760.1748	CA2	718.9663
CA3	33.0392	CA3	429.5893
CA4	44.5549	CA4	263.9594
CA5BP	287.2076	CA5BP	152.2843
CA5B	648.2427	CA5B	307.1574
removed	removed	CA6	6.4605
CA8	221.0607	CA8	284.7254
removed	removed	CA9	6.6267
CAB39L	946.9626	CAB39L	1479.0032
CAB39	2490.275	CAB39	2460.0831
CABC1	729.6753	CABC1	2097.6465
CABIN1	1223.8883	CABIN1	1484.0794
CABLES1	986.3765	CABLES1	967.6973
CABLES2	264.2447	CABLES2	184.1255
CABP1	13.7092	CABP1	22.1504
CABP4	7.8828	CABP4	27.4942
CABYR	82.9406	CABYR	71.9889
CACHD1	363.9791	CACHD1	1073.3733
CACNA1A	25.7047	CACNA1A	20.3046
removed	removed	CACNA1B	7.8449
CACNA1C	219.6898	CACNA1C	600.3692
CACNA1D	504.8411	CACNA1D	131.0568
CACNA1F	16.7938	CACNA1F	10.6138
CACNA1G	11.3101	CACNA1G	56.299
CACNA1H	122.3546	CACNA1H	52.1458
CACNA1I	12.681	CACNA1I	22.1504
CACNA2D1	69.2314	CACNA2D1	241.809
CACNA2D2	463.028	CACNA2D2	287.0328
CACNA2D3	8.5682	CACNA2D3	7.3835
CACNA2D4	29.132	CACNA2D4	48.4541
CACNB1	43.8694	CACNB1	55.8376
CACNB2	15.0801	CACNB2	47.9926
CACNB3	419.1586	CACNB3	419.4739
CACNB4	61.0059	CACNB4	212.7365
CACNG4	273.1557	CACNG4	272.2658
CACYBP	1600.8911	CACYBP	885.0946
CADM1	287.8931	CADM1	1034.6101
CADM2	72.6587	CADM2	38.3018
CADM3	112.6793	CADM3	349.5201
CADM4	1267.7577	CADM4	568.9894
CADPS2	1114.9002	CADPS2	1001.8459
CAD	803.3588	CAD	1392.7088
CALB2	90.4807	CALB2	704.1994
CALCOCO1	2317.1965	CALCOCO1	3042.9165
CALCOCO2	1822.2946	CALCOCO2	2518.6894
CALCRL	1355.4965	CALCRL	1100.5999
removed	removed	CALCR	41.0706
CALD1	6174.6209	CALD1	8739.7323
CALHM2	479.4791	CALHM2	766.036
CALM1	6965.2986	CALM1	7448.0849
CALM2	6761.7171	CALM2	7173.0503
CALM3	3660.012	CALM3	4288.8786
CALML3	202.5533	CALML3	662.6673
CALML4	200.8397	CALML4	293.4933
CALML5	2614.3432	CALML5	619.7508
removed	removed	CALN1	17.0743
CALR	14865.2215	CALR	10015.6899
CALU	5130.6658	CALU	3275.4961
CAMK1D	45.2403	CAMK1D	95.5238
CAMK1	121.5354	CAMK1	379.2478
CAMK2B	13.3665	CAMK2B	51.6844
CAMK2D	685.8024	CAMK2D	1205.353
CAMK2G	535.6867	CAMK2G	691.7397
CAMK2N1	1203.6672	CAMK2N1	938.6248
CAMK4	21.9347	CAMK4	21.2275
CAMKK1	237.1691	CAMKK1	185.0485
CAMKK2	1591.9801	CAMKK2	1610.9829
CAMLG	637.8202	CAMLG	981.0798
CAMP	10.9674	removed	removed
CAMSAP1L1	836.9463	CAMSAP1L1	1603.5994
CAMSAP1	646.3885	CAMSAP1	942.3166
CAMTA1	275.8975	CAMTA1	384.4024
CAMTA2	1081.9981	CAMTA2	1245.5007
CAND1	3797.4467	CAND1	3003.2303
CAND2	54.1513	CAND2	123.6733
CANT1	2563.2765	CANT1	1928.4725
CANX	15389.5981	CANX	17598.5233
CAP1	5419.587	CAP1	5828.3341
CAP2	401.6794	CAP2	560.2215
CAPG	892.4685	CAPG	1467.0051
CAPN10	184.3887	CAPN10	157.9695
CAPN11	29.8175	CAPN11	109.8293
CAPN12	22.9355	CAPN12	46.1467
CAPN13	646.0458	CAPN13	145.3623
CAPN1	2872.0761	CAPN1	3773.4195
CAPN2	6966.6695	CAPN2	5696.8159
CAPN3	35.4691	CAPN3	66.9912
CAPN5	137.4347	CAPN5	425.473
CAPN6	219.0044	CAPN6	737.425
CAPN7	1069.6598	CAPN7	775.2653
CAPN8	260.4747	CAPN8	174.8962
CAPN9	474.3381	CAPN9	11.5367
CAPNS1	6225.6876	CAPNS1	5554.2224
CAPRIN1	5173.507	CAPRIN1	6390.8629
CAPRIN2	212.8352	CAPRIN2	264.8823
CAPS2	21.9347	CAPS2	57.6834
CAPS	146.6884	CAPS	125.0577
CAPZA1	2948.5048	CAPZA1	2149.5155
CAPZA2	1764.0305	CAPZA2	2251.4998
removed	removed	CAPZA3	5.5376
CAPZB	2913.8891	CAPZB	3378.8648
CARD10	326.5496	CARD10	637.2866
CARD11	105.9035	CARD11	161.5136
CARD14	408.534	CARD14	126.9036
CARD16	79.5133	CARD16	65.9898
CARD6	191.586	CARD6	329.0263
CARD8	762.9166	CARD8	722.1966
CARD9	23.3056	CARD9	56.7605
CARHSP1	1281.0762	CARHSP1	1219.3586
CARKD	1129.2948	CARKD	945.5468
CARM1	872.9329	CARM1	806.1837
CARNS1	12.3383	CARNS1	34.6101
CARS2	326.248	CARS2	480.3692
CARS	603.2045	CARS	678.814
CARTPT	5.4837	removed	removed
CASC1	58.6068	CASC1	31.3798
CASC2	34.9584	CASC2	44.3009
CASC3	1680.4044	CASC3	2942.3166
CASC4	1840.1165	CASC4	2746.6544
CASC5	271.442	CASC5	45.2238
CASD1	2999.2289	CASD1	865.2515
CASKIN1	15.841	CASKIN1	12.1781
CASKIN2	899.5733	CASKIN2	1185.3069
CASK	1023.0486	CASK	1153.2072
CASP10	265.6156	CASP10	437.0097
removed	removed	CASP12	7.8449
CASP1	198.4406	CASP1	443.0088
CASP2	1226.6301	CASP2	940.4707
CASP3	631.6511	CASP3	500.2307
CASP4	605.9464	CASP4	727.2727
CASP6	391.0548	CASP6	266.7282
CASP7	831.1199	CASP7	776.6497
CASP8AP2	589.8381	CASP8AP2	485.9252
CASP8	431.4969	CASP8	408.3987
CASP9	211.1216	CASP9	275.4961
CASQ1	106.9317	CASQ1	9.6908
CASQ2	111.3872	CASQ2	109.8293
CASS4	32.5593	CASS4	57.222
CAST	6652.6502	CAST	5446.299
CASZ1	1237.9402	CASZ1	757.2681
CATSPER2P1	16.2762	CATSPER2P1	24.1347
CATSPER2	21.2493	CATSPER2	34.1486
CATSPERB	123.7255	CATSPERB	21.689
CATSPERG	30.1602	CATSPERG	10.1523
CAT	2031.3598	CAT	5059.5293
CAV1	2532.4308	CAV1	12730.0415
CAV2	798.5605	CAV2	3802.9534
CBARA1	997.6866	CBARA1	1106.599
CBFA2T2	1173.8497	CBFA2T2	848.1772
CBFA2T3	172.3931	CBFA2T3	197.5081
CBFB	731.0428	CBFB	917.3973
CBLB	586.7535	CBLB	530.6876
CBLC	227.9153	CBLC	187.8173
CBLL1	1479.222	CBLL1	767.8819
CBLN1	8.2255	CBLN1	8.3064
CBLN3	38.7285	CBLN3	65.9898
CBLN4	35.6439	CBLN4	160.5907
CBL	957.9299	CBL	1392.2473
CBR1	341.2218	CBR1	830.5122
CBR3	161.083	CBR3	216.8897
CBR4	351.6408	CBR4	491.0014
CBS	63.0623	CBS	134.7485
CBWD1	2134.5215	CBWD1	521.9197
CBWD2	791.0205	CBWD2	523.7656
CBWD3	956.7852	CBWD3	172.3212
CBWD5	46.3851	CBWD5	5.3438
CBWD6	199.126	CBWD6	40.6091
CBX1	1238.2829	CBX1	1335.4868
CBX2	538.7713	CBX2	79.8339
CBX3	3874.2181	CBX3	1914.6285
CBX4	1587.1819	CBX4	369.6354
CBX5	3444.0922	CBX5	4175.3576
CBX6	482.2209	CBX6	896.6313
CBX7	784.1659	CBX7	2218.2741
CBX8	169.3085	CBX8	56.299
CBY1	415.6867	CBY1	444.8177
CC2D1A	906.8632	CC2D1A	755.4222
CC2D1B	462.3426	CC2D1B	573.6041
CC2D2A	155.5993	CC2D2A	495.6161
CC2D2B	7.0945	CC2D2B	5.9991
CCAR1	1425.0707	CCAR1	855.0992
CCBE1	6.5119	CCBE1	110.2907
CCBL1	225.859	CCBL1	75.6807
CCBL2	306.26	CCBL2	465.6391
CCBP2	53.8086	CCBP2	170.2815
CCDC101	424.6423	CCDC101	309.1832
CCDC102A	91.5089	CCDC102A	197.5081
CCDC102B	98.7062	CCDC102B	75.6807
CCDC103	41.4703	CCDC103	107.5219
CCDC104	405.4494	CCDC104	482.2335
CCDC106	160.3976	CCDC106	190.1246
CCDC107	391.233	CCDC107	442.6581
CCDC109A	466.798	CCDC109A	413.0134
CCDC109B	263.902	CCDC109B	163.3595
CCDC110	80.1988	CCDC110	42.9165
CCDC111	145.0056	CCDC111	213.5764
CCDC112	226.8872	CCDC112	95.9852
CCDC113	124.0682	CCDC113	230.2723
CCDC114	5.4837	CCDC114	10.6138
CCDC115	579.2134	CCDC115	816.3359
CCDC117	851.6837	CCDC117	968.1587
CCDC11	15.7656	CCDC11	15.2284
CCDC120	373.5755	CCDC120	353.9455
CCDC121	108.6454	CCDC121	172.5888
CCDC122	27.4184	CCDC122	55.3761
CCDC123	445.2061	CCDC123	349.3309
CCDC124	738.5828	CCDC124	500.2307
CCDC125	1353.4402	CCDC125	323.4887
CCDC126	1337.3318	CCDC126	244.5778
CCDC127	419.8441	CCDC127	358.0988
removed	removed	CCDC129	18.9202
CCDC12	410.5904	CCDC12	328.5648
CCDC130	378.031	CCDC130	230.2723
CCDC132	2072.1446	CCDC132	517.305
CCDC134	90.4807	CCDC134	41.0706
CCDC136	44.2121	CCDC136	102.4458
CCDC137	300.9168	CCDC137	241.3475
CCDC138	79.1706	CCDC138	53.0688
CCDC141	303.6586	CCDC141	27.688
CCDC142	124.4109	CCDC142	111.8689
CCDC144A	66.9214	CCDC144A	136.8574
CCDC144B	63.7478	CCDC144B	75.6807
removed	removed	CCDC144C	5.9991
removed	removed	CCDC144NL	6.922
CCDC146	127.4955	CCDC146	84.91
CCDC147	9.5964	CCDC147	15.6899
CCDC148	15.7656	CCDC148	14.3055
CCDC149	897.9522	CCDC149	519.6124
CCDC14	845.1718	CCDC14	688.048
CCDC150	17.1365	removed	removed
removed	removed	CCDC151	7.8449
CCDC152	87.1048	CCDC152	152.5012
CCDC153	6.5119	CCDC153	5.0761
CCDC154	8.2255	removed	removed
CCDC157	23.7683	CCDC157	31.9566
CCDC158	5.8264	CCDC158	44.3009
CCDC159	148.402	CCDC159	124.5962
CCDC15	524.7194	CCDC15	52.1458
CCDC160	130.2373	CCDC160	41.0706
CCDC163P	9.5964	CCDC163P	15.6899
CCDC17	7.1973	CCDC17	5.5376
CCDC18	46.6113	CCDC18	27.2266
CCDC19	72.316	removed	removed
CCDC21	347.8708	CCDC21	225.1961
CCDC22	514.4992	CCDC22	423.9271
CCDC23	160.7403	CCDC23	223.3503
CCDC24	101.4446	CCDC24	126.4052
CCDC25	1411.7042	CCDC25	997.2312
CCDC28A	386.5993	CCDC28A	385.3253
CCDC28B	30.1602	CCDC28B	45.2238
CCDC30	44.5549	CCDC30	73.8348
CCDC34	125.4391	CCDC34	291.6474
CCDC36	17.1365	CCDC36	35.0715
CCDC39	27.4184	CCDC39	27.2266
CCDC3	418.8159	CCDC3	1196.1237
CCDC40	53.4659	CCDC40	54.4532
CCDC41	209.7507	CCDC41	109.3678
CCDC43	407.1631	CCDC43	297.185
CCDC45	350.9554	CCDC45	329.0263
CCDC46	131.951	CCDC46	154.0978
CCDC47	2797.7037	CCDC47	2796.4928
CCDC48	102.1335	CCDC48	79.8339
CCDC50	1438.7799	CCDC50	2529.3032
CCDC51	241.2818	CCDC51	203.0457
CCDC52	970.9536	CCDC52	368.7125
CCDC53	309.485	CCDC53	299.0309
CCDC55	552.8232	CCDC55	503.461
CCDC56	667.223	CCDC56	726.4144
CCDC57	664.8959	CCDC57	359.4832
CCDC58	192.6142	CCDC58	88.1403
CCDC59	590.8662	CCDC59	269.497
CCDC61	166.5667	CCDC61	113.0595
CCDC64B	825.2935	CCDC64B	264.4209
CCDC64	772.5131	CCDC64	80.2953
CCDC65	18.1647	CCDC65	12.4596
CCDC66	490.6863	CCDC66	234.8777
CCDC67	11.9955	CCDC67	5.5376
CCDC68	31.1884	CCDC68	76.1421
CCDC69	597.7208	CCDC69	2628.9802
CCDC6	2410.7617	CCDC6	2376.5575
CCDC71	395.853	CCDC71	409.7831
CCDC72	1374.6894	CCDC72	537.6096
CCDC73	28.2101	CCDC73	49.9446
CCDC74A	137.7774	CCDC74A	203.5072
CCDC74B	31.5311	CCDC74B	50.3
CCDC75	80.5415	CCDC75	129.6724
CCDC76	212.0744	CCDC76	243.8302
CCDC77	192.2714	CCDC77	99.677
CCDC78	80.5415	CCDC78	7.8449
CCDC7	40.4421	CCDC7	24.9192
CCDC80	3674.4066	CCDC80	11458.6987
CCDC81	19.5356	removed	removed
CCDC82	196.0415	CCDC82	417.1666
CCDC84	63.0623	CCDC84	46.1467
CCDC85A	73.2448	CCDC85A	151.8228
CCDC85B	200.497	CCDC85B	190.5861
CCDC85C	653.555	CCDC85C	620.8076
CCDC86	351.2604	CCDC86	389.8246
CCDC87	6.5119	CCDC87	9.6908
CCDC88A	441.7788	CCDC88A	713.4287
CCDC88B	163.8249	CCDC88B	176.2806
CCDC88C	1427.4698	CCDC88C	814.0286
CCDC89	11.3101	CCDC89	47.5311
CCDC8	308.7996	CCDC8	1300.8768
CCDC90A	335.8752	CCDC90A	272.2658
CCDC90B	453.7263	CCDC90B	580.4615
CCDC91	626.8529	CCDC91	341.4859
CCDC92	583.6689	CCDC92	903.5533
CCDC93	768.0576	CCDC93	1026.3036
CCDC94	357.4672	CCDC94	233.964
CCDC96	88.767	CCDC96	41.9935
CCDC97	1122.0975	CCDC97	1049.8385
CCDC99	276.9257	CCDC99	144.9008
CCDC9	518.5503	CCDC9	309.6447
CCHCR1	349.9272	CCHCR1	256.1144
CCL11	9.9392	removed	removed
CCL13	9.9392	CCL13	113.0595
CCL14	447.2556	CCL14	1302.6996
CCL17	15.4228	removed	removed
CCL18	14.0519	CCL18	239.5016
CCL19	341.0162	CCL19	414.8593
CCL21	494.9019	CCL21	851.8689
CCL22	111.0445	CCL22	109.8293
removed	removed	CCL23	9.2293
CCL28	332.4479	CCL28	988.0018
CCL2	233.7418	CCL2	592.9857
CCL3L1	12.681	CCL3L1	22.2981
CCL3	61.3486	CCL3	330.4107
CCL4L2	37.7003	CCL4L2	71.066
CCL4	94.5934	CCL4	180.4338
CCL5	626.8529	CCL5	915.5515
CCL8	23.6484	CCL8	149.054
CCM2	559.6778	CCM2	755.8837
removed	removed	CCNA1	8.3064
CCNA2	245.4665	CCNA2	90.2538
CCNB1IP1	387.6275	CCNB1IP1	690.3553
CCNB1	770.4567	CCNB1	248.731
CCNB2	212.4925	CCNB2	61.8366
CCNB3	8.911	CCNB3	13.3826
CCNC	1092.9655	CCNC	994.4624
CCND1	2427.5555	CCND1	6747.0743
CCND2	551.4523	CCND2	1385.3253
CCND3	1420.2725	CCND3	2107.0605
CCNDBP1	628.2238	CCNDBP1	1096.9082
CCNE1	23.6484	CCNE1	26.7651
CCNE2	275.5822	CCNE2	41.0706
CCNF	1288.3215	CCNF	177.665
CCNG1	1834.2901	CCNG1	2724.9654
CCNG2	1480.5929	CCNG2	2921.0891
CCNH	692.1121	CCNH	459.7093
removed	removed	CCNI2	10.5722
CCNI	4252.2492	CCNI	6887.8634
CCNJL	35.3012	CCNJL	202.5842
CCNJ	164.5103	CCNJ	147.2081
CCNK	1583.4427	CCNK	764.9792
CCNL1	1265.3586	CCNL1	1244.5778
CCNL2	1456.6018	CCNL2	1167.5127
CCNO	619.3128	CCNO	43.8394
CCNT1	302.6305	CCNT1	358.0988
CCNT2	950.3899	CCNT2	902.6304
CCNYL1	347.1853	CCNYL1	456.3913
CCNY	1027.8468	CCNY	1784.4947
CCPG1	2684.0613	CCPG1	2445.2884
CCR10	19.5356	CCR10	63.221
CCR1	95.6216	CCR1	248.2695
CCR2	215.9198	CCR2	292.1089
CCR4	45.2403	CCR4	15.6899
CCR5	176.8486	CCR5	205.8145
CCR6	66.9009	CCR6	100.6507
CCR7	91.8516	CCR7	74.7577
CCR8	11.3101	removed	removed
CCRL1	19.5356	CCRL1	143.0549
CCRL2	44.5549	CCRL2	62.7596
CCRN4L	65.8041	CCRN4L	92.755
CCS	261.1601	CCS	310.1061
CCT2	2550.9382	CCT2	2072.4504
CCT3	6728.1296	CCT3	4182.7411
CCT4	2723.3313	CCT4	3621.1352
CCT5	3597.9779	CCT5	3218.2741
CCT6A	3722.0461	CCT6A	2575.9114
CCT6B	49.0104	CCT6B	40.6091
CCT6P1	82.5979	CCT6P1	19.3816
CCT7	2590.3522	CCT7	3734.1947
CCT8	3778.5965	CCT8	2834.7946
CD101	26.7329	CD101	36.9174
CD109	1109.7524	CD109	1110.2907
CD14	703.6244	CD14	2213.6594
CD151	3955.4451	CD151	6065.5284
CD160	11.3101	CD160	29.5339
CD163L1	746.8083	CD163L1	259.8062
CD163	1211.8927	CD163	1129.6724
CD164L2	5.4837	CD164L2	65.9898
CD164	18536.5436	CD164	13221.9659
CD177	5.8264	CD177	8.3064
CD180	76.7715	CD180	161.5136
CD19	26.3902	CD19	24.4578
CD1B	6.1691	removed	removed
CD1C	61.3486	CD1C	48.9156
CD1D	57.9213	CD1D	40.6091
CD1E	35.6439	CD1E	17.9972
CD200R1	36.3294	CD200R1	75.2192
CD200	277.6112	CD200	560.683
CD207	19.1929	CD207	16.6128
CD209	84.3115	CD209	872.1735
CD226	40.4421	CD226	43.8394
CD22	93.5652	CD22	61.3752
CD244	12.3383	CD244	23.5348
CD247	102.819	CD247	89.0632
CD248	653.9285	CD248	1672.3581
CD24	9506.9831	CD24	8511.306
CD274	18.1647	CD274	28.1495
CD276	991.5174	CD276	1478.0803
CD27	197.4878	CD27	267.6327
CD28	61.3486	CD28	91.3706
CD2AP	3613.7435	CD2AP	1505.3069
CD2BP2	1928.1981	CD2BP2	1090.9091
CD2	299.5459	CD2	313.3364
CD300A	134.6928	CD300A	204.4301
CD300C	16.7938	CD300C	15.6899
CD300LB	9.9392	CD300LB	9.2293
CD300LF	24.6765	CD300LF	23.5348
CD300LG	241.6245	CD300LG	1163.3595
CD302	1547.3361	CD302	2806.6451
CD320	480.5072	CD320	738.3479
CD33	35.3012	CD33	93.6779
CD34	1931.2827	CD34	3401.4767
CD36	4149.7729	CD36	18528.8417
CD37	240.5963	CD37	314.2593
CD38	90.4807	CD38	120.9045
CD3D	85.3397	CD3D	95.0623
CD3EAP	365.6927	CD3EAP	372.8657
CD3E	279.6676	CD3E	378.4033
CD3G	50.724	CD3G	59.9908
CD40LG	77.4569	CD40LG	55.8376
CD40	181.3041	CD40	349.7923
CD44	4465.7699	CD44	7494.2317
CD46	14371.6905	CD46	6257.9603
CD47	1781.5097	CD47	3057.222
CD48	288.5785	CD48	385.7868
CD4	771.8276	CD4	1379.7877
CD52	290.2922	CD52	250.5768
CD53	657.0131	CD53	724.9654
CD55	2657.1845	CD55	2960.3138
CD58	142.5756	CD58	116.7513
CD59	7134.2644	CD59	15466.0821
CD5	161.083	CD5	133.3641
CD63	8474.6808	CD63	9381.6336
CD68	896.2385	CD68	2185.0485
CD69	327.6497	CD69	460.0831
CD6	186.1023	CD6	147.2081
CD72	26.0475	CD72	27.2266
CD74	17722.2175	CD74	25019.8431
CD79A	266.6438	CD79A	511.306
CD79B	98.3635	CD79B	170.743
CD7	46.6113	CD7	104.7531
CD81	5754.4341	CD81	13887.4019
CD82	1024.7622	CD82	1419.0125
CD83	158.3412	CD83	245.9622
CD84	87.7388	CD84	129.2109
CD86	126.4673	CD86	150.4384
CD8A	276.9257	CD8A	306.4144
CD8B	60.3205	CD8B	92.2935
CD93	3286.0937	CD93	3802.9534
CD96	177.8768	CD96	204.4301
CD97	473.6526	CD97	1200.2769
CD99L2	800.9596	CD99L2	2327.6419
CD99	2136.2351	CD99	2728.1957
CD9	10806.272	CD9	4647.4389
CDADC1	129.2092	CDADC1	192.4319
CDAN1	436.2951	CDAN1	290.7245
CDA	51.0667	CDA	71.9889
CDC123	593.7589	CDC123	744.347
CDC14A	132.9792	CDC14A	361.7905
CDC14B	238.8827	CDC14B	767.8819
removed	removed	CDC14C	8.3064
CDC16	1065.2044	CDC16	1262.1135
CDC20	246.7655	CDC20	100.1384
CDC23	1382.5722	CDC23	694.5085
CDC25A	122.6973	CDC25A	42.455
CDC25B	888.6985	CDC25B	776.1883
CDC25C	118.2418	CDC25C	8.7679
CDC26	124.7537	CDC26	70.1431
CDC27	1058.6925	CDC27	1536.6867
CDC34	612.4582	CDC34	417.6281
CDC37L1	441.0933	CDC37L1	385.3253
CDC37	3208.2941	CDC37	2358.5602
CDC40	611.43	CDC40	728.1957
CDC42BPA	894.5249	CDC42BPA	2195.6622
CDC42BPB	3067.7748	CDC42BPB	3447.6234
CDC42BPG	405.1067	CDC42BPG	595.293
CDC42EP1	840.0308	CDC42EP1	1311.0291
CDC42EP2	138.4629	CDC42EP2	401.4767
CDC42EP3	434.5814	CDC42EP3	1049.8385
CDC42EP4	1400.3941	CDC42EP4	3503.461
CDC42EP5	254.991	CDC42EP5	140.7476
CDC42SE1	5136.9891	CDC42SE1	2227.8634
CDC42SE2	1204.0099	CDC42SE2	1864.79
CDC42	5015.5085	CDC42	4681.126
CDC45	135.3783	CDC45	19.8431
CDC5L	1368.863	CDC5L	1090.4476
CDC6	236.1409	CDC6	95.0623
