gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ACO1	786.9077	ACO1	2831.1029
ACO2	2468.2923	ACO2	2965.0808
ACOT11	9.0789	ACOT11	37.8403
ACOT13	500.7591	ACOT13	472.5288
ACOT1	709.4508	ACOT1	691.2783
ACOT2	665.5814	ACOT2	517.7665
ACOT4	371.8619	ACOT4	144.4393
ACOT7	226.8872	ACOT7	239.9631
removed	removed	ACOT8	219.2063
ACOT9	312.9123	ACOT9	391.3244
ACOX1	1337.8391	ACOX1	2258.4633
ACOX2	151.8293	ACOX2	262.1135
ACOX3	1177.277	ACOX3	609.1371
ACP1	1425.4134	ACP1	1047.5311
ACP2	853.0546	ACP2	818.1818
ACP5	1728.0439	ACP5	701.892
ACP6	473.6526	ACP6	159.6677
ACPL2	476.0518	ACPL2	329.9492
ACPP	113.4436	ACPP	20.766
ACRBP	12.3383	ACRBP	24.9192
ACRC	13.3665	ACRC	18.9202
ACSBG1	7.8828	ACSBG1	6.922
ACSBG2	5.8264	removed	removed
ACSF2	1117.2993	ACSF2	851.8689
ACSF3	484.2773	ACSF3	380.2492
ACSL1	12123.7255	ACSL1	13387.6327
ACSL3	18477.2513	ACSL3	2955.6991
ACSL4	695.7416	ACSL4	2120.9045
ACSL5	507.9256	ACSL5	1230.2723
ACSL6	8.2255	ACSL6	14.3055
ACSM1	1198.5263	ACSM1	15.2284
ACSM3	440.0617	ACSM3	203.6917
ACSM5	39.7567	ACSM5	202.1228
ACSS1	2020.0497	ACSS1	870.3276
ACSS2	1916.2026	ACSS2	2969.0817
ACSS3	1099.4773	ACSS3	566.682
ACTA1	15.4228	removed	removed
ACTA2	6518.9033	ACTA2	20377.4942
ACTB	59562.6767	ACTB	68198.8925
ACTC1	5.8264	removed	removed
ACTG1	33071.0308	ACTG1	47316.1052
ACTG2	618.6274	ACTG2	3157.8219
ACTL6A	992.2029	ACTL6A	760.0369
ACTN1	3916.0312	ACTN1	8209.5062
ACTN4	8694.3981	ACTN4	10931.2413
ACTR10	1250.2785	ACTR10	904.4762
ACTR1A	1739.0112	ACTR1A	2266.7282
ACTR1B	753.6629	ACTR1B	1309.6447
ACTR2	6093.0512	ACTR2	5283.341
ACTR3B	153.8857	ACTR3B	150.4384
ACTR3C	57.5786	ACTR3C	29.9954
ACTR3	3217.8905	ACTR3	2949.7
ACTR5	250.5355	ACTR5	163.821
ACTR6	996.6584	ACTR6	460.0831
ACTR8	526.0903	ACTR8	449.4693
ACVR1B	2489.2469	ACVR1B	1205.8145
ACVR1C	176.8486	ACVR1C	1284.7254
ACVR1	787.2504	ACVR1	1194.7393
ACVR2A	345.8144	ACVR2A	515.4592
ACVR2B	415.7313	ACVR2B	476.2344
ACVRL1	546.6541	ACVRL1	955.6991
ACY1	533.8291	ACY1	571.7582
ACY3	41.4703	ACY3	22.6119
ACYP1	51.7522	ACYP1	25.8422
ACYP2	88.767	ACYP2	129.6724
removed	removed	ADAD2	7.2358
ADAL	134.0074	ADAL	131.5182
ADAM10	1469.2828	ADAM10	2024.4578
removed	removed	ADAM11	8.3064
ADAM12	1371.2621	ADAM12	563.9132
ADAM15	6451.1147	ADAM15	3298.5695
ADAM17	606.9746	ADAM17	725.8883
ADAM19	227.2299	ADAM19	230.7337
ADAM21	8.911	removed	removed
ADAM22	94.9362	ADAM22	136.5944
ADAM23	23.9911	ADAM23	29.5339
ADAM28	88.4243	ADAM28	140.7476
ADAM2	23.6484	removed	removed
removed	removed	ADAM32	15.6899
ADAM33	103.1617	ADAM33	566.682
