gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
ACO2	3396.5124	ACO2	4196.1343
ACOT11	21.5185	ACOT11	58.276
ACOT13	843.1466	ACOT13	497.5886
ACOT1	753.9586	ACOT1	1644.1036
ACOT2	544.864	ACOT2	1035.9598
ACOT4	595.6151	ACOT4	138.0222
ACOT6	7.7142	ACOT6	7.9323
ACOT7	540.3979	ACOT7	229.5082
ACOT8	332.4482	ACOT8	176.6261
ACOT9	494.9249	ACOT9	561.0788
ACOX1	2193.4754	ACOX1	4884.0402
ACOX2	287.0483	ACOX2	448.9688
ACOX3	1238.3272	ACOX3	622.422
ACP1	1401.9488	ACP1	927.0227
ACP2	809.9878	ACP2	943.4162
ACP5	724.7259	ACP5	650.4495
ACP6	276.0861	ACP6	183.5008
ACPL2	311.8149	ACPL2	229.5082
ACPP	32.8867	ACPP	9.5188
ACRBP	24.7665	ACRBP	16.3934
ACRC	15.0223	ACRC	15.3358
removed	removed	ACR	5.2882
ACSBG1	8.5262	ACSBG1	9.5188
ACSF2	1093.4348	ACSF2	1014.807
ACSF3	514.0073	ACSF3	326.2824
ACSL1	477.4665	ACSL1	31673.7176
ACSL3	3128.7048	ACSL3	2544.6854
ACSL4	724.3199	ACSL4	1868.3236
ACSL5	98.2542	ACSL5	927.5516
ACSL6	11.3683	removed	removed
ACSM1	7.3082	ACSM1	37.5463
ACSM3	17.6857	ACSM3	162.3744
ACSM5	13.8043	ACSM5	818.0857
ACSS1	1236.7032	ACSS1	772.0783
ACSS2	792.5294	ACSS2	3633.5272
ACSS3	199.7564	ACSS3	996.8271
ACTA1	852.6188	ACTA1	26.9699
ACTA2	18809.2692	ACTA2	20935.394
removed	removed	ACTBL2	7.4035
ACTB	92218.8388	ACTB	74926.4939
removed	removed	ACTC1	7.4035
ACTG1	84900.5278	ACTG1	40464.8334
ACTG2	3668.6967	ACTG2	4849.8149
ACTL6A	1223.3049	ACTL6A	561.0788
ACTN1	10218.8388	ACTN1	10822.3162
ACTN4	14188.4044	ACTN4	11801.4384
ACTR10	1200.5684	ACTR10	953.4638
ACTR1A	3518.8794	ACTR1A	2704.918
ACTR1B	1144.5392	ACTR1B	1416.1819
ACTR2	6058.4653	ACTR2	5071.3908
ACTR3B	151.0353	ACTR3B	124.2729
ACTR3C	5.6841	ACTR3C	43.3633
ACTR3	3571.2546	ACTR3	3040.1904
ACTR5	222.0869	ACTR5	156.5309
ACTR6	570.4425	ACTR6	529.8784
ACTR8	598.8632	ACTR8	424.1142
ACVR1B	1506.2931	ACVR1B	1147.541
ACVR1C	5.6841	ACVR1C	2342.6758
ACVR1	1339.0175	ACVR1	1153.358
ACVR2A	499.391	ACVR2A	379.1645
ACVR2B	515.6313	ACVR2B	193.0196
ACVRL1	527.8116	ACVRL1	1251.7187
ACY1	592.367	ACY1	840.2961
removed	removed	ACY3	20.0952
ACYP1	103.5323	ACYP1	39.6616
ACYP2	48.3151	ACYP2	182.972
ADAL	242.7933	ADAL	191.9619
ADAM10	2298.8226	ADAM10	1632.4696
ADAM11	28.8266	ADAM11	7.4035
ADAM12	3065.7734	ADAM12	1015.8646
ADAM15	1475.9115	ADAM15	3271.9408
ADAM17	765.3268	ADAM17	979.9048
ADAM19	830.6943	ADAM19	82.496
ADAM22	50.7511	ADAM22	153.8868
ADAM23	26.3906	ADAM23	12.6917
ADAM28	25.9846	ADAM28	86.7266
ADAM29	32.4807	removed	removed
removed	removed	ADAM32	52.8821
ADAM33	36.5408	ADAM33	516.129
ADAM6	3666.7925	ADAM6	13251.8297
ADAM8	327.6492	ADAM8	49.7091
ADAM9	1328.8672	ADAM9	2258.5933
ADAMDEC1	17.0524	ADAMDEC1	14.807
ADAMTS10	125.8628	ADAMTS10	287.6785
ADAMTS12	681.283	ADAMTS12	446.3247
ADAMTS13	106.3743	ADAMTS13	62.9297
ADAMTS14	317.905	removed	removed
ADAMTS15	159.1555	ADAMTS15	472.7657
ADAMTS16	256.5976	ADAMTS16	78.2655
ADAMTS17	47.503	ADAMTS17	33.3157
removed	removed	ADAMTS18	50.7668
ADAMTS1	959.8051	ADAMTS1	10209.413
ADAMTS2	1314.2509	ADAMTS2	946.5891
ADAMTS3	30.0447	ADAMTS3	56.5838
ADAMTS4	925.7004	ADAMTS4	1314.6483
ADAMTS5	362.972	ADAMTS5	2729.7726
ADAMTS6	181.486	ADAMTS6	17.9799
ADAMTS7	459.1961	ADAMTS7	130.0899
removed	removed	ADAMTS8	116.3406
ADAMTS9	235.4852	ADAMTS9	893.707
ADAMTSL1	249.2895	ADAMTSL1	356.954
ADAMTSL2	330.8973	ADAMTSL2	87.7842
ADAMTSL3	186.3581	ADAMTSL3	352.1946
ADAMTSL4	170.9298	ADAMTSL4	805.394
ADAMTSL5	142.9151	ADAMTSL5	13.7493
ADAP1	56.9022	ADAP1	94.2464
ADAP2	260.2517	ADAP2	230.037
ADARB1	800.2436	ADARB1	1023.2681
ADARB2	5.2781	ADARB2	8.4611
ADAR	13983.7596	ADAR	6078.7943
ADAT1	391.7986	ADAT1	396.6155
ADAT2	95.4121	ADAT2	114.2253
ADAT3	39.3829	ADAT3	24.8546
ADA	111.6525	ADA	107.8794
ADCK1	90.946	ADCK1	185.0873
ADCK2	752.3346	ADCK2	649.3919
ADCK4	507.9172	ADCK4	465.8911
ADCK5	139.2611	ADCK5	69.2755
ADCY1	2179.0499	ADCY1	505.5526
ADCY2	26.7966	ADCY2	66.1026
ADCY3	577.7426	ADCY3	1529.9365
ADCY4	128.2988	ADCY4	791.6446
ADCY5	22.3305	ADCY5	883.1306
ADCY6	1410.069	ADCY6	5087.7842
ADCY7	511.1652	ADCY7	551.0312
ADCY9	489.2408	ADCY9	762.0307
removed	removed	ADCYAP1R1	40.7192
removed	removed	ADCYAP1	16.3934
ADC	256.1916	ADC	72.4484
ADD1	6738.1242	ADD1	7342.147
ADD2	64.5554	ADD2	84.6113
ADD3	764.5148	ADD3	2736.1185
removed	removed	ADH1A	329.8308
ADH1B	19.4884	ADH1B	40423.0513
removed	removed	ADH1C	239.5558
removed	removed	ADH4	43.8921
ADH5	2551.3601	ADH5	3698.0434
ADHFE1	27.6086	ADHFE1	439.9788
ADI1	631.7499	ADI1	1981.4913
ADIPOQ	28.8266	ADIPOQ	50821.7874
ADIPOR1	4533.9017	ADIPOR1	1976.2031
ADIPOR2	3543.24	ADIPOR2	4281.8614
ADK	193.2603	ADK	427.816
ADM2	319.529	ADM2	72.4484
ADM	173.7718	ADM	694.3416
ADNP2	650.4263	ADNP2	745.6372
ADNP	3002.8421	ADNP	2514.0137
ADORA1	1994.7219	ADORA1	399.2597
ADORA2A	75.1117	ADORA2A	40.1904
ADORA2B	52.7812	ADORA2B	127.9746
ADORA3	323.1831	ADORA3	243.2575
ADO	720.6659	ADO	533.0513
ADPGK	692.6594	ADPGK	690.7192
ADPRHL1	97.4421	ADPRHL1	65.0449
ADPRHL2	853.0248	ADPRHL2	499.7356
ADPRH	394.6407	ADPRH	539.926
removed	removed	ADRA1A	171.3379
ADRA1B	13.3983	ADRA1B	46.0074
ADRA1D	11.3683	ADRA1D	10.5764
ADRA2A	63.3374	ADRA2A	1041.248
ADRA2B	9.7442	ADRA2B	180.8567
ADRA2C	6.0901	ADRA2C	112.6388
removed	removed	ADRB1	80.9096
ADRB2	13.8043	ADRB2	576.4146
removed	removed	ADRB3	12.1629
ADRBK1	5860.3329	ADRBK1	1527.2343
ADRBK2	340.6415	ADRBK2	2826.5468
ADRM1	1625.6598	ADRM1	1176.0973
ADSL	939.5047	ADSL	717.0809
ADSSL1	180.674	ADSSL1	257.5357
ADSS	1522.5335	ADSS	969.3284
AEBP1	50062.9314	AEBP1	7751.4543
AEBP2	479.0905	AEBP2	745.1084
AEN	591.555	AEN	425.1719
AES	8101.9082	AES	7368.588
AFAP1L1	403.5729	AFAP1L1	1293.4955
AFAP1L2	515.6313	AFAP1L2	820.7298
AFAP1	2652.8542	AFAP1	1306.166
AFF1	1797.8076	AFF1	3989.4236
AFF2	11.3683	AFF2	170.8091
AFF3	3277.3041	AFF3	1091.486
AFF4	2812.4239	AFF4	4107.8794
AFG3L1	297.6045	AFG3L1	237.4405
AFG3L2	1128.2907	AFG3L2	1330.9677
AFMID	751.5225	AFMID	340.5605
removed	removed	AFP	5.817
AFTPH	1655.2984	AFTPH	1159.7039
AG2	188.7942	AG2	521.4172
AGAP11	38.1892	AGAP11	143.3104
AGAP1	167.2757	AGAP1	550.5024
AGAP2	136.8331	AGAP2	87.1497
AGAP3	1555.8262	AGAP3	1238.4981
AGAP4	272.432	AGAP4	157.5886
AGAP5	40.8648	AGAP5	43.2364
AGAP6	120.9907	AGAP6	96.2454
AGAP7	153.0654	AGAP7	23.7969
AGAP8	18.2704	AGAP8	28.0275
AGA	582.6228	AGA	298.2549
AGBL2	32.8867	removed	removed
AGBL3	6.9022	removed	removed
removed	removed	AGBL4	9.5188
AGBL5	1151.8514	AGBL5	650.9836
AGER	38.1648	AGER	29.0851
AGFG1	1561.5104	AGFG1	2249.0746
AGFG2	249.6955	AGFG2	454.257
AGGF1	935.8506	AGGF1	749.339
AGK	460.4141	AGK	486.5151
AGL	1113.2765	AGL	1532.5225
AGMAT	43.443	AGMAT	7.9323
AGPAT1	2007.7588	AGPAT1	1913.5854
AGPAT2	854.2428	AGPAT2	8476.4675
AGPAT3	1896.8737	AGPAT3	2624.0085
AGPAT4	174.5838	AGPAT4	265.468
AGPAT5	691.0272	AGPAT5	416.1819
AGPAT6	4951.2789	AGPAT6	1905.8699
AGPAT9	41.8189	AGPAT9	142.7816
AGPHD1	36.1348	AGPHD1	51.2956
AGPS	2000.812	AGPS	1317.2924
AGR2	12590.743	AGR2	657.3242
AGR3	2028.4206	AGR3	124.2729
AGRN	6148.5993	AGRN	4902.1682
AGTPBP1	266.3419	AGTPBP1	430.9889
AGTR1	18.6764	AGTR1	619.2491
AGTRAP	1442.1437	AGTRAP	474.3522
AGT	46.691	AGT	189.8466
AGXT2L2	295.1157	AGXT2L2	643.395
removed	removed	AGXT	5.2882
AHCTF1	1782.7852	AHCTF1	1842.4114
AHCYL1	6904.5879	AHCYL1	5110.5235
AHCYL2	766.1389	AHCYL2	679.5346
AHCY	2844.9046	AHCY	2470.1216
AHDC1	914.3321	AHDC1	1125.3305
AHI1	386.5205	AHI1	312.5331
