gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
CABP7	17.0158	removed	removed
CABYR	193.2603	CABYR	50.7668
CACHD1	322.3711	CACHD1	1098.8895
CACNA1A	19.4884	CACNA1A	15.3358
CACNA1B	142.5091	removed	removed
CACNA1C	712.1397	CACNA1C	356.4199
CACNA1D	862.769	CACNA1D	96.2454
CACNA1G	6.9022	CACNA1G	19.0375
CACNA1H	877.3853	CACNA1H	125.3305
CACNA1I	546.082	CACNA1I	6.8747
CACNA2D1	64.5554	CACNA2D1	651.5071
CACNA2D2	1343.0775	CACNA2D2	140.1375
removed	removed	CACNA2D3	6.8747
CACNA2D4	33.6987	CACNA2D4	104.1777
CACNB1	206.6585	CACNB1	78.2655
CACNB2	135.201	CACNB2	37.0175
CACNB3	1033.6987	CACNB3	237.9693
CACNB4	21.1125	CACNB4	107.8794
CACNG1	53.9992	removed	removed
CACNG4	9533.4957	CACNG4	182.4432
CACYBP	1253.7556	CACYBP	963.5114
CADM1	645.1482	CADM1	916.4463
removed	removed	CADM2	96.7742
removed	removed	CADM3	303.12
CADM4	943.5648	CADM4	487.5727
CADPS2	961.4292	CADPS2	945.0026
CADPS	21.5185	removed	removed
CAD	1087.2919	CAD	1210.4707
CALB2	205.0345	CALB2	1890.5341
CALCOCO1	2597.2391	CALCOCO1	3653.6224
CALCOCO2	4887.5355	CALCOCO2	3484.3998
CALCRL	836.3784	CALCRL	1798.5193
CALCR	30.8567	CALCR	11.6341
CALD1	11274.868	CALD1	11673.7176
CALHM2	631.3439	CALHM2	513.4849
CALM1	5005.6841	CALM1	10008.99
CALM2	8425.9034	CALM2	9033.3157
CALM3	5075.5177	CALM3	3750.3966
CALML3	376.7763	CALML3	244.3152
CALML4	168.4937	CALML4	269.6986
CALML5	13.3983	CALML5	131.1475
CALML6	5.6841	removed	removed
removed	removed	CALN1	24.3258
CALR	28923.2643	CALR	11565.8382
CALU	6746.2444	CALU	3818.6145
CAMK1D	75.1117	CAMK1D	86.1978
CAMK1	155.3634	CAMK1	829.5135
CAMK2A	12.5863	removed	removed
CAMK2B	22.7365	CAMK2B	126.3882
CAMK2D	326.0252	CAMK2D	1055.5262
CAMK2G	735.6882	CAMK2G	634.5849
CAMK2N1	3444.5798	CAMK2N1	541.5124
CAMK2N2	44.661	removed	removed
CAMK4	10.1502	CAMK4	6.3458
CAMKK1	105.9683	CAMKK1	160.2327
CAMKK2	1833.1303	CAMKK2	1764.146
CAMLG	1038.1648	CAMLG	804.8652
CAMSAP1L1	1812.8299	CAMSAP1L1	1575.8858
CAMSAP1	918.7982	CAMSAP1	981.4913
CAMTA1	340.6415	CAMTA1	543.0989
CAMTA2	638.246	CAMTA2	1545.2142
CAND1	2817.296	CAND1	2479.6404
CAND2	257.8157	CAND2	118.4558
CANT1	5191.6362	CANT1	1173.4532
CANX	16622.0057	CANX	16387.6256
CAP1	8453.512	CAP1	6047.5939
CAP2	166.0577	CAP2	843.4691
CAPG	3453.512	CAPG	1345.8488
CAPN10	342.9963	CAPN10	230.037
CAPN11	8.5262	CAPN11	88.3131
CAPN12	95.3959	CAPN12	50.4918
CAPN13	726.35	CAPN13	163.9344
CAPN1	4882.2574	CAPN1	3193.5484
CAPN2	4249.6955	CAPN2	5713.3792
CAPN3	37.3528	CAPN3	121.56
CAPN5	195.6963	CAPN5	318.8789
removed	removed	CAPN6	418.2972
CAPN7	638.246	CAPN7	1000
CAPN8	268.3719	CAPN8	77.7366
CAPN9	60.9013	CAPN9	8.4611
CAPNS1	7220.0568	CAPNS1	6692.7552
CAPRIN1	7612.2615	CAPRIN1	5489.688
CAPRIN2	277.7101	CAPRIN2	313.5907
CAPS2	30.4507	CAPS2	63.4585
CAPS	644.7422	CAPS	99.4183
CAPZA1	3237.1092	CAPZA1	2195.6637
CAPZA2	1949.6549	CAPZA2	2538.3395
CAPZB	5341.0475	CAPZB	3363.8287
CARD10	423.0613	CARD10	523.1782
CARD11	88.1039	CARD11	86.7266
CARD14	540.8039	CARD14	94.1301
CARD16	51.1571	CARD16	82.496
CARD6	120.9907	CARD6	523.5325
CARD8	501.827	CARD8	869.9101
CARD9	29.6387	CARD9	95.7166
CARHSP1	695.3187	CARHSP1	1117.8318
CARKD	1051.9691	CARKD	815.4416
CARM1	1458.3841	CARM1	686.4093
CARNS1	19.8944	CARNS1	33.3263
CARS2	748.5871	CARS2	696.1026
CARS	1471.3764	CARS	1208.3554
CARTPT	36.9468	removed	removed
CASC1	32.0747	CASC1	21.1528
CASC2	72.6756	CASC2	55.5262
CASC3	5362.566	CASC3	2613.432
CASC4	3532.2777	CASC4	2481.7557
CASC5	126.2688	CASC5	23.7969
CASD1	1119.7726	CASD1	794.8176
CASKIN1	10.6983	CASKIN1	6.2401
CASKIN2	1434.5067	CASKIN2	1744.1671
CASK	1874.1372	CASK	1126.917
CASP10	169.7117	CASP10	329.9841
removed	removed	CASP12	5.2882
CASP1	169.7117	CASP1	369.6457
CASP2	1051.5631	CASP2	735.5896
CASP3	529.4356	CASP3	408.2496
CASP4	414.5351	CASP4	757.8001
CASP6	408.445	CASP6	195.6637
CASP7	785.6273	CASP7	693.284
CASP8AP2	536.7438	CASP8AP2	441.0365
CASP8	511.5713	CASP8	530.4072
CASP9	325.2132	CASP9	231.0947
removed	removed	CASQ1	5.817
CASQ2	9.7442	CASQ2	627.1814
CASS4	10.1502	CASS4	38.0751
CAST	4016.9387	CAST	6902.7234
CASZ1	1037.7588	CASZ1	807.5093
CATSPER1	25.9846	removed	removed
CATSPER2P1	23.7312	CATSPER2P1	34.1142
CATSPER2	23.1425	CATSPER2	28.0275
removed	removed	CATSPERB	11.6341
CATSPERG	16.6464	CATSPERG	11.6341
CAT	1168.8997	CAT	9102.0624
CAV1	1716.6058	CAV1	27113.7229
CAV2	659.3585	CAV2	7066.605
removed	removed	CAV3	5.2882
CBARA1	1656.5164	CBARA1	1221.0471
CBFA2T2	519.2854	CBFA2T2	754.0984
CBFA2T3	773.041	CBFA2T3	216.8165
CBFB	1220.0568	CBFB	678.477
CBLB	563.9464	CBLB	551.56
CBLC	554.6082	CBLC	105.2353
CBLL1	842.0625	CBLL1	759.9154
CBLN1	21.5185	CBLN1	117.927
CBLN3	65.3674	CBLN3	98.8895
CBLN4	25.1726	CBLN4	35.9598
CBL	487.6167	CBL	1276.5732
CBR1	991.6119	CBR1	699.1592
CBR3	43.0369	CBR3	205.7113
CBR4	435.2416	CBR4	454.257
CBS	46.285	CBS	126.917
CBWD1	313.8449	CBWD1	764.6748
CBWD2	374.3402	CBWD2	312.0042
CBWD3	495.7369	CBWD3	184.8546
CBWD6	60.9013	CBWD6	60.2856
CBX1	3354.0398	CBX1	1181.3855
CBX2	199.7564	CBX2	37.0175
CBX3	3850.9947	CBX3	1896.88
CBX4	755.5826	CBX4	259.1222
CBX5	2729.5981	CBX5	2936.5415
CBX6	233.4551	CBX6	800.1058
CBX7	580.5928	CBX7	2046.5362
CBX8	204.2225	CBX8	50.238
CBY1	578.9038	CBY1	497.4511
CC2D1A	999.188	CC2D1A	859.3337
CC2D1B	979.2935	CC2D1B	800.6346
CC2D2A	234.2672	CC2D2A	573.7705
CCAR1	1499.797	CCAR1	966.1555
CCBE1	6.0901	CCBE1	84.6113
CCBL1	152.6594	CCBL1	72.9773
removed	removed	CCBL2	512.1153
CCBP2	10.1502	CCBP2	121.0999
CCDC101	289.0784	CCDC101	228.4506
CCDC102A	126.6748	CCDC102A	154.9445
CCDC102B	81.2018	CCDC102B	63.4585
CCDC103	548.1121	CCDC103	125.3305
CCDC104	913.9261	CCDC104	627.1814
CCDC106	480.7146	CCDC106	247.4881
CCDC107	376.9955	CCDC107	923.8657
CCDC109A	530.6537	CCDC109A	343.2047
CCDC109B	207.0646	CCDC109B	141.1951
CCDC110	37.3528	CCDC110	36.4886
CCDC111	189.9553	CCDC111	243.2998
CCDC112	296.3865	CCDC112	115.8117
CCDC113	330.0853	CCDC113	254.8916
CCDC114	61.7134	CCDC114	8.4611
CCDC115	971.1734	CCDC115	744.0508
CCDC117	7968.7373	CCDC117	653.6224
CCDC11	55.6232	CCDC11	7.9323
CCDC120	491.2708	CCDC120	326.8112
CCDC121	96.6301	CCDC121	98.3607
CCDC122	38.1648	CCDC122	63.4585
CCDC123	599.6752	CCDC123	380.7509
CCDC124	962.2412	CCDC124	774.1935
CCDC125	477.8725	CCDC125	395.5579
CCDC126	139.6671	CCDC126	218.9318
CCDC127	416.1592	CCDC127	312.0042
removed	removed	CCDC129	23.7969
CCDC12	609.8254	CCDC12	341.6182
CCDC130	464.0682	CCDC130	264.4104
CCDC132	639.4641	CCDC132	510.8408
CCDC134	30.4507	CCDC134	38.6039
CCDC136	32.4807	CCDC136	50.7668
CCDC137	781.1612	CCDC137	271.285
CCDC138	36.1348	CCDC138	29.614
CCDC13	5.6841	CCDC13	8.4611
CCDC141	6.0901	CCDC141	20.624
CCDC142	118.2095	CCDC142	115.6214
removed	removed	CCDC144A	21.1528
CCDC144B	8.8754	CCDC144B	31.7292
CCDC146	125.4568	CCDC146	136.4357
removed	removed	CCDC147	15.3358
CCDC148	19.8944	CCDC148	15.3358
CCDC149	489.6468	CCDC149	456.3723
CCDC14	625.6598	CCDC14	730.3014
CCDC150	23.5485	removed	removed
CCDC151	41.4129	removed	removed
CCDC152	21.2302	CCDC152	127.1549
CCDC153	8.1202	CCDC153	5.2882
CCDC154	30.8567	removed	removed
CCDC155	46.285	removed	removed
CCDC157	93.8246	CCDC157	32.2845
CCDC158	14.6163	CCDC158	77.7366
CCDC159	201.3804	CCDC159	124.2729
CCDC15	48.7211	CCDC15	74.5637
removed	removed	CCDC160	23.7969
CCDC163P	12.9923	CCDC163P	8.4611
removed	removed	CCDC17	13.2205
CCDC18	80.3898	CCDC18	41.7821
CCDC19	106.3743	CCDC19	7.4035
CCDC21	482.7446	CCDC21	127.9746
CCDC22	663.0085	CCDC22	410.8461
CCDC23	360.1096	CCDC23	301.4278
CCDC24	385.1157	CCDC24	87.6309
CCDC25	543.24	CCDC25	973.0301
CCDC28A	357.2879	CCDC28A	396.0867
CCDC28B	56.0292	CCDC28B	37.5463
CCDC30	125.0508	CCDC30	53.9397
CCDC34	524.5635	CCDC34	197.779
CCDC36	13.3983	CCDC36	60.2856
CCDC39	13.8043	CCDC39	15.4204
CCDC3	334.5514	CCDC3	4413.5378
CCDC40	598.4572	CCDC40	76.1502
CCDC41	251.7255	CCDC41	109.9947
CCDC43	1512.7893	CCDC43	309.3601
CCDC45	957.7751	CCDC45	404.019
CCDC46	118.9606	CCDC46	457.4299
CCDC47	4110.8404	CCDC47	2928.6092
CCDC48	37.3528	CCDC48	61.872
CCDC50	1382.8664	CCDC50	3276.0444
CCDC51	418.5952	CCDC51	191.4331
CCDC52	488.0227	CCDC52	314.6483
CCDC53	298.0106	CCDC53	368.588
CCDC55	1486.8047	CCDC55	753.0407
CCDC56	1571.5794	CCDC56	608.9053
CCDC57	829.0702	CCDC57	386.568
CCDC58	135.201	CCDC58	107.3506
CCDC59	292.3264	CCDC59	340.5605
CCDC61	95.4121	CCDC61	77.2078
CCDC64B	624.0357	CCDC64B	324.1671
CCDC64	698.3354	CCDC64	49.1803
CCDC65	50.3451	CCDC65	16.3934
CCDC66	342.903	CCDC66	228.5616
CCDC68	10.1502	CCDC68	105.2353
CCDC69	131.9529	CCDC69	6294.0243
CCDC6	2405.1969	CCDC6	2701.2163
CCDC71	645.9602	CCDC71	446.8535
CCDC72	1023.9545	CCDC72	673.7176
CCDC73	24.0114	CCDC73	28.0962
CCDC74A	740.5603	CCDC74A	114.7541
CCDC74B	129.5168	CCDC74B	30.6716
CCDC75	68.6155	CCDC75	309.8889
CCDC76	189.3869	CCDC76	212.0148
CCDC77	234.2672	CCDC77	137.4934
CCDC78	64.9614	CCDC78	7.4035
CCDC7	34.799	CCDC7	36.4146
CCDC80	3922.0463	CCDC80	13674.7753
CCDC81	19.8944	CCDC81	5.2882
CCDC82	166.4637	CCDC82	538.3395
CCDC84	75.1117	CCDC84	81.4384
CCDC85A	179.3017	CCDC85A	495.3834
CCDC85B	204.6285	CCDC85B	202.5383
CCDC85C	221.5225	CCDC85C	461.1264
CCDC86	401.1328	CCDC86	670.5341
CCDC87	33.6987	CCDC87	12.1629
CCDC88A	1228.989	CCDC88A	935.4839
CCDC88B	71.0516	CCDC88B	174.5108
CCDC88C	1588.713	CCDC88C	800.1058
CCDC89	18.2704	CCDC89	41.248
CCDC8	432.8055	CCDC8	729.2438
CCDC90A	405.6029	CCDC90A	350.6081
CCDC90B	441.3317	CCDC90B	584.3363
CCDC91	555.8262	CCDC91	512.4273
CCDC92	1286.2363	CCDC92	1320.9942
CCDC93	589.525	CCDC93	912.7446
CCDC94	361.3479	CCDC94	279.2173
CCDC96	122.2087	CCDC96	81.4384
CCDC97	1424.6853	CCDC97	937.5992
CCDC99	226.147	CCDC99	107.3506
CCDC9	449.0459	CCDC9	383.9238
CCHCR1	511.5713	CCHCR1	346.3776
CCIN	13.3983	removed	removed
CCL11	15.4283	removed	removed
CCL13	5.6841	CCL13	30.6716
CCL14	112.8705	CCL14	1615.1454
removed	removed	CCL16	6.3458
CCL18	9.7442	CCL18	132.734
CCL19	30.0447	CCL19	185.6161
CCL20	5.2781	removed	removed
removed	removed	CCL21	1014.2782
CCL22	11.3683	CCL22	95.7166
removed	removed	CCL23	30.1428
CCL26	9.7442	CCL26	7.4035
CCL28	32.0747	CCL28	1099.9471
CCL2	436.0536	CCL2	391.3273
CCL3L1	12.1803	removed	removed
CCL3	110.0284	CCL3	124.8017
CCL4L2	16.2404	CCL4L2	18.5087
CCL4	69.8335	CCL4	133.7916
CCL5	246.4474	CCL5	283.9767
CCL8	40.1949	CCL8	46.5362
CCM2	858.7089	CCM2	909.5717
CCNA1	28.4206	CCNA1	37.0175
CCNA2	236.8819	CCNA2	54.0825
CCNB1IP1	410.069	CCNB1IP1	565.3094
CCNB1	545.676	CCNB1	185.0873
CCNB2	265.5298	CCNB2	50.238
CCNB3	10.9622	CCNB3	17.9799
CCNC	1211.9367	CCNC	1137.4934
CCND1	50915.5014	CCND1	7306.8324
CCND2	842.4685	CCND2	1212.0571
CCND3	1303.2887	CCND3	1902.1682
CCNDBP1	811.6119	CCNDBP1	1191.4331
CCNE1	49.5331	CCNE1	27.4987
CCNE2	88.5099	CCNE2	21.2374
CCNF	301.6646	CCNF	138.551
CCNG1	1223.3049	CCNG1	2117.927
CCNG2	2462.0382	CCNG2	2097.8318
CCNH	529.3504	CCNH	670.4389
removed	removed	CCNI2	5.4469
CCNI	5509.5412	CCNI	6498.6779
CCNJL	102.7203	CCNJL	56.5838
CCNJ	242.7933	CCNJ	191.9619
CCNK	687.9375	CCNK	817.0333
CCNL1	859.9269	CCNL1	1531.9937
CCNL2	2600.8932	CCNL2	1218.403
CCNO	17.0524	CCNO	29.0851
CCNT1	133.9829	CCNT1	270.2274
CCNT2	891.1896	CCNT2	735.5896
CCNYL1	326.4312	CCNYL1	639.8731
CCNY	1479.4965	CCNY	1995.7694
CCPG1	2888.1324	CCPG1	2875.3781
CCR10	6.4961	CCR10	15.3358
CCR1	162.8096	CCR1	173.4532
CCR2	14.6163	CCR2	30.6716
CCR3	10.9622	removed	removed
CCR4	7.7142	removed	removed
CCR5	77.5477	CCR5	71.3908
CCR6	18.6805	CCR6	37.9323
CCR7	10.9622	CCR7	21.1528
CCRL1	30.8567	CCRL1	88.8419
CCRL2	45.473	CCRL2	121.0999
CCRN4L	136.419	CCRN4L	222.1047
CCS	489.6468	CCS	402.4326
CCT2	2671.5388	CCT2	2111.5812
CCT3	8846.1226	CCT3	4021.1528
CCT4	3076.7357	CCT4	3058.1703
CCT5	4503.8571	CCT5	3266.5256
CCT6A	3215.5907	CCT6A	2635.1137
CCT6B	120.9907	CCT6B	108.4082
CCT6P1	46.691	CCT6P1	30.6716
CCT7	5463.2562	CCT7	3552.6177
CCT8	3146.9752	CCT8	2441.0365
CD101	20.7065	CD101	23.2681
CD109	568.8185	CD109	1126.9064
CD14	1068.6155	CD14	1563.1941
CD151	7658.9525	CD151	10290.8514
CD160	5.6841	CD160	23.2681
CD163L1	48.7211	CD163L1	173.4532
CD163	533.4957	CD163	1585.4045
CD164L2	25.9846	CD164L2	38.0751
CD164	6623.2237	CD164	12618.7203
CD180	130.3289	CD180	77.7366
CD1A	5.2781	removed	removed
removed	removed	CD1C	37.5463
CD1D	12.1803	CD1D	43.8921
removed	removed	CD1E	7.4035
CD200R1	8.9322	CD200R1	30.1428
CD200	365.408	CD200	677.9482
CD207	21.5185	CD207	10.5764
CD209	8.1202	CD209	456.9011
CD226	8.9322	CD226	19.5664
CD22	91.352	CD22	28.5563
CD244	7.7142	CD244	9.5188
CD247	18.2704	CD247	48.1227
CD248	906.6179	CD248	3481.7557
CD24	22814.4539	CD24	7859.3337
CD274	17.8644	CD274	36.4886
CD276	3943.5648	CD276	1542.0412
CD27	14.8153	CD27	26.6367
CD28	33.6987	CD28	41.7768
CD2AP	1535.5258	CD2AP	1219.9894
CD2BP2	1915.5501	CD2BP2	1170.2803
CD2	81.6078	CD2	85.1401
CD300A	153.0654	CD300A	166.5785
CD300C	38.9769	CD300C	37.0175
CD300LB	6.4961	CD300LB	23.7969
CD300LF	34.9168	CD300LF	22.7393
removed	removed	CD300LG	3145.9545
CD302	326.8372	CD302	2335.1983
CD320	309.3788	CD320	638.8154
CD33	44.661	CD33	85.1401
CD34	1632.1559	CD34	4937.0703
CD36	144.9452	CD36	56056.055
CD37	213.9667	CD37	220.5182
removed	removed	CD38	20.624
CD3D	21.9245	CD3D	30.6716
CD3EAP	749.0865	CD3EAP	357.4828
CD3E	83.2318	CD3E	116.8694
CD3G	5.6841	CD3G	22.7393
CD40LG	18.6764	CD40LG	17.9799
CD40	165.2456	CD40	306.716
CD44	8999.594	CD44	5122.6864
CD46	6298.0106	CD46	5536.2242
CD47	2098.2542	CD47	2929.6668
CD48	93.7881	CD48	97.303
CD4	644.7422	CD4	1101.5336
CD52	98.6602	CD52	117.3982
CD53	487.6167	CD53	487.5727
CD55	2854.6488	CD55	1384.4527
CD58	191.2302	CD58	213.1148
CD59	8637.84	CD59	17378.6356
CD5	35.7288	CD5	30.6716
CD63	9098.6602	CD63	9974.0878
CD68	1971.5794	CD68	2358.5405
CD69	77.1417	CD69	116.8694
CD6	36.9468	CD6	42.3057
CD70	28.0146	removed	removed
CD72	62.5254	CD72	26.441
CD74	15729.192	CD74	23972.5013
CD79A	19.4884	CD79A	30.6716
CD79B	12.9923	CD79B	88.3131
CD7	15.4283	CD7	56.5838
CD80	38.1648	removed	removed
CD81	8975.6395	CD81	16665.2565
CD82	394.6407	CD82	1515.6002
CD83	267.5599	CD83	253.834
CD84	60.0893	CD84	115.8117
CD86	169.3057	CD86	141.724
CD8A	82.8258	CD8A	159.7039
CD8B	13.3983	CD8B	46.0074
CD93	2665.0426	CD93	6282.9191
CD96	32.0747	CD96	107.3506
CD97	602.1112	CD97	936.5415
CD99L2	775.8831	CD99L2	2713.3792
CD99	3906.2119	CD99	1756.2136
CD9	6349.9797	CD9	3366.4728
CDADC1	84.8559	CDADC1	336.33
CDAN1	394.6407	CDAN1	260.7086
CDA	19.0824	CDA	35.9598
CDC123	960.8201	CDC123	703.5907
CDC14A	100.6902	CDC14A	404.019
CDC14B	302.4767	CDC14B	814.3839
removed	removed	CDC14C	16.3934
CDC16	1367.8441	CDC16	1377.578
CDC20	340.6415	CDC20	72.4484
CDC23	789.6874	CDC23	701.2163
CDC25A	61.7134	CDC25A	30.1428
CDC25B	571.6606	CDC25B	428.8736
CDC25C	60.0893	CDC25C	5.817
CDC26	93.3821	CDC26	87.3823
CDC27	2358.0999	CDC27	1459.5452
CDC34	720.2598	CDC34	601.2692
CDC37L1	468.5343	CDC37L1	539.926
CDC37	2669.5087	CDC37	2773.1359
CDC40	699.1474	CDC40	622.422
CDC42BPA	2154.6894	CDC42BPA	2401.9038
CDC42BPB	3945.5948	CDC42BPB	4839.7673
CDC42BPG	617.1336	CDC42BPG	461.1317
CDC42EP1	1091.352	CDC42EP1	1807.5093
CDC42EP2	159.5615	CDC42EP2	648.863
CDC42EP3	558.2623	CDC42EP3	1304.0719
CDC42EP4	4857.8969	CDC42EP4	4046.5362
CDC42EP5	89.728	CDC42EP5	118.4558
CDC42SE1	3822.769	CDC42SE1	2293.0619
CDC42SE2	914.3321	CDC42SE2	1226.8641
CDC42	6701.9894	CDC42	4983.6066
CDC45	131.5469	CDC45	28.5563
CDC5L	1061.7134	CDC5L	1155.4733
CDC6	417.7832	CDC6	54.9974
CDC73	1342.2655	CDC73	1175.0397
CDC7	123.4267	CDC7	55.5262
CDCA2	37.3528	CDCA2	26.441
CDCA3	150.9176	CDCA3	23.4638
CDCA4	397.8888	CDCA4	148.0698
CDCA5	341.0475	CDCA5	65.0449
CDCA7L	67.3772	CDCA7L	420.3596
CDCA7	11.7743	CDCA7	54.9974
CDCA8	232.2371	CDCA8	37.5463
CDCP1	1238.3272	CDCP1	638.8154
CDH11	7789.2814	CDH11	664.7277
removed	removed	CDH12	7.9323
CDH13	784.4093	CDH13	1307.2448
CDH15	18.6764	removed	removed
removed	removed	CDH19	12.6917
CDH1	16710.9216	CDH1	5676.8905
removed	removed	CDH20	98.3607
CDH22	31.2627	CDH22	22.7393
CDH23	30.4507	CDH23	750.9254
CDH24	90.946	CDH24	104.1777
CDH26	5.2781	CDH26	12.1629
CDH2	421.8433	CDH2	10.0476
CDH3	1434.4296	CDH3	1668.9582
removed	removed	CDH4	11.6341
CDH5	1224.1169	CDH5	3555.7906
CDH6	127.8928	CDH6	131.1475
CDH8	27.6086	CDH8	52.8821
CDHR1	12.9923	CDHR1	11.1052
CDHR3	11.3683	CDHR3	100.9466
CDIPT	2286.2363	CDIPT	2057.1126
CDK10	759.6427	CDK10	476.9963
CDK11A	699.9919	CDK11A	447.2554
CDK11B	1257.3772	CDK11B	703.9873
CDK12	2190.8242	CDK12	1490.2168
CDK13	1001.624	CDK13	1012.6917
CDK14	541.6159	CDK14	689.5822
CDK16	2291.9204	CDK16	1804.8652
CDK17	1155.5014	CDK17	690.6399
CDK18	397.8888	CDK18	341.6182
CDK19	662.9151	CDK19	588.239
CDK1	376.7763	CDK1	81.9672
CDK20	276.0861	CDK20	119.5135
CDK2AP1	1924.8883	CDK2AP1	1965.0978
CDK2AP2	2980.1056	CDK2AP2	576.9434
CDK2	691.0272	CDK2	499.7356
CDK3	119.4722	CDK3	126.1026
CDK4	1935.8506	CDK4	1430.4601
CDK5R1	278.9281	CDK5R1	34.9022
CDK5R2	12.5863	removed	removed
CDK5RAP1	373.5282	CDK5RAP1	396.6155
CDK5RAP2	1307.3488	CDK5RAP2	1536.753
CDK5RAP3	4027.6086	CDK5RAP3	1507.6679
CDK5	388.1445	CDK5	149.6563
CDK6	381.2424	CDK6	791.1158
CDK7	447.8279	CDK7	308.3025
CDK8	132.7649	CDK8	157.0598
CDK9	997.1579	CDK9	994.7118
CDKAL1	453.918	CDKAL1	252.7763
CDKL1	11.7743	CDKL1	33.8445
CDKL2	98.6602	CDKL2	28.5563
CDKL3	48.7576	CDKL3	39.7039
CDKL5	54.4052	CDKL5	77.2078
CDKN1A	1805.9277	CDKN1A	4256.4781
CDKN1B	2974.4214	CDKN1B	1341.6182
CDKN1C	307.7548	CDKN1C	1096.7742
CDKN2AIPNL	419.0012	CDKN2AIPNL	252.2475
CDKN2AIP	386.9265	CDKN2AIP	405.0767
CDKN2A	100.6902	CDKN2A	45.4786
CDKN2BAS	9.7442	removed	removed
CDKN2B	780.3492	CDKN2B	1488.1015
CDKN2C	235.8912	CDKN2C	1337.3876
CDKN2D	220.4629	CDKN2D	87.2554
CDKN3	102.7203	CDKN3	21.1528
CDNF	19.4884	CDNF	46.5362
CDO1	51.9691	CDO1	2084.6113
CDON	661.3886	CDON	776.8377
CDR1	5.0305	CDR1	82.7023
CDR2L	926.9184	CDR2L	782.1259
CDR2	986.1957	CDR2	592.2792
CDRT4	131.1409	CDRT4	240.587
CDS1	1300.8526	CDS1	466.9487
CDS2	1594.8031	CDS2	836.0656
CDSN	39.3829	CDSN	33.3157
CDT1	370.6862	CDT1	62.9297
CDV3	2817.702	CDV3	4751.4543
CDX1	6.4961	removed	removed
CDYL2	148.1933	CDYL2	97.303
CDYL	355.2578	CDYL	634.5849
CEACAM19	53.5932	CEACAM19	43.3633
CEACAM1	346.7316	CEACAM1	718.1386
CEACAM21	19.0824	CEACAM21	10.5764
CEACAM5	967.1133	removed	removed
CEACAM6	19.8944	CEACAM6	20.0952
CEBPA	237.1092	CEBPA	3611.3168
CEBPB	654.4864	CEBPB	1176.0973
CEBPD	439.7077	CEBPD	1790.587
CEBPG	1090.54	CEBPG	1173.4532
CEBPZ	1085.2619	CEBPZ	1167.6362
CECR1	3206.2525	CECR1	1048.6515
CECR2	197.7263	CECR2	27.4987
CECR5	545.27	CECR5	468.0063
CECR6	62.5254	CECR6	20.0952
CECR7	95.8181	CECR7	237.9693
CELF1	1564.3524	CELF1	1969.8572
CELF2	280.1462	CELF2	3187.2025
CELF4	12.5863	removed	removed
CELF5	39.3829	CELF5	31.2004
CELF6	35.3228	CELF6	37.6415
CELSR1	15279.7402	CELSR1	928.0804
CELSR2	10103.5323	CELSR2	1694.3416
CELSR3	339.0175	CELSR3	35.431
CEL	10.5562	CEL	7.4035
CEMP1	250.7186	CEMP1	132.0994
CENPA	85.2619	CENPA	7.4035
CENPBD1	437.6776	CENPBD1	260.1798
CENPB	2053.9992	CENPB	1822.8451
CENPC1	324.8071	CENPC1	438.9212
CENPE	313.0329	CENPE	39.1327
CENPF	1500.609	CENPF	232.1523
CENPH	191.6362	CENPH	87.7842
CENPI	40.6009	CENPI	15.3358
CENPJ	195.6963	CENPJ	189.3178
removed	removed	CENPK	11.1052
CENPL	123.4267	CENPL	69.8043
CENPM	91.352	CENPM	17.4511
CENPN	183.3333	CENPN	189.4553
CENPO	89.7361	CENPO	52.8239
CENPP	66.0617	CENPP	62.9508
CENPQ	158.3435	CENPQ	105.7641
CENPT	506.6991	CENPT	427.816
CENPV	89.728	CENPV	104.7065
CENPW	86.8859	CENPW	75.0925
CEP110	634.186	CEP110	562.6653
CEP120	479.4965	CEP120	649.3919
CEP135	245.2294	CEP135	161.2903
CEP152	57.6533	CEP152	87.2554
CEP164	523.7515	CEP164	491.2745
CEP170L	6.9022	removed	removed
CEP170	1112.0585	CEP170	903.7546
CEP192	564.7584	CEP192	604.9709
CEP250	945.1888	CEP250	682.7076
CEP290	681.5956	CEP290	457.34
CEP350	1800.2436	CEP350	1585.9334
CEP55	213.9667	CEP55	39.1327
CEP57	554.6082	CEP57	797.9905
CEP63	610.8729	CEP63	718.6092
CEP68	652.4604	CEP68	1701.2163
CEP70	347.1376	CEP70	231.0947
CEP72	71.4576	CEP72	61.872
CEP76	164.4336	CEP76	118.4558
CEP78	294.3565	CEP78	178.7414
CEP97	155.5014	CEP97	150.1851
CEPT1	599.6752	CEPT1	803.8075
CERCAM	2794.9655	CERCAM	830.2485
CERKL	94.1697	CERKL	32.0836
CERK	429.5575	CERK	865.6795
CES1	126.6748	CES1	6993.6542
CES2	903.3699	CES2	1542.0412
CES3	6.9022	CES3	26.441
removed	removed	CES4	76.679
CES8	107.9984	CES8	70.3332
CETN2	1472.1884	CETN2	823.9027
CETN3	288.2663	CETN3	241.6711
CETP	14.2103	CETP	229.5082
CFB	1872.0503	CFB	1130.7139
CFDP1	840.0325	CFDP1	664.7277
CFD	298.8226	CFD	9750.9254
CFHR3	9.3382	removed	removed
CFH	1345.1076	CFH	3198.8366
CFI	395.8587	CFI	567.9535
