gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
ACOT4	219.7373	ACOT4	162.2419
removed	removed	ACOT6	6.1947
ACOT7	808.4554	ACOT7	207.3746
ACOT8	334.7818	ACOT8	224.4248
ACOT9	947.8553	ACOT9	628.6136
ACOX1	1505.0132	ACOX1	3074.3363
ACOX2	194.3341	ACOX2	317.9941
ACOX3	606.1828	ACOX3	464.6018
ACP1	3985.1201	ACP1	1101.7699
ACP2	3015.3546	ACP2	927.1386
ACP5	480.1196	ACP5	567.5516
ACP6	490.916	ACP6	223.3038
ACPL2	409.3084	ACPL2	312.9794
ACPP	135.2718	ACPP	26.8437
ACRBP	22.8628	ACRBP	24.1888
ACRC	5.0806	ACRC	33.3333
removed	removed	ACR	9.4395
ACSBG1	8.256	ACSBG1	16.5192
ACSF2	1696.9308	ACSF2	1140.708
ACSF3	201.9551	ACSF3	338.0531
ACSL1	4815.4858	ACSL1	22921.8289
ACSL3	11785.7942	ACSL3	2623.5988
ACSL4	357.5494	ACSL4	2147.1976
ACSL5	120.0299	ACSL5	1233.3333
removed	removed	ACSL6	5.8997
removed	removed	ACSM1	25.6637
removed	removed	ACSM2A	10.9145
removed	removed	ACSM3	79.2006
ACSM5	18.4173	ACSM5	635.9882
ACSS1	1749.6424	ACSS1	759.292
ACSS2	1226.3374	ACSS2	4309.7345
ACSS3	30.4838	ACSS3	1287.0206
removed	removed	ACTA1	38.3481
ACTA2	4183.2869	ACTA2	25834.3451
ACTB	102112.7487	ACTB	71001.4749
removed	removed	ACTC1	38.3481
ACTG1	33219.3896	ACTG1	40761.3569
ACTG2	11.4314	ACTG2	11388.2006
ACTL6A	872.2809	ACTL6A	676.9912
ACTL8	64.778	ACTL8	7.0796
ACTN1	1787.4296	ACTN1	10648.9676
removed	removed	ACTN2	9.7345
ACTN3	729.7057	ACTN3	146.6077
ACTN4	10224.837	ACTN4	12541.0737
ACTR10	1011.3631	ACTR10	1146.6077
ACTR1A	4610.6728	ACTR1A	2941.8879
ACTR1B	2099.8884	ACTR1B	1549.8525
ACTR2	10280.9748	ACTR2	5516.5192
ACTR3B	175.9169	ACTR3B	116.2242
ACTR3C	125.7456	ACTR3C	18.8791
ACTR3	7079.542	ACTR3	3050.1475
