gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
C1QTNF7	20.3225	C1QTNF7	538.0531
removed	removed	C1QTNF9B	58.7522
C1QTNF9	22.8755	C1QTNF9	88.2684
C1RL	460.0131	C1RL	1911.649
C1R	1934.1328	C1R	18077.2861
C1S	2747.9864	C1S	23487.3156
removed	removed	C1orf101	8.8496
C1orf103	435.029	C1orf103	345.1327
C1orf104	19.8145	C1orf104	54.2655
C1orf106	2807.6838	C1orf106	89.6755
C1orf107	971.3532	C1orf107	659.587
C1orf109	222.2776	C1orf109	432.7434
C1orf112	326.4433	C1orf112	95.882
C1orf113	25.1968	C1orf113	60.9263
C1orf115	2023.3614	C1orf115	3696.4602
C1orf116	1973.8252	C1orf116	439.823
C1orf122	472.2542	C1orf122	312.9794
C1orf123	349.9285	C1orf123	823.5988
C1orf124	279.1172	C1orf124	194.1003
C1orf126	5.5538	C1orf126	44.7847
C1orf127	25.4032	removed	removed
C1orf128	745.2651	C1orf128	938.9381
C1orf130	64.778	C1orf130	89.6755
C1orf131	238.4721	C1orf131	201.1799
C1orf133	49.8537	C1orf133	40.708
C1orf135	30.1662	C1orf135	11.7994
C1orf144	2145.6141	C1orf144	3059.587
removed	removed	C1orf150	6.4897
C1orf151	914.1961	C1orf151	826.8437
removed	removed	C1orf152	12.6844
C1orf156	205.7656	C1orf156	135.6932
C1orf159	75.5744	C1orf159	72.2714
C1orf161	8.8911	removed	removed
C1orf162	87.9584	C1orf162	236.2832
C1orf163	202.2726	C1orf163	231.2684
C1orf168	14.6068	C1orf168	18.2891
C1orf170	18.4173	C1orf170	5.6047
C1orf172	271.1787	C1orf172	132.4484
removed	removed	C1orf173	27.4336
C1orf174	229.8986	C1orf174	395.2802
removed	removed	C1orf175	19.6814
C1orf183	50.4888	C1orf183	207.0796
removed	removed	C1orf186	12.0944
C1orf190	5.3378	C1orf190	54.4307
C1orf192	32.389	C1orf192	22.7139
C1orf198	2211.9798	C1orf198	1735.9882
C1orf201	107.9634	C1orf201	222.4189
C1orf203	13.6701	C1orf203	59.0147
C1orf204	27.175	C1orf204	47.2773
C1orf210	265.7805	C1orf210	88.2006
C1orf212	620.4721	C1orf212	654.2773
C1orf213	11.9109	C1orf213	101.2478
C1orf216	438.522	C1orf216	496.7552
C1orf21	1894.1228	C1orf21	2752.8024
removed	removed	C1orf220	5.8997
C1orf226	236.8844	C1orf226	437.4631
removed	removed	C1orf228	5.3097
removed	removed	C1orf229	8.8496
C1orf25	442.9675	C1orf25	610.0295
C1orf26	283.2452	C1orf26	201.1799
C1orf27	1646.442	C1orf27	684.0708
C1orf31	434.394	C1orf31	159.292
C1orf35	287.3732	C1orf35	174.6313
C1orf38	167.9784	C1orf38	453.6873
C1orf43	7539.0216	C1orf43	4231.2684
C1orf50	86.6883	C1orf50	145.4277
C1orf51	16.8296	C1orf51	115.9292
C1orf52	118.4422	C1orf52	305.3097
C1orf53	12.384	C1orf53	6.4897
C1orf54	44.7731	C1orf54	159.292
C1orf55	733.5161	C1orf55	650.7375
C1orf56	126.8094	C1orf56	129.8112
C1orf57	459.7971	C1orf57	337.1681
C1orf58	977.2753	C1orf58	382.5723
C1orf59	28.8961	C1orf59	161.9469
C1orf63	103.2003	C1orf63	294.6903
C1orf64	1527.9998	C1orf64	186.7257
C1orf66	368.3458	C1orf66	504.7198
C1orf69	212.4339	C1orf69	281.4159
removed	removed	C1orf70	10.6195
C1orf74	99.0723	C1orf74	58.4071
C1orf77	1303.4994	C1orf77	1306.1947
C1orf83	178.4572	C1orf83	249.5575
C1orf84	16.5565	C1orf84	12.1032
C1orf85	1797.5908	C1orf85	793.8053
C1orf86	254.0474	C1orf86	173.6224
removed	removed	C1orf88	106.4897
C1orf89	47.6309	C1orf89	30.6785
C1orf91	147.9734	C1orf91	121.5339
C1orf93	741.064	C1orf93	655.8083
removed	removed	C1orf95	70.5015
C1orf96	286.4206	C1orf96	286.4307
C1orf97	181.6326	C1orf97	100
C1orf9	2026.2192	C1orf9	1044.5428
C20orf103	141.3051	C20orf103	14.1593
C20orf108	7717.1613	C20orf108	3369.0265
C20orf111	814.1712	C20orf111	679.056
C20orf112	1230.4654	C20orf112	1051.3274
C20orf114	192.1114	C20orf114	88.2006
C20orf117	570.9359	C20orf117	393.8053
removed	removed	C20orf118	21.0147
C20orf11	2018.9158	C20orf11	1561.6519
C20orf12	82.5603	C20orf12	91.7404
C20orf132	17.1503	C20orf132	59
C20orf134	51.7589	C20orf134	17.4041
C20orf135	41.5977	C20orf135	38.6431
C20orf151	128.6035	C20orf151	19.469
C20orf152	5.3982	removed	removed
C20orf160	49.5362	C20orf160	426.5487
C20orf177	932.0227	C20orf177	318.2891
C20orf194	219.4198	C20orf194	1096.1652
C20orf195	9.2086	C20orf195	5.3097
C20orf196	34.6118	C20orf196	47.1976
removed	removed	C20orf197	8.8496
C20orf199	1237.4512	C20orf199	1281.4159
removed	removed	C20orf202	10.9145
removed	removed	C20orf203	7.3746
C20orf20	201.32	C20orf20	235.3982
C20orf24	3109.3145	C20orf24	695.6637
C20orf26	6.0332	C20orf26	5.0147
C20orf27	469.3233	C20orf27	834.2183
C20orf29	368.3458	C20orf29	180.531
C20orf30	2454.2624	C20orf30	3057.8171
C20orf3	3606.6131	C20orf3	5465.7817
C20orf43	2244.3688	C20orf43	2161.9469
removed	removed	C20orf46	15.9292
C20orf4	1199.029	C20orf4	1233.9233
C20orf54	130.5087	C20orf54	162.2419
C20orf70	11.749	removed	removed
C20orf72	347.3882	C20orf72	320.944
C20orf7	296.2643	C20orf7	116.2242
C20orf94	45.0906	C20orf94	21.8289
C20orf96	219.1022	C20orf96	179.646
C21orf119	110.1862	C21orf119	67.5516
C21orf122	13.9717	C21orf122	46.9027
removed	removed	C21orf130	9.7345
removed	removed	C21orf15	10.6195
C21orf2	147.0208	C21orf2	300
C21orf33	1849.6673	C21orf33	2219.174
C21orf34	77.4796	C21orf34	96.7552
C21orf45	245.1405	C21orf45	124.7788
removed	removed	C21orf49	9.7345
C21orf56	131.1438	C21orf56	63.7168
C21orf57	181.6326	C21orf57	121.8289
C21orf58	50.8063	C21orf58	25.9587
C21orf59	1233.682	C21orf59	471.9115
C21orf63	1408.9225	C21orf63	661.6519
C21orf67	92.0864	C21orf67	43.9528
C21orf70	157.8171	C21orf70	97.3451
C21orf7	47.9485	C21orf7	110.0295
C21orf82	6.6683	C21orf82	18.8791
C21orf88	6.6683	removed	removed
C21orf91	399.1471	C21orf91	591.4454
C22orf13	4936.0301	C22orf13	2708.0796
C22orf23	13.3367	C22orf23	80.826
C22orf25	531.2435	C22orf25	509.4395
C22orf26	9.2086	C22orf26	14.7493
C22orf27	132.414	C22orf27	106.4897
C22orf28	3330.6713	C22orf28	1759.587
C22orf29	1524.4116	C22orf29	882.0147
C22orf30	1421.3066	C22orf30	1008.2596
C22orf32	1287.94	C22orf32	859.882
removed	removed	C22orf34	6.1947
C22orf36	359.4547	C22orf36	131.5634
C22orf39	303.5677	C22orf39	936.8732
C22orf40	112.409	C22orf40	131.8584
C22orf46	270.5436	C22orf46	729.2035
C22orf9	1404.1594	C22orf9	1873.1563
C2CD2L	544.2277	C2CD2L	272.2124
C2CD2	1014.5385	C2CD2	3569.9115
C2CD3	477.8969	C2CD3	586.7257
C2CD4A	186.0781	C2CD4A	12.9794
removed	removed	C2CD4B	17.6991
removed	removed	C2CD4C	99.705
C2CD4D	34.9293	removed	removed
C2orf15	127.6064	C2orf15	34.2419
C2orf16	45.0906	C2orf16	39.823
C2orf18	2387.2616	C2orf18	1605.0147
C2orf24	3339.2449	C2orf24	1685.8407
C2orf27A	12.384	C2orf27A	28.0236
C2orf28	4455.1007	C2orf28	2103.5398
C2orf29	1855.383	C2orf29	743.9528
C2orf34	105.7406	C2orf34	63.7168
C2orf3	674.4538	C2orf3	491.7404
removed	removed	C2orf40	427.1386
C2orf42	191.7938	C2orf42	251.9174
C2orf43	319.7622	C2orf43	343.6578
C2orf44	170.5187	C2orf44	249.8525
C2orf47	478.1446	C2orf47	261.0619
C2orf49	124.4755	C2orf49	114.4543
C2orf50	8.256	removed	removed
removed	removed	C2orf52	5.3097
C2orf54	636.6666	C2orf54	69.6165
C2orf55	53.3466	C2orf55	236.8732
C2orf56	281.975	C2orf56	212.0944
removed	removed	C2orf58	19.469
C2orf60	244.5752	C2orf60	198.8201
C2orf63	24.133	C2orf63	44.8378
C2orf64	453.7639	C2orf64	508.5546
removed	removed	C2orf65	27.1386
C2orf67	347.7502	C2orf67	520.1976
C2orf68	950.3956	C2orf68	771.9764
C2orf69	486.4704	C2orf69	468.7316
C2orf72	145.1155	C2orf72	129.7935
C2orf74	14.9244	C2orf74	248.6726
C2orf76	121.3001	C2orf76	85.5457
C2orf77	41.2801	C2orf77	37.1681
C2orf79	301.98	C2orf79	177.5811
C2orf7	1101.8619	C2orf7	328.6136
C2orf81	13.3335	C2orf81	46.351
removed	removed	C2orf84	37.7581
C2orf86	100.3425	C2orf86	104.4248
C2orf88	6.0332	C2orf88	226.8437
C2orf89	10.1613	C2orf89	86.7257
C2	408.0763	C2	944.5723
C3AR1	264.5104	C3AR1	244.8378
C3orf10	3940.347	C3orf10	3320.944
C3orf14	877.044	C3orf14	166.9617
removed	removed	C3orf15	75.8112
C3orf17	850.3706	C3orf17	942.1829
C3orf18	90.8163	C3orf18	207.6696
C3orf19	320.3973	C3orf19	485.8407
C3orf1	1221.8918	C3orf1	1099.115
C3orf21	183.2203	C3orf21	257.2271
C3orf23	489.9634	C3orf23	545.7227
C3orf26	204.4954	C3orf26	404.4248
C3orf31	78.4322	C3orf31	143.0678
C3orf32	8.8911	C3orf32	15.6342
C3orf33	85.4181	C3orf33	97.9351
C3orf34	49.5362	C3orf34	66.3717
removed	removed	C3orf35	5.0147
removed	removed	C3orf36	6.1947
C3orf37	546.4854	C3orf37	1112.0944
C3orf38	393.4282	C3orf38	349.5575
C3orf39	404.8628	C3orf39	509.7345
C3orf42	6.3508	C3orf42	22.7139
removed	removed	C3orf47	62.5369
C3orf52	12.0665	C3orf52	62.2419
C3orf54	15.877	C3orf54	96.7552
C3orf55	5.3982	C3orf55	184.9558
C3orf57	902.4471	C3orf57	76.1062
C3orf58	104.1529	C3orf58	599.705
C3orf59	30.1662	C3orf59	169.0265
C3orf62	107.6459	C3orf62	167.5516
C3orf63	1312.6414	C3orf63	1951.1091
C3orf64	295.9468	C3orf64	1218.5841
C3orf67	15.877	C3orf67	9.1445
C3orf70	249.9035	C3orf70	219.469
C3orf71	10.4883	C3orf71	29.4985
C3orf75	415.6591	C3orf75	375.5162
C3	2498.7179	C3	47760.177
C4A	2471.1492	C4A	13657.9853
removed	removed	C4BPA	237.4631
C4BPB	10.1613	C4BPB	21.5339
C4orf10	307.4734	C4orf10	293.7316
C4orf12	19.3699	C4orf12	58.7021
C4orf14	713.1936	C4orf14	546.0177
C4orf19	206.1149	C4orf19	133.6283
C4orf21	53.6642	C4orf21	53.6873
C4orf23	207.6708	C4orf23	216.2242
C4orf27	395.6542	C4orf27	476.9912
C4orf29	129.5561	C4orf29	96.1652
C4orf31	134.6367	C4orf31	156.3422
C4orf32	313.0939	C4orf32	1643.6578
C4orf33	98.1197	C4orf33	150.4425
C4orf34	2238.9707	C4orf34	772.2714
C4orf36	17.7822	C4orf36	11.7994
removed	removed	C4orf38	21.2389
C4orf39	5.3982	C4orf39	13.8643
C4orf3	3474.8342	C4orf3	4198.5251
C4orf41	857.6741	C4orf41	1000.59
C4orf42	388.6683	C4orf42	367.5516
C4orf43	282.2926	C4orf43	339.233
C4orf46	234.3695	C4orf46	138.3481
removed	removed	C4orf48	5.8997
removed	removed	C4orf49	40.118
C4orf52	368.3458	C4orf52	335.9882
removed	removed	C4orf7	68.4366
C5AR1	183.2203	C5AR1	166.6667
C5orf13	460.4322	C5orf13	553.0973
C5orf15	1220.9392	C5orf15	1445.7227
removed	removed	C5orf20	10.6195
C5orf22	620.7896	C5orf22	434.8083
C5orf23	60.3325	C5orf23	594.3953
C5orf24	2089.092	C5orf24	1490.8555
C5orf25	147.2557	C5orf25	208.2596
C5orf27	109.2336	C5orf27	14.4543
C5orf28	404.2277	C5orf28	228.0236
C5orf30	177.187	C5orf30	404.1298
C5orf32	864.0248	C5orf32	1148.3776
C5orf33	605.5477	C5orf33	715.6342
C5orf34	40.645	C5orf34	29.4985
C5orf35	111.4563	C5orf35	101.4749
C5orf36	71.4464	C5orf36	78.7611
C5orf38	119.3948	C5orf38	41.0029
C5orf39	16.1945	C5orf39	91.7404
C5orf41	262.6051	C5orf41	780.826
C5orf42	291.5012	C5orf42	506.7847
C5orf43	1699.1536	C5orf43	983.1858
C5orf44	578.7887	C5orf44	418.3392
C5orf45	47.4626	C5orf45	228.0236
C5orf46	458.8445	C5orf46	27.1386
removed	removed	C5orf49	14.7493
C5orf4	372.1562	C5orf4	2306.4897
C5orf51	1473.0655	C5orf51	875.5162
C5orf53	264.8279	C5orf53	734.5133
C5orf54	180.6799	C5orf54	169.9115
C5orf55	43.1854	C5orf55	57.8171
C5orf56	18.7602	C5orf56	105.3481
C5orf62	271.8138	C5orf62	2195.2802
C5	58.1097	C5	273.7463
C6orf105	21.2751	C6orf105	28.3186
C6orf106	3345.9132	C6orf106	3819.469
C6orf108	480.1196	C6orf108	187.3156
removed	removed	C6orf114	13.8643
C6orf115	520.4472	C6orf115	229.4985
C6orf120	507.4217	C6orf120	1138.3805
C6orf122	7.8528	C6orf122	18.8466
removed	removed	C6orf123	11.2094
C6orf124	5.3982	C6orf124	8.5546
C6orf125	1256.8783	C6orf125	420.5015
C6orf129	342.6251	C6orf129	90.2655
C6orf130	416.6022	C6orf130	404.9469
C6orf132	421.0573	C6orf132	133.6283
C6orf134	207.0357	C6orf134	136.5782
C6orf136	412.1662	C6orf136	155.4572
removed	removed	C6orf138	32.4484
removed	removed	C6orf141	64.8968
C6orf145	211.4813	C6orf145	1153.9823
C6orf150	17.7822	C6orf150	64.6018
C6orf153	1142.1894	C6orf153	607.9646
C6orf154	100.3425	C6orf154	11.2094
removed	removed	C6orf155	58.7021
C6orf162	53.6642	C6orf162	114.8879
removed	removed	C6orf163	11.7994
removed	removed	C6orf164	5.7611
C6orf165	17.3345	C6orf165	9.7729
C6orf167	167.3433	C6orf167	157.8171
C6orf168	326.7481	C6orf168	84.0708
C6orf170	26.6733	C6orf170	87.6106
C6orf174	8.5736	C6orf174	99.5929
C6orf176	1000.1286	C6orf176	26.4071
C6orf182	93.3566	C6orf182	129.2035
removed	removed	C6orf186	11.5044
C6orf192	461.3848	C6orf192	365.7817
C6orf1	245.458	C6orf1	205.0147
C6orf201	8.5926	C6orf201	8.2625
C6orf203	224.5004	C6orf203	278.1711
C6orf204	43.5029	C6orf204	67.8466
removed	removed	C6orf208	11.5369
C6orf211	377.8719	C6orf211	879.056
removed	removed	C6orf217	9.1445
C6orf225	121.9351	C6orf225	225.6637
C6orf226	63.1904	C6orf226	47.1976
C6orf26	23.7043	C6orf26	24.1976
C6orf27	205.7656	C6orf27	54.8673
C6orf35	217.8321	C6orf35	481.7109
C6orf47	656.6716	C6orf47	707.6696
C6orf48	919.5942	C6orf48	1537.4631
C6orf52	12.0665	C6orf52	7.3746
C6orf57	89.2286	C6orf57	111.7994
removed	removed	C6orf59	7.0796
C6orf62	4878.5015	C6orf62	3612.7434
C6orf64	912.2908	C6orf64	508.5546
C6orf70	288.9609	C6orf70	329.7935
C6orf72	469.3233	C6orf72	1044.5428
removed	removed	C6orf81	6.4897
C6orf89	3967.6554	C6orf89	3746.0177
C6orf97	24.7681	C6orf97	375.8112
C6	31.1189	C6	1028.6136
C7orf10	36.1995	C7orf10	35.6932
C7orf11	373.1089	C7orf11	233.3333
C7orf13	77.1621	C7orf13	115.9292
C7orf23	218.3211	C7orf23	351.3068
C7orf25	403.5799	C7orf25	294.3392
C7orf26	669.6907	C7orf26	508.8496
C7orf27	1104.0847	C7orf27	629.2035
C7orf28A	1420.354	C7orf28A	700.885
C7orf28B	1100.9093	C7orf28B	548.0826
C7orf29	118.7598	C7orf29	119.469
C7orf30	387.7157	C7orf30	296.1652
C7orf31	13.0191	C7orf31	142.7729
C7orf36	283.5627	C7orf36	133.3333
C7orf40	448.0482	C7orf40	338.3481
C7orf41	418.517	C7orf41	5839.823
C7orf42	4557.0087	C7orf42	3285.8407
C7orf43	453.1288	C7orf43	159.587
C7orf44	1437.5011	C7orf44	565.4867
C7orf46	45.4081	C7orf46	84.6608
C7orf47	218.4671	C7orf47	98.5251
C7orf49	867.829	C7orf49	519.6549
C7orf50	795.4363	C7orf50	542.4779
removed	removed	C7orf51	39.528
C7orf53	8.8911	C7orf53	16.8142
C7orf55	135.5131	C7orf55	172.1652
C7orf58	83.8304	C7orf58	1961.0619
C7orf59	1050.738	C7orf59	882.8909
C7orf60	220.3724	C7orf60	292.0354
C7orf63	13.6542	C7orf63	133.6283
C7orf64	326.113	C7orf64	300.59
C7orf68	565.2202	C7orf68	502.9499
C7orf70	857.9916	C7orf70	354.8673
C7	94.6268	C7	7969.3215
C8orf30A	690.0132	C8orf30A	363.4218
removed	removed	C8orf31	11.2094
C8orf33	1688.9923	C8orf33	1172.5664
removed	removed	C8orf34	36.8732
C8orf37	35.2469	C8orf37	74.9263
C8orf38	440.1097	C8orf38	186.7257
C8orf39	6.3508	removed	removed
C8orf40	938.3291	C8orf40	635.6932
C8orf41	208.3757	C8orf41	241.1976
C8orf42	261.6525	C8orf42	365.4867
C8orf44	22.358	C8orf44	39.9322
C8orf45	26.9909	C8orf45	23.5988
removed	removed	C8orf46	52.8024
removed	removed	C8orf47	7.3746
C8orf48	11.749	C8orf48	37.7581
C8orf4	124.4755	C8orf4	686.4307
C8orf51	103.8354	C8orf51	21.2389
C8orf55	3172.5366	C8orf55	633.0383
C8orf58	188.936	C8orf58	294.1003
C8orf59	521.3648	C8orf59	475.7581
C8orf73	170.8362	C8orf73	43.0678
C8orf76	607.2021	C8orf76	253.4041
removed	removed	C8orf77	5.3097
C8orf79	86.6883	C8orf79	282.5959
removed	removed	C8orf80	15.0442
C8orf83	2283.1086	C8orf83	602.6549
C8orf84	6.3508	C8orf84	482.5959
C8orf85	157.4996	C8orf85	115.6342
C9orf100	65.7275	C9orf100	35.4897
C9orf102	122.8528	C9orf102	159.2655
C9orf103	37.7872	C9orf103	129.7935
C9orf109	12.0665	C9orf109	24.7788
C9orf110	107.9634	C9orf110	200
C9orf114	232.7628	C9orf114	395.5251
C9orf116	82.5603	C9orf116	23.5988
C9orf117	5.0806	removed	removed
C9orf119	232.1213	C9orf119	276.6962
C9orf122	26.9909	C9orf122	9.7345
C9orf123	336.5918	C9orf123	648.9676
C9orf125	22.8628	C9orf125	171.9764
C9orf129	146.2333	C9orf129	72.236
C9orf130	57.4365	C9orf130	127.646
C9orf140	150.1962	C9orf140	47.1976
C9orf142	178.1396	C9orf142	160.472
C9orf150	363.2651	C9orf150	482.8909
C9orf152	1027.8752	C9orf152	210.6195
C9orf156	220.3724	C9orf156	271.9764
C9orf163	7.3034	removed	removed
C9orf167	58.7448	C9orf167	140.118
C9orf169	257.2197	C9orf169	6.115
C9orf16	476.9443	C9orf16	432.1534
C9orf172	8.8911	removed	removed
C9orf21	67.0008	C9orf21	263.1268
C9orf23	293.4065	C9orf23	276.1062
removed	removed	C9orf24	6.1947
C9orf25	436.6167	C9orf25	614.1593
C9orf30	284.4233	C9orf30	189.2861
C9orf37	55.5694	C9orf37	89.9705
C9orf3	349.4522	C9orf3	452.6696
C9orf40	72.7165	C9orf40	176.1062
C9orf41	296.5818	C9orf41	135.3982
C9orf43	7.6209	C9orf43	6.4897
removed	removed	C9orf44	6.1947
C9orf45	50.8063	C9orf45	155.7522
C9orf46	262.9227	C9orf46	249.8525
C9orf47	12.7333	C9orf47	13.3009
C9orf5	1535.6208	C9orf5	3483.7758
C9orf64	491.5511	C9orf64	411.7994
removed	removed	C9orf66	33.3333
removed	removed	C9orf68	41.0029
C9orf69	332.1463	C9orf69	798.2301
C9orf6	412.4837	C9orf6	385.2507
C9orf72	110.8213	C9orf72	267.8466
C9orf78	1004.6948	C9orf78	1402.3599
C9orf7	1264.4421	C9orf7	313.5693
C9orf80	187.9834	C9orf80	226.8437
C9orf82	445.8254	C9orf82	320.649
C9orf85	199.4148	C9orf85	149.5575
C9orf86	1364.1495	C9orf86	1382.3009
C9orf89	229.581	C9orf89	178.4661
C9orf91	1070.1079	C9orf91	667.5516
C9orf93	11.749	C9orf93	38.3481
C9orf95	470.5935	C9orf95	587.3156
removed	removed	C9orf96	10.0295
C9orf98	55.5694	C9orf98	23.5988
C9orf9	57.7922	C9orf9	140.118
CA11	67.6359	CA11	208.2596
CA12	543.31	CA12	1243.0678
CA13	87.3233	CA13	74.6549
removed	removed	CA14	5.3097
CA2	164.1679	CA2	314.4543
removed	removed	CA3	1211.1858
removed	removed	CA4	1007.6696
CA5BP	830.0481	CA5BP	165.4867
CA5B	318.9049	CA5B	365.4012
CA8	124.4755	CA8	172.2714
CAB39L	364.5353	CAB39L	1446.6077
CAB39	3272.8791	CAB39	2598.5251
CABC1	723.0373	CABC1	4544.0442
CABIN1	1934.7679	CABIN1	1265.4867
CABLES1	505.8403	CABLES1	1598.5251
CABLES2	353.7389	CABLES2	125.0737
removed	removed	CABP1	46.3127
removed	removed	CABP4	12.9794
CABP7	6.8303	removed	removed
CABYR	39.6924	CABYR	61.3569
CACHD1	49.2186	CACHD1	1388.2006
CACNA1A	9.2086	CACNA1A	28.0236
CACNA1C	115.9019	CACNA1C	415.3392
CACNA1D	497.5843	CACNA1D	162.8319
CACNA1F	8.5736	CACNA1F	5.0147
CACNA1G	6.6683	CACNA1G	34.8083
CACNA1H	275.3067	CACNA1H	232.1534
CACNA1I	38.7398	CACNA1I	12.9794
CACNA2D1	38.7398	CACNA2D1	210.9145
CACNA2D2	160.675	CACNA2D2	117.9941
removed	removed	CACNA2D3	11.5044
CACNA2D4	26.6733	CACNA2D4	92.9204
CACNB1	30.1662	CACNB1	92.9204
CACNB2	12.0665	CACNB2	90.5605
CACNB3	486.1529	CACNB3	244.5428
CACNB4	462.3374	CACNB4	110.9145
CACNG4	92.404	CACNG4	294.6903
CACYBP	2149.4245	CACYBP	971.3864
CADM1	320.3973	CADM1	484.9558
removed	removed	CADM2	99.115
removed	removed	CADM3	403.885
CADM4	1216.4936	CADM4	398.2301
CADPS2	2494.9075	CADPS2	1120.059
CADPS	7.9385	removed	removed
CAD	1511.1702	CAD	1123.3038
CALB2	8.256	CALB2	1361.6519
CALCA	7.3034	CALCA	10.6195
removed	removed	CALCB	5.3097
CALCOCO1	820.2044	CALCOCO1	3667.2566
CALCOCO2	1136.4737	CALCOCO2	4217.6991
CALCRL	1009.1404	CALCRL	1746.6077
removed	removed	CALCR	16.5192
CALD1	4528.7476	CALD1	16471.6814
CALHM2	417.5644	CALHM2	1256.3422
CALM1	9989.7911	CALM1	9907.0796
CALM2	24425.1345	CALM2	9468.1416
CALM3	2368.8443	CALM3	4159.587
removed	removed	CALML3	204.4248
CALML4	98.4372	CALML4	342.1829
CALML5	6369.2063	CALML5	230.6785
removed	removed	CALN1	38.6431
CALR	13800.582	CALR	11128.6136
CALU	10999.5666	CALU	4148.3776
CAMK1D	46.9958	CAMK1D	105.0147
CAMK1G	9.5262	removed	removed
CAMK1	77.3748	CAMK1	894.3009
removed	removed	CAMK2B	33.6283
CAMK2D	732.246	CAMK2D	1258.1121
CAMK2G	907.8453	CAMK2G	839.528
CAMK2N1	276.2593	CAMK2N1	901.7699
CAMK2N2	33.3416	removed	removed
removed	removed	CAMK4	7.3746
CAMKK1	639.2069	CAMKK1	271.3864
CAMKK2	1187.28	CAMKK2	2141.5929
CAMLG	870.0581	CAMLG	994.3953
CAMP	7.6209	removed	removed
CAMSAP1L1	1888.4071	CAMSAP1L1	1579.941
CAMSAP1	719.5444	CAMSAP1	984.9558
CAMTA1	172.1064	CAMTA1	380.531
CAMTA2	1266.3473	CAMTA2	1416.2242
CAND1	2827.6888	CAND1	2484.9558
CAND2	6.6683	CAND2	166.6667
CANT1	4173.421	CANT1	1187.3156
CANX	29440.3526	CANX	14330.6785
CAP1	5691.2596	CAP1	6833.0383
CAP2	89.5461	CAP2	531.2684
CAPG	796.0714	CAPG	1312.0944
CAPN10	129.5466	CAPN10	182.3009
CAPN11	6.3508	CAPN11	100
CAPN12	75.5077	CAPN12	65.1209
CAPN13	563.6325	CAPN13	111.5044
CAPN14	33.6592	CAPN14	5.8997
CAPN1	3650.116	CAPN1	2864.3068
CAPN2	19329.2614	CAPN2	7859.292
removed	removed	CAPN3	134.9233
CAPN5	443.6026	CAPN5	350.4425
removed	removed	CAPN6	153.0973
CAPN7	823.3798	CAPN7	987.9056
CAPN8	1013.9035	CAPN8	60.472
CAPN9	2603.8235	CAPN9	23.8938
CAPNS1	10696.6339	CAPNS1	6917.1091
CAPNS2	33.0241	removed	removed
CAPRIN1	33773.1784	CAPRIN1	6187.6106
CAPRIN2	172.7415	CAPRIN2	406.1947
removed	removed	CAPS2	46.9027
CAPS	2027.8069	CAPS	140.413
CAPZA1	2175.7803	CAPZA1	2490.2655
CAPZA2	2593.3447	CAPZA2	2802.6549
removed	removed	CAPZA3	7.6696
CAPZB	3123.318	CAPZB	3994.3953
CARD10	451.8586	CARD10	841.2979
CARD11	55.8869	CARD11	105.3097
CARD14	227.0407	CARD14	82.3009
CARD16	22.2278	CARD16	172.5664
CARD6	180.9975	CARD6	663.1268
CARD8	388.0332	CARD8	1223.3038
CARD9	8.5736	CARD9	40.118
CARHSP1	1025.3127	CARHSP1	1640.8732
CARKD	979.2917	CARKD	1035.6932
CARM1	1007.2351	CARM1	739.233
CARNS1	6.0332	CARNS1	48.3776
CARS2	306.5462	CARS2	435.9469
CARS	644.6051	CARS	940.41
CASC1	15.5594	CASC1	15.6342
CASC2	34.6118	CASC2	43.6578
CASC3	729.0706	CASC3	2942.7729
CASC4	2686.3837	CASC4	3025.6637
CASC5	238.4721	CASC5	13.2743
CASD1	477.8969	CASD1	947.4926
CASKIN1	8.4688	removed	removed
CASKIN2	581.4306	CASKIN2	1723.3894
CASK	497.5843	CASK	965.1917
CASP10	108.916	CASP10	704.7198
removed	removed	CASP12	6.7847
removed	removed	CASP14	5.6047
CASP1	103.2003	CASP1	513.2743
CASP2	2004.6265	CASP2	809.7345
CASP3	725.8952	CASP3	466.3717
CASP4	476.6267	CASP4	977.8761
CASP6	238.4721	CASP6	250.4425
CASP7	441.3798	CASP7	946.9027
CASP8AP2	211.1637	CASP8AP2	541.8879
CASP8	604.2776	CASP8	540.413
CASP9	243.8703	CASP9	244.2478
removed	removed	CASQ1	12.6844
CASQ2	7.3034	CASQ2	416.2242
CASS4	40.01	CASS4	26.8437
CAST	9062.3854	CAST	8284.941
CASZ1	798.2942	CASZ1	447.4926
CATSPER2P1	18.5411	CATSPER2P1	27.174
CATSPER2	11.4314	CATSPER2	24.7788
CATSPER3	8.6434	CATSPER3	5.6047
CATSPERB	67.6359	CATSPERB	17.6991
CATSPERG	9.2086	CATSPERG	18.5841
CAT	965.955	CAT	9189.9705
CAV1	860.2144	CAV1	21009.7345
CAV2	310.5536	CAV2	5978.1711
CBARA1	1042.7996	CBARA1	1118.5841
CBFA2T2	624.2826	CBFA2T2	682.5959
CBFA2T3	22.8628	CBFA2T3	300.885
CBFB	651.591	CBFB	729.7935
CBLB	441.6974	CBLB	639.823
CBLC	645.5577	CBLC	87.3156
CBLL1	1207.6025	CBLL1	706.4897
removed	removed	CBLN1	84.0708
CBLN3	30.4838	CBLN3	67.2566
CBLN4	7.9385	CBLN4	58.9971
