gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
C20orf196	50.5415	C20orf196	90.1101
C20orf199	1794.2238	C20orf199	2700.4748
C20orf202	7.6715	removed	removed
C20orf203	13.0866	C20orf203	25.4571
C20orf20	173.7365	C20orf20	228.71
C20orf24	3240.4422	C20orf24	602.966
C20orf26	25.722	C20orf26	7.2735
C20orf27	501.3538	C20orf27	423.073
C20orf29	258.574	C20orf29	216.5875
C20orf30	3552.3466	C20orf30	2045.0551
C20orf3	3560.9206	C20orf3	2449.1363
C20orf43	2991.8773	C20orf43	2133.1448
C20orf46	20.7581	C20orf46	31.5183
C20orf4	2431.4079	C20orf4	1140.7213
C20orf54	443.1408	C20orf54	355.9956
C20orf72	490.0722	C20orf72	763.7135
C20orf7	148.4657	C20orf7	124.0529
C20orf94	92.0578	C20orf94	50.1061
C20orf96	333.935	C20orf96	453.7832
C21orf119	32.9422	C21orf119	92.5346
C21orf122	20.7581	C21orf122	37.9836
removed	removed	C21orf125	6.8694
C21orf130	7.2202	C21orf130	13.7388
C21orf15	7.2202	C21orf15	37.1755
C21orf2	204.8736	C21orf2	521.6689
C21orf33	1200.8123	C21orf33	1767.4513
C21orf34	27.0758	C21orf34	129.306
C21orf45	182.7617	C21orf45	197.9998
removed	removed	C21orf49	8.0816
C21orf56	101.9856	C21orf56	184.261
C21orf57	73.556	C21orf57	161.2284
C21orf58	143.0505	C21orf58	90.1101
C21orf59	478.1634	C21orf59	716.0238
C21orf63	74.9097	C21orf63	688.1503
C21orf67	46.4801	C21orf67	49.702
C21orf70	43.3213	C21orf70	144.257
C21orf7	34.296	C21orf7	66.6734
removed	removed	C21orf82	5.6571
C21orf88	25.2708	C21orf88	93.7468
C21orf91	362.8159	C21orf91	639.2565
C22orf13	3187.3962	C22orf13	2414.9066
C22orf23	25.2708	C22orf23	92.5346
C22orf25	1431.4079	C22orf25	309.9303
C22orf26	9.4765	C22orf26	7.6775
C22orf27	143.9531	C22orf27	114.355
C22orf28	1173.7365	C22orf28	1827.2553
C22orf29	1155.722	C22orf29	1232.674
C22orf30	1105.1444	C22orf30	1531.8719
C22orf32	442.6895	C22orf32	992.0194
C22orf36	88.4477	C22orf36	346.7017
C22orf39	1047.3827	C22orf39	617.032
C22orf40	139.8917	C22orf40	194.3631
removed	removed	C22orf41	9.6979
removed	removed	C22orf43	9.2939
C22orf45	13.5379	C22orf45	13.3347
C22orf46	750.9025	C22orf46	775.8359
C22orf9	2231.0469	C22orf9	1498.7372
C2CD2L	432.7617	C2CD2L	319.9151
C2CD2	697.6534	C2CD2	1042.9336
C2CD3	564.0794	C2CD3	1065.5622
removed	removed	C2CD4B	6.4653
C2CD4C	15.343	C2CD4C	18.9918
removed	removed	C2CD4D	12.9306
C2orf15	193.8042	C2orf15	101.881
C2orf16	65.8845	C2orf16	72.3305
C2orf18	2512.1841	C2orf18	983.9378
C2orf24	1290.6137	C2orf24	1536.3168
C2orf27A	30.2347	C2orf27A	53.3387
C2orf28	2206.787	C2orf28	1665.8652
C2orf29	1303.2491	C2orf29	890.1909
C2orf34	50.0903	C2orf34	90.9183
C2orf3	171.9314	C2orf3	461.4608
C2orf40	14.4404	C2orf40	1025.5581
C2orf42	149.8195	C2orf42	300.6364
C2orf43	311.8231	C2orf43	248.1059
C2orf44	471.5704	C2orf44	352.7629
C2orf47	319.0433	C2orf47	219.4161
C2orf48	5.8664	removed	removed
C2orf49	103.3394	C2orf49	156.7835
C2orf50	37.0036	C2orf50	5.6571
C2orf52	6.3177	C2orf52	10.9102
C2orf54	178.7004	C2orf54	16.9714
C2orf55	287.9061	C2orf55	325.2854
C2orf56	302.3466	C2orf56	262.2487
removed	removed	C2orf58	18.9918
C2orf60	266.6968	C2orf60	267.9058
C2orf63	137.6354	C2orf63	155.9754
C2orf64	371.3899	C2orf64	552.7831
removed	removed	C2orf65	18.5877
C2orf66	10.8303	removed	removed
C2orf67	382.2789	C2orf67	610.3041
C2orf68	501.3538	C2orf68	1243.3579
C2orf69	694.4946	C2orf69	314.7793
C2orf70	8.574	removed	removed
removed	removed	C2orf71	8.4857
C2orf72	150.2708	C2orf72	463.0771
C2orf73	9.9278	C2orf73	7.6775
C2orf74	334.3863	C2orf74	330.5384
C2orf76	68.1408	C2orf76	67.8856
C2orf77	226.9856	C2orf77	74.755
C2orf79	170.1264	C2orf79	344.2772
C2orf7	127.7076	C2orf7	172.9468
C2orf81	65.722	C2orf81	106.9361
removed	removed	C2orf82	60.6122
C2orf86	77.6173	C2orf86	128.9019
C2orf88	40.1625	C2orf88	883.3215
C2orf89	39.2599	C2orf89	28.2857
C2	652.9783	C2	126.1016
C3AR1	229.6931	C3AR1	143.8529
C3orf10	3777.9783	C3orf10	2687.9483
C3orf14	612.8159	C3orf14	349.9343
C3orf15	185.0181	C3orf15	170.5223
C3orf17	1019.8556	C3orf17	1096.2724
C3orf18	270.3069	C3orf18	265.8854
C3orf19	458.4838	C3orf19	671.9871
C3orf1	1487.8159	C3orf1	882.1093
C3orf21	481.9495	C3orf21	213.759
C3orf23	439.9819	C3orf23	469.1383
C3orf26	528.8809	C3orf26	307.9099
C3orf31	176.444	C3orf31	181.8365
C3orf32	9.0253	C3orf32	12.9306
C3orf33	126.8051	C3orf33	109.9101
C3orf34	181.4079	C3orf34	66.6734
removed	removed	C3orf35	13.7388
C3orf36	10.3791	removed	removed
C3orf37	1028.4296	C3orf37	808.9706
C3orf38	520.7581	C3orf38	371.7547
C3orf39	576.2635	C3orf39	639.6606
C3orf42	7.6715	C3orf42	29.4979
C3orf47	37.9061	C3orf47	64.2489
C3orf52	57.3105	C3orf52	131.7305
C3orf54	9.0253	C3orf54	65.0571
C3orf55	18.9531	C3orf55	41.2163
C3orf57	166.5162	C3orf57	65.4612
C3orf58	644.4043	C3orf58	1166.5825
C3orf59	175.5415	C3orf59	202.4447
C3orf62	90.704	C3orf62	163.2488
C3orf63	2176.9675	C3orf63	2259.8242
C3orf64	251.3538	C3orf64	870.3909
C3orf67	93.4116	C3orf67	14.951
C3orf70	254.0614	C3orf70	47.6816
C3orf71	11.7329	C3orf71	51.7224
C3orf75	297.3827	C3orf75	321.6487
C3	6810.0181	C3	6554.1974
C4A	16817.3646	C4A	10246.6714
removed	removed	C4BPA	25.8612
C4BPB	9.4765	C4BPB	6.0612
C4orf10	324.6029	C4orf10	311.4214
C4orf12	24.3682	C4orf12	52.9346
C4orf14	636.2816	C4orf14	1022.3255
C4orf19	49.0162	C4orf19	226.3421
C4orf21	103.3394	C4orf21	137.3876
C4orf23	428.7004	C4orf23	425.4975
C4orf27	304.1516	C4orf27	359.6323
C4orf29	165.1625	C4orf29	143.8529
C4orf31	98.3755	C4orf31	152.7427
C4orf32	444.9458	C4orf32	819.4767
C4orf33	282.0397	C4orf33	156.7835
C4orf34	3219.3141	C4orf34	1219.113
C4orf36	6.769	C4orf36	21.4163
removed	removed	C4orf38	19.8
C4orf39	14.8917	C4orf39	43.2367
C4orf3	2684.1155	C4orf3	2795.4339
C4orf41	1734.657	C4orf41	1172.2396
C4orf42	839.8014	C4orf42	407.3139
C4orf43	468.4116	C4orf43	425.9016
C4orf46	230.1444	C4orf46	191.9386
C4orf47	10.8303	C4orf47	11.3143
removed	removed	C4orf49	31.9224
C4orf52	380.8664	C4orf52	337.4078
removed	removed	C4orf7	50.1061
C5AR1	174.639	C5AR1	56.5714
C5orf13	1185.9206	C5orf13	619.0524
C5orf15	1581.2274	C5orf15	1352.0558
C5orf20	20.7581	removed	removed
C5orf22	833.4838	C5orf22	503.8893
C5orf23	23.4657	C5orf23	162.4407
C5orf24	884.0253	C5orf24	1326.1946
C5orf25	549.0839	C5orf25	209.3141
removed	removed	C5orf27	28.2857
C5orf28	194.0433	C5orf28	275.9875
C5orf30	666.9675	C5orf30	330.5384
C5orf32	481.4982	C5orf32	467.1179
C5orf33	1106.4982	C5orf33	819.8808
C5orf34	41.5162	C5orf34	61.0163
C5orf35	64.5307	C5orf35	150.3182
C5orf36	84.8375	C5orf36	83.6448
C5orf38	27.5271	C5orf38	82.4326
C5orf39	17.148	C5orf39	55.3591
C5orf41	557.3105	C5orf41	1012.2235
C5orf42	1583.4838	C5orf42	768.5625
C5orf43	1262.6354	C5orf43	1108.3948
C5orf44	296.8321	C5orf44	442.0447
C5orf45	205.6227	C5orf45	270.6657
C5orf46	6.769	C5orf46	18.1837
C5orf49	88.4477	C5orf49	26.2653
C5orf4	212.5451	C5orf4	2674.2095
C5orf51	1807.3105	C5orf51	1022.3255
C5orf53	221.5704	C5orf53	511.9709
C5orf54	70.3971	C5orf54	261.8446
C5orf55	40.1625	C5orf55	71.1183
C5orf56	27.5542	C5orf56	118.5332
C5orf62	479.2419	C5orf62	400.4445
C5	218.8628	C5	300.6364
C6orf105	8.574	C6orf105	37.1755
C6orf106	2684.5668	C6orf106	2586.1198
C6orf108	137.1841	C6orf108	203.2529
C6orf115	328.5199	C6orf115	245.6814
C6orf120	705.5776	C6orf120	878.9413
C6orf122	10.343	C6orf122	9.9242
removed	removed	C6orf123	51.7224
removed	removed	C6orf124	84.8571
C6orf125	551.7013	C6orf125	547.4816
C6orf129	226.083	C6orf129	82.8367
C6orf130	296.9134	C6orf130	574.9429
C6orf132	87.9964	C6orf132	226.2855
C6orf134	235.1083	C6orf134	378.22
C6orf136	171.0289	C6orf136	195.5753
C6orf138	71.2996	C6orf138	14.5469
C6orf141	48.2852	C6orf141	125.2652
removed	removed	C6orf142	8.8898
C6orf145	255.4152	C6orf145	649.7626
C6orf147	14.6345	C6orf147	14.6197
C6orf150	55.9567	C6orf150	41.2163
C6orf153	514.8917	C6orf153	364.4813
C6orf154	29.7834	C6orf154	11.7184
C6orf155	15.343	C6orf155	142.6407
removed	removed	C6orf15	15.7592
C6orf162	36.435	C6orf162	132.1871
removed	removed	C6orf163	26.6694
removed	removed	C6orf164	23.7883
C6orf165	26.6381	C6orf165	19.505
C6orf167	241.426	C6orf167	353.9751
C6orf168	226.5343	C6orf168	204.8692
C6orf170	83.4838	C6orf170	206.8896
C6orf174	16.2861	C6orf174	125.5561
C6orf182	98.8267	C6orf182	96.9795
C6orf192	196.7509	C6orf192	495.8077
C6orf1	280.6859	C6orf1	219.4161
removed	removed	C6orf201	32.3629
C6orf203	95.2166	C6orf203	213.3549
C6orf204	32.0397	C6orf204	48.0857
removed	removed	C6orf208	5.0268
C6orf211	1183.213	C6orf211	1347.2068
C6orf217	6.769	C6orf217	9.6979
C6orf225	163.8087	C6orf225	168.0978
C6orf226	19.8556	C6orf226	45.6612
C6orf26	11.3493	C6orf26	49.6373
C6orf27	40.6137	C6orf27	50.9142
C6orf35	271.2094	C6orf35	424.6894
removed	removed	C6orf41	10.5061
C6orf47	540.1625	C6orf47	746.7421
C6orf48	842.0578	C6orf48	1657.5412
removed	removed	C6orf52	6.4653
C6orf57	29.3321	C6orf57	95.3632
removed	removed	C6orf59	12.9306
C6orf62	2857.13	C6orf62	2813.0437
C6orf64	965.2527	C6orf64	729.3666
C6orf70	213.4477	C6orf70	431.1547
C6orf72	443.5921	C6orf72	764.1176
C6orf89	2303.7004	C6orf89	3593.0902
C6orf97	132.6715	C6orf97	792.4033
C6	9.0253	C6	8.0816
C7orf10	52.3466	C7orf10	44.853
C7orf11	248.1949	C7orf11	235.9834
C7orf13	97.9242	C7orf13	193.5549
C7orf23	157.8971	C7orf23	292.1507
C7orf25	383.4928	C7orf25	324.0287
C7orf26	539.7112	C7orf26	596.828
C7orf27	1001.8051	C7orf27	951.6113
C7orf28A	1261.2816	C7orf28A	615.0116
C7orf28B	854.2419	C7orf28B	526.5178
C7orf29	169.2238	C7orf29	182.6447
C7orf30	285.6498	C7orf30	240.0242
C7orf31	236.4621	C7orf31	92.9387
C7orf36	149.3682	C7orf36	195.5753
C7orf40	328.9711	C7orf40	309.1221
C7orf41	217.0578	C7orf41	2552.177
C7orf42	4989.1697	C7orf42	3104.1519
C7orf43	537.0036	C7orf43	229.9222
C7orf44	907.491	C7orf44	743.9135
C7orf46	35.1986	C7orf46	189.11
C7orf47	152.5271	C7orf47	130.9223
C7orf49	787.0578	C7orf49	495.0359
C7orf50	952.6173	C7orf50	692.5952
C7orf51	13.0866	C7orf51	43.6408
C7orf53	11.7329	C7orf53	25.053
C7orf55	95.2166	C7orf55	205.6773
C7orf58	166.5162	C7orf58	310.3344
C7orf59	966.1552	C7orf59	756.8441
C7orf60	387.1841	C7orf60	349.5303
removed	removed	C7orf61	8.0816
C7orf63	94.3141	C7orf63	238.0038
C7orf64	353.7906	C7orf64	381.8568
C7orf68	640.343	C7orf68	209.3141
C7orf70	693.5921	C7orf70	449.7424
C7	124.0975	C7	117.9917
removed	removed	C8B	8.0816
C8ORFK29	5.4152	removed	removed
C8orf30A	1788.8087	C8orf30A	442.873
C8orf31	27.0758	C8orf31	5.6571
C8orf33	4000	C8orf33	1036.0642
removed	removed	C8orf34	7.2735
C8orf37	70.8484	C8orf37	92.5346
C8orf38	625.9025	C8orf38	159.6121
C8orf39	10.8303	C8orf39	14.1428
C8orf40	289.7112	C8orf40	548.7423
C8orf41	409.4585	C8orf41	273.4539
C8orf42	725.6318	C8orf42	504.6974
C8orf44	47.9016	C8orf44	62.9276
C8orf45	125	C8orf45	57.3795
C8orf46	41.5162	C8orf46	51.7224
removed	removed	C8orf47	50.9142
C8orf48	126.3538	C8orf48	24.649
C8orf4	212.5451	C8orf4	371.3506
C8orf51	139.4404	C8orf51	54.1469
C8orf55	877.7076	C8orf55	885.746
C8orf58	205.3249	C8orf58	254.1671
C8orf59	464.9504	C8orf59	494.5348
C8orf73	268.0505	C8orf73	68.6938
C8orf76	641.7103	C8orf76	223.861
C8orf77	7.2202	C8orf77	17.3755
C8orf79	128.6101	C8orf79	492.9791
C8orf80	6.3177	C8orf80	11.3143
C8orf83	1098.8267	C8orf83	615.8198
C8orf84	50.5415	C8orf84	392.3629
C8orf85	64.0794	C8orf85	448.9342
C9orf100	43.3664	C9orf100	43.1316
C9orf102	112.6715	C9orf102	198.7514
C9orf103	83.935	C9orf103	91.3224
C9orf109	16.6968	C9orf109	26.6694
C9orf110	199.4585	C9orf110	187.4937
C9orf114	334.1697	C9orf114	574.353
C9orf116	134.4765	C9orf116	38.7918
C9orf117	6.3177	C9orf117	22.6285
C9orf119	344.7653	C9orf119	285.6854
C9orf122	32.0397	C9orf122	57.3795
C9orf123	284.7473	C9orf123	686.1299
C9orf125	17.148	C9orf125	83.2407
removed	removed	C9orf128	9.6979
C9orf129	136.7148	C9orf129	93.1933
C9orf130	17.4594	C9orf130	171.5284
removed	removed	C9orf131	5.2531
C9orf140	224.278	C9orf140	151.5305
C9orf142	187.7256	C9orf142	238.812
removed	removed	C9orf144B	5.6571
C9orf150	1290.1625	C9orf150	576.6239
C9orf152	191.787	C9orf152	923.3256
C9orf156	196.2996	C9orf156	378.6241
removed	removed	C9orf163	12.5265
C9orf167	82.13	C9orf167	82.4326
C9orf16	267.148	C9orf16	459.8444
C9orf171	5.8664	removed	removed
C9orf172	12.6354	removed	removed
C9orf21	73.556	C9orf21	144.6611
C9orf23	157.9422	C9orf23	387.918
removed	removed	C9orf24	5.2531
C9orf25	461.1913	C9orf25	466.3097
C9orf30	213.38	C9orf30	168.9868
C9orf37	55.5054	C9orf37	115.1631
C9orf3	182.5406	C9orf3	443.071
C9orf40	48.2852	C9orf40	102.6366
C9orf41	178.2491	C9orf41	195.1712
C9orf43	15.343	C9orf43	11.7184
C9orf45	52.3466	C9orf45	434.3873
C9orf46	241.426	C9orf46	235.9834
C9orf47	9.0343	C9orf47	24.3055
C9orf4	8.574	removed	removed
C9orf5	1568.1408	C9orf5	3277.5028
C9orf64	525.722	C9orf64	425.4975
removed	removed	C9orf66	29.4979
C9orf68	18.5018	C9orf68	104.253
C9orf69	566.787	C9orf69	778.6645
C9orf6	320.8484	C9orf6	484.4934
C9orf72	155.6859	C9orf72	353.167
C9orf78	1054.6029	C9orf78	1260.3293
C9orf7	780.6859	C9orf7	522.477
C9orf80	162.4549	C9orf80	293.767
C9orf82	273.917	C9orf82	340.6405
C9orf85	91.1552	C9orf85	202.4447
C9orf86	1664.2599	C9orf86	1532.276
C9orf89	226.5343	C9orf89	169.7141
C9orf91	660.1986	C9orf91	776.24
C9orf93	63.6282	C9orf93	154.359
C9orf95	223.8267	C9orf95	484.4934
C9orf96	11.2816	C9orf96	29.902
C9orf98	67.6895	C9orf98	44.0449
C9orf9	147.5632	C9orf9	212.1426
CA11	76.7148	CA11	291.7466
CA12	16662.9061	CA12	3599.1514
CA13	22.5632	CA13	126.0612
CA14	14.4404	CA14	9.2939
CA2	509.9278	CA2	1896.3532
CA3	8.574	CA3	80.4243
removed	removed	CA4	138.1958
CA5BP	247.7437	CA5BP	225.0732
CA5B	340.7265	CA5B	376.1471
removed	removed	CA6	55.7632
CA8	345.2166	CA8	529.7505
CAB39L	1060.4693	CAB39L	1478.1291
CAB39	2689.0794	CAB39	1862.4103
CABC1	943.0009	CABC1	1892.7528
CABIN1	3063.6282	CABIN1	1954.9449
CABLES1	597.4729	CABLES1	1024.75
CABLES2	509.4765	CABLES2	216.5875
removed	removed	CABP1	10.102
removed	removed	CABP4	44.158
CABYR	82.5812	CABYR	156.7835
CACHD1	165.1625	CACHD1	1307.2027
CACNA1A	23.4657	CACNA1A	23.8408
CACNA1B	6.769	removed	removed
CACNA1C	205.7762	CACNA1C	581.877
CACNA1D	147.5632	CACNA1D	166.8855
CACNA1F	22.1119	CACNA1F	44.4489
CACNA1G	96.1191	CACNA1G	37.5796
CACNA1H	3932.3105	CACNA1H	45.6612
CACNA1I	41.9675	CACNA1I	36.7714
CACNA2D1	99.7292	CACNA2D1	152.7427
CACNA2D2	106.9495	CACNA2D2	279.6242
CACNA2D3	5.8664	CACNA2D3	8.8898
CACNA2D4	15.343	CACNA2D4	37.9836
CACNB1	143.9531	CACNB1	124.0529
CACNB2	10.8303	CACNB2	58.5918
CACNB3	818.5921	CACNB3	419.8404
CACNB4	27.0758	CACNB4	170.9264
CACNG1	53.7004	removed	removed
CACNG4	3166.9675	CACNG4	231.5385
CACNG6	61.3718	removed	removed
CACYBP	1684.1155	CACYBP	933.8317
CADM1	681.4079	CADM1	1544.3984
CADM2	38.3574	CADM2	20.6081
CADM3	33.8448	CADM3	198.7958
CADM4	626.3538	CADM4	705.1217
CADPS2	1147.1119	CADPS2	1046.5704
CADPS	8.1227	removed	removed
CAD	1816.3357	CAD	1821.1941
CALB2	46.9314	CALB2	138.1958
CALCOCO1	1277.9783	CALCOCO1	3591.0698
CALCOCO2	2604.2419	CALCOCO2	2635.0136
CALCRL	511.2816	CALCRL	281.6446
removed	removed	CALCR	104.657
CALD1	6773.4657	CALD1	5897.1613
CALHM1	6.769	removed	removed
CALHM2	804.6029	CALHM2	488.5342
CALM1	3644.8556	CALM1	4211.7386
CALM2	10763.0866	CALM2	7429.8414
CALM3	5162.9061	CALM3	3808.0614
CALML3	33.8448	CALML3	535.4076
CALML4	160.1986	CALML4	307.1017
removed	removed	CALML5	787.5543
removed	removed	CALML6	8.0816
CALN1	41.5162	CALN1	22.6285
CALR	29465.704	CALR	10154.9651
CALU	5882.2202	CALU	2225.6794
CAMK1D	56.4079	CAMK1D	63.8448
CAMK1	107.7482	CAMK1	217.2785
CAMK2A	10.8303	removed	removed
CAMK2B	82.5812	CAMK2B	150.3182
CAMK2D	1054.1516	CAMK2D	1004.1418
CAMK2G	683.6643	CAMK2G	726.134
CAMK2N1	1319.0433	CAMK2N1	1114.456
CAMK2N2	41.065	removed	removed
CAMK4	27.5271	CAMK4	18.5877
CAMKK1	100.6318	CAMKK1	225.0732
CAMKK2	1639.4404	CAMKK2	1714.1125
CAMLG	763.5379	CAMLG	1202.9498
CAMP	20.7581	removed	removed
CAMSAP1L1	1870.4874	CAMSAP1L1	1306.3946
CAMSAP1	784.296	CAMSAP1	1065.1581
CAMTA1	277.9783	CAMTA1	548.3382
CAMTA2	802.7978	CAMTA2	1307.6068
CAND1	6141.2455	CAND1	2978.4827
CAND2	162.0036	CAND2	73.1387
CANT1	5127.2563	CANT1	2355.3894
CANX	30160.6498	CANX	17906.4552
CAP1	5721.1191	CAP1	4540.2566
CAP2	500	CAP2	339.8323
CAPG	3502.2563	CAPG	1588.4433
CAPN10	166.8186	CAPN10	263.3559
removed	removed	CAPN11	145.4692
CAPN12	61.5162	CAPN12	91.7224
CAPN13	161.1011	CAPN13	245.2773
CAPN14	10.3791	CAPN14	6.8694
CAPN1	5612.3646	CAPN1	3555.9147
CAPN2	5115.0722	CAPN2	4120.0121
CAPN3	14.5803	CAPN3	446.5138
CAPN5	238.2671	CAPN5	238.0038
CAPN6	14.8917	CAPN6	470.3505
CAPN7	1649.3682	CAPN7	1165.7743
CAPN8	33.3935	CAPN8	476.4118
CAPN9	51.8953	CAPN9	44.853
CAPNS1	6675.5415	CAPNS1	5183.958
CAPRIN1	9215.2527	CAPRIN1	6746.9441
CAPRIN2	567.6895	CAPRIN2	452.571
CAPS2	51.8953	CAPS2	63.0367
CAPSL	54.6029	removed	removed
CAPS	814.9819	CAPS	239.6202
CAPZA1	3004.9639	CAPZA1	1936.3572
CAPZA2	3344.3141	CAPZA2	1652.6922
removed	removed	CAPZA3	19.8
CAPZB	3597.4729	CAPZB	2758.6625
CARD10	346.5704	CARD10	589.9586
CARD11	101.083	CARD11	141.4284
CARD14	212.5451	CARD14	216.1835
CARD16	54.1516	CARD16	132.1346
CARD6	174.1877	CARD6	343.8731
CARD8	904.3321	CARD8	829.5787
CARD9	21.2094	CARD9	91.7264
CARHSP1	883.2717	CARHSP1	877.7695
CARKD	1560.9206	CARKD	1358.5211
CARM1	2361.4621	CARM1	790.7869
CARNS1	24.8195	CARNS1	40.004
CARS2	858.2942	CARS2	511.288
CARS	1640.343	CARS	599.2524
CASC1	48.2852	CASC1	42.0244
CASC2	154.3321	CASC2	46.8734
CASC3	3083.935	CASC3	3365.9966
CASC4	3135.3791	CASC4	2659.6626
CASC5	155.6859	CASC5	14.951
CASD1	999.5487	CASD1	690.1707
CASKIN1	73.6733	CASKIN1	28.1968
CASKIN2	838.2401	CASKIN2	974.5429
CASK	3607.4007	CASK	1455.0965
CASP10	140.343	CASP10	212.5467
removed	removed	CASP12	7.2735
CASP1	162.0036	CASP1	569.7545
CASP2	1781.1372	CASP2	1310.0313
CASP3	1086.6426	CASP3	536.2158
CASP4	315.8845	CASP4	785.1298
CASP6	741.426	CASP6	378.6241
CASP7	1267.5993	CASP7	790.7869
CASP8AP2	413.3574	CASP8AP2	720.0727
CASP8	456.2274	CASP8	570.9668
CASP9	286.1011	CASP9	422.669
CASQ1	5.4152	removed	removed
CASQ2	5.8664	CASQ2	40.8122
CASS4	25.2708	CASS4	21.8204
CAST	2718.8222	CAST	4212.4134
CASZ1	1374.0975	CASZ1	1339.9333
CATSPER1	9.0253	removed	removed
CATSPER2P1	36.6155	CATSPER2P1	28.3948
CATSPER2	12.6354	CATSPER2	55.6299
removed	removed	CATSPER3	8.5908
CATSPERB	28.4296	CATSPERB	33.9428
CATSPERG	19.4043	CATSPERG	53.7428
CAT	1270.3069	CAT	2661.2789
CAV1	1064.9819	CAV1	5539.9535
CAV2	370.9386	CAV2	1563.7943
removed	removed	CAV3	6.4653
CBARA1	1394.8556	CBARA1	899.4848
CBFA2T2	537.9061	CBFA2T2	1259.9252
CBFA2T3	32.9422	CBFA2T3	179.4121
CBFB	928.2491	CBFB	803.7175
CBLB	627.2563	CBLB	633.1953
CBLC	300.9928	CBLC	233.1549
CBLL1	1305.5054	CBLL1	853.4195
CBLN1	25.2708	CBLN1	11.7184
CBLN2	6.769	removed	removed
CBLN3	113.7184	CBLN3	97.3836
removed	removed	CBLN4	11.7184
CBL	836.6426	CBL	1147.5907
CBR1	912.7347	CBR1	823.4852
CBR3	98.8267	CBR3	288.4493
CBR4	708.9395	CBR4	673.2034
CBS	214.3502	CBS	115.9713
CBWD1	805.0542	CBWD1	1000.9092
CBWD2	374.5487	CBWD2	461.0567
CBWD3	195.8484	CBWD3	324.1297
removed	removed	CBWD5	18.9352
CBWD6	76.7148	CBWD6	155.5713
CBX1	2254.0614	CBX1	1750.4798
CBX2	758.574	CBX2	105.4652
CBX3	5246.3899	CBX3	2380.8466
CBX4	3095.6679	CBX4	375.7955
CBX5	3839.8014	CBX5	3772.0982
CBX6	428.7004	CBX6	685.7258
CBX7	484.657	CBX7	2798.2625
CBX8	311.3718	CBX8	130.1142
CBY1	336.1462	CBY1	642.974
CC2D1A	1530.2347	CC2D1A	1103.5458
CC2D1B	604.2419	CC2D1B	725.7299
CC2D2A	527.0758	CC2D2A	553.5913
removed	removed	CC2D2B	16.5673
CCAR1	1890.7942	CCAR1	1273.2599
CCBE1	12.6354	CCBE1	28.2857
CCBL1	32.9422	CCBL1	134.559
CCBL2	409.5126	CCBL2	882.9255
CCBP2	26.6245	CCBP2	58.1877
CCDC101	201.2635	CCDC101	428.7302
CCDC102A	70.3971	CCDC102A	164.4611
CCDC102B	32.9422	CCDC102B	27.0734
CCDC103	370.9386	CCDC103	177.7957
CCDC104	905.2347	CCDC104	962.9255
CCDC106	661.5523	CCDC106	224.6692
CCDC107	131.9269	CCDC107	242.3477
removed	removed	CCDC108	8.0816
CCDC109A	541.9675	CCDC109A	379.8363
CCDC109B	414.2599	CCDC109B	114.355
CCDC110	85.7401	CCDC110	71.1183
CCDC111	236.2861	CCDC111	262.0345
CCDC112	120.4874	CCDC112	233.963
CCDC113	544.6751	CCDC113	260.2283
CCDC114	35.6498	CCDC114	21.4163
CCDC115	1127.7076	CCDC115	1199.3131
removed	removed	CCDC116	5.2531
CCDC117	1236.4621	CCDC117	1085.7662
CCDC11	57.3105	CCDC11	42.8326
CCDC120	478.3394	CCDC120	619.0524
CCDC121	137.6354	CCDC121	224.6692
CCDC122	44.2238	CCDC122	115.1631
CCDC123	535.1986	CCDC123	557.6321
CCDC124	781.1372	CCDC124	487.726
CCDC125	464.3502	CCDC125	425.0934
CCDC126	219.7653	CCDC126	174.5631
CCDC127	478.3394	CCDC127	367.7139
removed	removed	CCDC129	19.3959
CCDC12	229.6931	CCDC12	455.3995
CCDC130	300.0903	CCDC130	532.9831
CCDC132	906.1372	CCDC132	677.2401
CCDC134	61.8231	CCDC134	88.0897
CCDC136	98.8267	CCDC136	88.0897
CCDC137	627.2563	CCDC137	327.3058
CCDC138	56.8592	CCDC138	73.1387
removed	removed	CCDC13	19.8
CCDC142	130.4152	CCDC142	157.5351
CCDC144A	121.2996	CCDC144A	135.4117
CCDC144B	135.5641	CCDC144B	198.4645
CCDC144C	5.8664	CCDC144C	7.2735
CCDC146	163.3574	CCDC146	204.8692
CCDC147	8.574	CCDC147	12.9306
CCDC148	36.5523	CCDC148	44.853
CCDC149	484.2058	CCDC149	880.493
CCDC14	691.3357	CCDC14	1769.0676
CCDC150	19.8556	CCDC150	12.9306
CCDC151	19.4043	CCDC151	12.5265
CCDC152	35.0135	CCDC152	177.3715
CCDC153	23.4657	CCDC153	12.1224
removed	removed	CCDC154	23.0326
removed	removed	CCDC155	6.0612
CCDC157	90.7762	CCDC157	48.9504
CCDC158	35.6498	CCDC158	80.8162
CCDC159	575.8123	CCDC159	211.3345
CCDC15	71.7509	CCDC15	140.6203
CCDC160	58.6643	CCDC160	82.4326
CCDC163P	85.7401	CCDC163P	78.3918
removed	removed	CCDC17	18.5877
CCDC18	30.2347	CCDC18	39.1959
CCDC19	78.9711	CCDC19	11.7184
CCDC21	409.296	CCDC21	386.7057
CCDC22	540.713	CCDC22	547.5705
CCDC23	115.0722	CCDC23	233.5589
CCDC24	264.7834	CCDC24	226.0228
