gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
ACOT1	487.3646	ACOT1	476.4118
ACOT2	224.278	ACOT2	311.9507
ACOT4	310.4693	ACOT4	124.457
ACOT6	7.2202	removed	removed
ACOT7	709.3863	ACOT7	183.4529
ACOT8	467.1029	ACOT8	235.648
ACOT9	229.2419	ACOT9	288.1099
ACOX1	2026.1733	ACOX1	1474.4924
ACOX2	45.5776	ACOX2	226.6896
ACOX3	731.0469	ACOX3	527.326
ACP1	1132.6715	ACP1	1374.6843
ACP2	1221.1191	ACP2	682.8973
ACP5	2899.8195	ACP5	454.9955
ACP6	385.8303	ACP6	419.8404
ACPL2	592.9603	ACPL2	441.6608
ACPP	10.8303	ACPP	40.4081
ACRBP	32.9422	ACRBP	23.4367
ACRC	14.8917	ACRC	34.751
removed	removed	ACSBG1	17.3755
removed	removed	ACSBG2	7.6775
ACSF2	675.0903	ACSF2	1012.2639
ACSF3	233.3032	ACSF3	421.8608
ACSL1	7145.3069	ACSL1	2178.8059
ACSL3	3693.1408	ACSL3	3747.8533
ACSL4	899.3682	ACSL4	828.3665
ACSL5	250.4513	ACSL5	912.4154
ACSL6	35.6498	ACSL6	10.102
ACSM1	5.4152	ACSM1	33.1347
ACSM3	26.6606	ACSM3	212.377
ACSM5	17.148	ACSM5	89.3019
ACSS1	1171.4801	ACSS1	1113.2438
ACSS2	1589.3502	ACSS2	1520.5576
ACSS3	121.8412	ACSS3	235.9834
ACTA2	6484.6977	ACTA2	19043.8994
removed	removed	ACTBL2	5.2531
ACTB	64695.8484	ACTB	44903.9297
ACTG1	44228.7906	ACTG1	49538.3372
ACTG2	217.509	ACTG2	2638.2463
ACTL6A	946.2996	ACTL6A	920.497
ACTN1	4884.9278	ACTN1	6897.2623
ACTN4	11290.0181	ACTN4	10818.4706
ACTR10	733.3032	ACTR10	915.648
ACTR1A	3072.6534	ACTR1A	1671.684
ACTR1B	675.0903	ACTR1B	1510.8597
ACTR2	5777.0758	ACTR2	3726.0329
ACTR3B	234.2058	ACTR3B	350.3384
ACTR3C	18.5018	ACTR3C	28.2857
ACTR3	3617.3285	ACTR3	2345.6915
ACTR5	341.1552	ACTR5	252.1467
ACTR6	782.491	ACTR6	647.3381
ACTR8	457.13	ACTR8	576.2198
ACVR1B	1375	ACVR1B	1461.5618
ACVR1C	37.4549	ACVR1C	193.5549
ACVR1	985.1083	ACVR1	1005.3541
ACVR2A	231.4982	ACVR2A	670.7748
ACVR2B	243.231	ACVR2B	837.6604
ACVRL1	288.8087	ACVRL1	419.0322
ACY1	467.9603	ACY1	606.93
removed	removed	ACY3	25.053
ACYP1	39.2599	ACYP1	76.3714
ACYP2	73.556	ACYP2	150.3182
ADAL	180.0542	ADAL	174.5631
ADAM10	1432.7617	ADAM10	1689.4636
ADAM11	20.3069	ADAM11	36.3673
ADAM12	4440.4332	ADAM12	505.9097
ADAM15	3002.2563	ADAM15	2483.5882
ADAM17	869.1336	ADAM17	787.1502
ADAM19	637.6354	ADAM19	77.1795
removed	removed	ADAM21	8.4857
ADAM22	86.6426	ADAM22	50.1061
ADAM23	68.1408	ADAM23	17.7796
ADAM28	111.0108	ADAM28	122.4366
removed	removed	ADAM29	56.1673
ADAM32	9.9278	ADAM32	58.5918
ADAM33	80.3249	ADAM33	411.0557
ADAM6	16553.0325	ADAM6	52047.8594
ADAM8	216.1552	ADAM8	101.4244
ADAM9	2018.5018	ADAM9	1270.0273
ADAMDEC1	103.3394	removed	removed
ADAMTS10	73.556	ADAMTS10	143.0448
ADAMTS12	696.2996	ADAMTS12	69.502
ADAMTS13	56.4079	ADAMTS13	140.6203
ADAMTS14	175.9928	ADAMTS14	8.0816
ADAMTS15	33.3935	ADAMTS15	275.5834
ADAMTS16	205.3249	ADAMTS16	23.4367
ADAMTS17	36.5523	ADAMTS17	43.2367
ADAMTS18	29.3321	ADAMTS18	94.9591
ADAMTS1	481.9495	ADAMTS1	1481.7658
ADAMTS20	24.8195	removed	removed
ADAMTS2	954.4224	ADAMTS2	174.9672
ADAMTS3	15.7942	ADAMTS3	39.6
ADAMTS4	595.6679	ADAMTS4	58.5918
ADAMTS5	179.6029	ADAMTS5	1838.9736
ADAMTS6	80.3249	ADAMTS6	10.9102
ADAMTS7	159.7473	ADAMTS7	36.7714
ADAMTS8	9.4765	ADAMTS8	49.2979
ADAMTS9	257.6715	ADAMTS9	372.967
ADAMTSL1	81.6787	ADAMTSL1	115.1631
ADAMTSL2	68.1408	ADAMTSL2	35.1551
ADAMTSL3	84.8375	ADAMTSL3	85.2611
ADAMTSL4	92.509	ADAMTSL4	351.1466
ADAMTSL5	68.1408	ADAMTSL5	33.1347
ADAP1	331.7554	ADAP1	108.9282
ADAP2	268.5018	ADAP2	113.1427
ADARB1	351.083	ADARB1	793.2114
ADAR	18528.8809	ADAR	6931.2052
ADAT1	251.8051	ADAT1	284.0691
ADAT2	68.5921	ADAT2	267.5018
ADAT3	6.769	ADAT3	22.2245
ADA	150.722	ADA	57.3795
ADCK1	125	ADCK1	175.7753
ADCK2	1259.4765	ADCK2	820.2849
ADCK4	840.2527	ADCK4	569.3504
ADCK5	110.1083	ADCK5	107.8897
ADCY10	22.1119	removed	removed
ADCY1	739.1697	ADCY1	4018.1837
ADCY2	41.9675	ADCY2	92.1305
ADCY3	1662.9648	ADCY3	1028.415
ADCY4	74.4585	ADCY4	399.6363
ADCY5	16.2455	ADCY5	261.0365
ADCY6	2259.0253	ADCY6	2758.2584
ADCY7	674.639	ADCY7	405.2935
ADCY9	1348.8267	ADCY9	943.1256
removed	removed	ADCYAP1R1	20.6081
ADCYAP1	30.6859	ADCYAP1	5.6571
ADC	244.1336	ADC	222.6488
ADD1	7341.6065	ADD1	6114.9611
ADD2	30.6859	ADD2	60.6122
ADD3	3689.9819	ADD3	3006.3643
removed	removed	ADH1A	25.053
ADH1B	618.6823	ADH1B	3733.3064
removed	removed	ADH1C	106.6774
ADH5	1743.6823	ADH5	3119.9111
ADH7	7.2202	removed	removed
ADHFE1	49.1877	ADHFE1	213.759
ADI1	391.2455	ADI1	1363.7741
ADIPOQ	615.9747	ADIPOQ	3334.8823
ADIPOR1	4396.2094	ADIPOR1	2491.1607
ADIPOR2	2967.0578	ADIPOR2	2121.8305
ADK	471.5704	ADK	274.7752
ADM2	395.7581	ADM2	151.5305
ADM	120.0361	ADM	223.861
ADNP2	689.0794	ADNP2	750.7829
ADNP	6873.6462	ADNP	3486.4128
ADORA1	164.2599	ADORA1	667.1381
ADORA2A	156.5884	ADORA2A	90.5142
ADORA2B	46.0289	ADORA2B	112.7387
ADORA3	144.4043	ADORA3	72.7346
ADO	464.3502	ADO	677.6442
ADPGK	897.4323	ADPGK	921.8588
ADPRHL1	140.343	ADPRHL1	138.1958
ADPRHL2	998.6462	ADPRHL2	575.4117
ADPRH	217.509	ADPRH	343.065
removed	removed	ADRA1A	24.2449
removed	removed	ADRA1B	11.7184
ADRA2A	476.9856	ADRA2A	737.8523
ADRA2B	6.3177	ADRA2B	23.0326
ADRA2C	24.8195	ADRA2C	35.1551
ADRB1	90.2527	ADRB1	72.3305
ADRB2	27.5271	ADRB2	219.012
ADRBK1	1911.1011	ADRBK1	1889.0797
ADRBK2	458.935	ADRBK2	1314.4762
ADRM1	1256.3177	ADRM1	830.791
ADSL	549.639	ADSL	905.546
ADSSL1	37.9061	ADSSL1	107.4856
ADSS	1150.2708	ADSS	1312.4558
AEBP1	21263.0866	AEBP1	2791.3931
AEBP2	768.9531	AEBP2	741.8931
AEN	771.2094	AEN	452.1669
AES	3722.0217	AES	5201.7375
AFAP1L1	130.4152	AFAP1L1	256.1875
AFAP1L2	536.5523	AFAP1L2	983.9378
AFAP1	1211.6381	AFAP1	1617.1169
AFF1	2906.1372	AFF1	2840.2869
AFF2	26.1733	AFF2	50.5102
AFF3	8528.4296	AFF3	1826.043
AFF4	3650.722	AFF4	4032.7306
AFG3L1	118.6823	AFG3L1	328.518
AFG3L2	1356.6426	AFG3L2	1327.0633
AFMID	264.4404	AFMID	599.6565
removed	removed	AFP	8.0816
AFTPH	2052.3466	AFTPH	2085.8673
AG2	79.8736	AG2	87.2815
AGAP11	101.1011	AGAP11	183.4731
AGAP1	470.6679	AGAP1	574.1994
AGAP2	94.4675	AGAP2	102.5316
AGAP3	1335.2888	AGAP3	1674.5126
AGAP4	78.0686	AGAP4	341.0445
AGAP5	58.3123	AGAP5	88.914
AGAP6	72.6534	AGAP6	192.3427
AGAP7	11.7329	AGAP7	12.5265
AGAP8	16.6968	AGAP8	99.404
AGA	216.1552	AGA	227.0936
AGBL2	75.8123	AGBL2	26.2653
AGBL3	7.2202	removed	removed
AGBL4	11.7329	AGBL4	11.3143
AGBL5	1161.5569	AGBL5	875.6561
AGER	6.769	AGER	88.8979
AGFG1	1758.574	AGFG1	1583.9984
AGFG2	379.5126	AGFG2	473.9873
AGGF1	935.0181	AGGF1	963.3296
AGK	836.6426	AGK	559.2484
AGL	3165.1625	AGL	996.8684
AGMAT	74.0072	AGMAT	16.1632
AGPAT1	1241.0153	AGPAT1	1730.7162
AGPAT2	252.7076	AGPAT2	749.5707
AGPAT3	2106.4982	AGPAT3	1708.4554
AGPAT4	142.5993	AGPAT4	256.1875
AGPAT5	976.5343	AGPAT5	598.0402
AGPAT6	1653.8809	AGPAT6	2072.9367
AGPAT9	32.9422	AGPAT9	94.555
AGPHD1	46.0289	AGPHD1	54.1469
AGPS	568.5921	AGPS	800.889
AGR2	16152.5271	AGR2	3375.2904
AGR3	719.3141	AGR3	663.5014
AGRN	4101.9856	AGRN	4269.9263
AGTPBP1	272.1119	AGTPBP1	385.4935
AGTR1	55.5054	AGTR1	253.763
AGTRAP	906.1372	AGTRAP	622.2851
AGT	409.296	AGT	73.9469
AGXT2L1	23.0144	removed	removed
AGXT2L2	305.9341	AGXT2L2	437.9796
AHCTF1	2265.7942	AHCTF1	1530.6597
AHCYL1	7206.2274	AHCYL1	4179.4121
AHCYL2	814.9819	AHCYL2	624.3055
AHCY	2481.4982	AHCY	3543.3882
AHDC1	689.0794	AHDC1	1514.0923
AHI1	218.4116	AHI1	667.9463
AHNAK2	1263.9892	AHNAK2	730.9829
AHNAK	63918.3213	AHNAK	87365.1884
AHRR	82.13	AHRR	21.0122
AHR	1968.8628	AHR	3133.6499
AHSA1	1517.5993	AHSA1	1493.8883
AHSA2	277.9783	AHSA2	997.6765
AIDA	1523.0144	AIDA	692.2113
AIF1L	244.1336	AIF1L	2540.8627
AIF1	223.8267	AIF1	222.6488
AIFM1	1702.6173	AIFM1	624.3055
AIFM2	268.5018	AIFM2	479.6444
AIFM3	90.6814	AIFM3	8.8898
AIG1	513.9892	AIG1	593.9994
AIM1L	8.1227	removed	removed
AIM1	1399.3682	AIM1	2632.1851
AIM2	10.3791	AIM2	6.8694
AIMP1	1527.3285	AIMP1	1154.4035
AIMP2	340.6227	AIMP2	181.9174
AIP	810.9206	AIP	800.889
removed	removed	AJAP1	23.8408
AK1	260.8303	AK1	271.5426
AK2	1757.2202	AK2	2006.2633
AK3L1	61.3718	AK3L1	404.8894
AK3	1015.7942	AK3	1615.5167
AK5	28.4296	AK5	1025.1541
AK7	16.6968	AK7	39.1959
AKAP10	954.4224	AKAP10	575.4117
AKAP11	1917.87	AKAP11	2279.0181
AKAP12	1081.6787	AKAP12	1118.4968
AKAP13	3328.9711	AKAP13	5142.3376
AKAP1	1296.4801	AKAP1	3028.5887
AKAP2	506.9043	AKAP2	1030.8354
AKAP3	32.491	AKAP3	65.4612
AKAP5	113.7184	AKAP5	84.0489
AKAP6	43.3213	AKAP6	311.9507
AKAP7	84.8375	AKAP7	200.0202
AKAP8L	1146.6606	AKAP8L	883.3215
AKAP8	620.9386	AKAP8	746.338
AKAP9	2462.5451	AKAP9	4263.461
AKD1	52.7978	AKD1	187.0896
AKIRIN1	1202.6173	AKIRIN1	863.9256
AKIRIN2	348.8267	AKIRIN2	643.2973
AKNA	519.8556	AKNA	941.5092
AKR1A1	1679.6029	AKR1A1	1726.235
AKR1B1	477.8881	AKR1B1	778.2604
AKR1C1	118.231	AKR1C1	565.7137
AKR1C2	67.2383	AKR1C2	381.8568
AKR1C3	202.6173	AKR1C3	470.3505
removed	removed	AKR1E2	56.9755
AKR7A2	980.1444	AKR7A2	991.6153
AKR7A3	299.639	AKR7A3	65.0571
AKR7L	23.917	AKR7L	20.6081
AKT1S1	1351.5343	AKT1S1	664.3095
AKT1	3167.87	AKT1	3015.6581
AKT2	3659.296	AKT2	2430.1445
AKT3	1288.3574	AKT3	995.252
AKTIP	1455.4332	AKTIP	586.039
ALAD	898.0144	ALAD	1664.4105
ALAS1	759.9278	ALAS1	762.0972
ALB	71.7509	ALB	103.0407
ALCAM	3506.769	ALCAM	2875.442
ALDH16A1	712.5451	ALDH16A1	509.1423
ALDH18A1	3217.509	ALDH18A1	1626.0228
ALDH1A1	440.4332	ALDH1A1	1044.954
ALDH1A2	80.7762	ALDH1A2	237.5998
ALDH1A3	268.6913	ALDH1A3	1550.3829
ALDH1B1	1204.8736	ALDH1B1	428.3261
ALDH1L1	12.1841	ALDH1L1	209.3141
ALDH1L2	498.1949	ALDH1L2	194.3631
ALDH2	2919.6751	ALDH2	2921.9113
removed	removed	ALDH3A1	52.9346
ALDH3A2	2407.491	ALDH3A2	2538.0341
ALDH3B1	214.8014	ALDH3B1	163.2488
ALDH3B2	791.9675	ALDH3B2	721.285
ALDH4A1	1036.5523	ALDH4A1	609.3545
ALDH5A1	1162.0036	ALDH5A1	691.787
ALDH6A1	569.4314	ALDH6A1	578.4382
ALDH7A1	1386.7329	ALDH7A1	3087.1805
ALDH8A1	11.2816	ALDH8A1	37.9836
ALDH9A1	4090.704	ALDH9A1	4377.8159
ALDOA	49855.5957	ALDOA	10968.3806
ALDOB	8.574	removed	removed
ALDOC	353.7906	ALDOC	649.7626
ALG10B	348.3755	ALG10B	477.624
ALG10	111.0108	ALG10	151.5305
ALG11	41.5162	ALG11	11.3143
ALG12	847.9242	ALG12	558.4402
ALG13	594.7653	ALG13	628.7504
ALG14	129.5126	ALG14	140.2162
ALG1L	93.8809	ALG1L	11.6779
ALG1	940.9883	ALG1	403.6771
ALG2	880.8664	ALG2	912.4154
ALG3	938.6282	ALG3	502.273
ALG5	375	ALG5	519.2444
ALG6	277.5271	ALG6	302.2528
ALG8	646.6606	ALG8	793.6155
ALG9	453.0686	ALG9	585.1096
ALKBH1	180.0542	ALKBH1	262.6528
ALKBH2	250	ALKBH2	391.1506
ALKBH3	497.2924	ALKBH3	360.4404
ALKBH4	301.0379	ALKBH4	275.2763
ALKBH5	3965.6679	ALKBH5	1925.3258
ALKBH6	113.2671	ALKBH6	63.0367
ALKBH7	169.6751	ALKBH7	480.0485
ALKBH8	226.9856	ALKBH8	299.8283
removed	removed	ALK	10.9102
removed	removed	ALMS1P	12.9306
ALMS1	709.8375	ALMS1	961.7133
removed	removed	ALOX12P2	56.1673
removed	removed	ALOX12	8.9342
ALOX15B	185.0181	ALOX15B	135.7713
ALOX15	48.2852	ALOX15	94.9591
ALOX5AP	180.9567	ALOX5AP	165.2692
ALOX5	269.8556	ALOX5	264.2691
ALOXE3	28.8809	ALOXE3	16.9714
ALPK1	434.5668	ALPK1	968.1786
ALPK2	42.4188	ALPK2	5.6571
ALPK3	93.4116	ALPK3	162.4407
ALPL	174.1877	ALPL	763.7135
ALS2CL	61.3718	ALS2CL	574.1994
ALS2CR11	6.3177	ALS2CR11	14.1428
ALS2CR4	423.2852	ALS2CR4	1487.423
ALS2CR8	152.0758	ALS2CR8	362.4609
ALS2	727.4368	ALS2	709.5666
ALX3	12.6354	ALX3	45.6612
removed	removed	ALX4	62.6326
AMACR	961.1913	AMACR	348.7221
removed	removed	AMBP	47.2775
AMBRA1	1559.1155	AMBRA1	1191.6355
AMD1	1287.9061	AMD1	1969.9646
AMDHD1	7.6715	AMDHD1	15.3551
AMDHD2	230.6995	AMDHD2	227.7119
AMFR	7590.704	AMFR	3833.9226
removed	removed	AMH	21.0122
AMICA1	111.0108	AMICA1	141.0243
AMIGO1	142.148	AMIGO1	185.0692
AMIGO2	642.148	AMIGO2	3953.5307
AMIGO3	89.3502	AMIGO3	73.9469
AMMECR1L	1067.6895	AMMECR1L	920.497
AMMECR1	588.4477	AMMECR1	343.8731
AMN1	379.0614	AMN1	257.8038
removed	removed	AMN	7.2735
AMOTL1	1051.8953	AMOTL1	2792.2012
AMOTL2	1760.3791	AMOTL2	3080.7152
AMOT	969.7653	AMOT	1750.0758
removed	removed	AMPD1	57.7836
AMPD2	883.574	AMPD2	728.5584
AMPD3	312.2744	AMPD3	291.7466
AMPH	165.6137	AMPH	53.3387
AMT	16.769	AMT	394.2378
removed	removed	AMY1A	5.6571
removed	removed	AMY2A	5.2531
AMY2B	172.4774	AMY2B	640.4283
AMZ1	222.4729	AMZ1	22.6285
AMZ2P1	168.7726	AMZ2P1	230.7304
AMZ2	2921.9314	AMZ2	1032.4275
ANAPC10	128.1588	ANAPC10	109.9101
ANAPC11	1199.4585	ANAPC11	510.7587
ANAPC13	1005.6949	ANAPC13	966.8573
ANAPC16	2359.2058	ANAPC16	2359.8343
ANAPC1	1163.8087	ANAPC1	1053.4397
ANAPC2	556.8592	ANAPC2	852.2073
ANAPC4	419.6751	ANAPC4	671.9871
ANAPC5	2953.0686	ANAPC5	2377.6139
ANAPC7	1643.0505	ANAPC7	917.6685
ANGEL1	736.9134	ANGEL1	1038.0847
ANGEL2	1315.4332	ANGEL2	752.3992
ANGPT1	23.917	ANGPT1	244.4691
ANGPT2	163.3574	ANGPT2	144.6611
removed	removed	ANGPT4	9.2939
ANGPTL1	32.491	ANGPTL1	83.6448
ANGPTL2	1106.0469	ANGPTL2	1699.5656
removed	removed	ANGPTL3	5.2531
ANGPTL4	118.231	ANGPTL4	791.9992
ANGPTL6	5.2933	removed	removed
removed	removed	ANGPTL7	71.9265
ANG	82.306	ANG	469.4333
ANK1	15.7942	ANK1	6.8694
ANK2	315.8845	ANK2	242.4487
ANK3	1333.4838	ANK3	1637.7412
ANKAR	22.5632	ANKAR	84.0489
ANKDD1A	19.4043	ANKDD1A	114.7591
ANKFN1	9.0253	ANKFN1	27.8816
ANKFY1	1925.0903	ANKFY1	2357.4098
ANKHD1-EIF4EBP3	768.2085	ANKHD1-EIF4EBP3	1221.0688
ANKHD1	1920.8845	ANKHD1	3703.4125
ANKH	1200.361	ANKH	1608.6473
ANKIB1	3341.6065	ANKIB1	1411.8598
ANKK1	17.148	ANKK1	55.3591
ANKLE1	14.4404	ANKLE1	34.3469
ANKLE2	2650.2708	ANKLE2	1724.2146
ANKMY1	290.6137	ANKMY1	314.7793
ANKMY2	549.639	ANKMY2	710.3748
ANKRA2	234.657	ANKRA2	475.1995
ANKRD10	1007.852	ANKRD10	1664.4105
ANKRD11	919.63	ANKRD11	2881.192
ANKRD12	1158.3935	ANKRD12	1704.0105
ANKRD13A	1109.657	ANKRD13A	1617.133
ANKRD13B	262.1841	ANKRD13B	140.6203
ANKRD13C	457.13	ANKRD13C	552.379
ANKRD13D	640.7942	ANKRD13D	537.428
ANKRD16	152.0758	ANKRD16	208.5059
ANKRD17	4283.3935	ANKRD17	4232.3467
ANKRD19	41.9675	ANKRD19	39.1959
removed	removed	ANKRD1	6.8694
ANKRD20A3	5.4152	ANKRD20A3	40.004
removed	removed	ANKRD20A4	16.1632
ANKRD20B	14.4404	ANKRD20B	16.1632
ANKRD22	356.0469	ANKRD22	25.053
ANKRD23	27.0758	ANKRD23	80.0081
ANKRD24	20.3069	ANKRD24	93.3428
removed	removed	ANKRD26P1	48.8938
ANKRD26	174.1877	ANKRD26	404.0812
ANKRD27	829.4224	ANKRD27	888.1705
ANKRD28	1316.3357	ANKRD28	1546.0147
ANKRD29	109.657	ANKRD29	272.3507
ANKRD30A	118.231	ANKRD30A	1020.3051
removed	removed	ANKRD30B	143.4488
removed	removed	ANKRD31	9.2939
ANKRD32	194.9458	ANKRD32	180.2202
ANKRD34A	13.9892	ANKRD34A	20.6081
ANKRD35	24.3682	ANKRD35	172.1386
ANKRD36BP1	142.5993	ANKRD36BP1	248.51
ANKRD36B	33.8448	ANKRD36B	131.7305
ANKRD36	79.4224	ANKRD36	403.2731
ANKRD37	47.5722	ANKRD37	70.1162
ANKRD39	103.7906	ANKRD39	98.9999
ANKRD40	1696.7509	ANKRD40	1375.8966
ANKRD42	301.444	ANKRD42	318.0119
ANKRD43	112.8159	ANKRD43	22.2245
ANKRD44	76.7148	ANKRD44	111.5264
ANKRD45	10.3791	ANKRD45	16.5673
ANKRD46	948.7951	ANKRD46	551.1708
ANKRD49	196.7509	ANKRD49	420.2445
ANKRD50	1834.8375	ANKRD50	1602.9902
ANKRD52	3262.1841	ANKRD52	1709.6676
removed	removed	ANKRD53	42.4285
ANKRD54	302.7978	ANKRD54	375.7955
ANKRD55	5.4152	removed	removed
ANKRD56	106.4982	ANKRD56	106.2734
ANKRD57	1237.8159	ANKRD57	949.5909
ANKRD58	17.148	ANKRD58	7.6775
ANKRD5	486.4621	ANKRD5	226.2855
ANKRD6	277.4684	ANKRD6	409.7828
ANKRD9	19.4043	ANKRD9	60.6122
ANKS1A	815.4332	ANKS1A	1481.7658
ANKS1B	217.509	ANKS1B	83.6448
ANKS3	235.5596	ANKS3	364.0772
ANKS6	88.8989	ANKS6	157.1876
